clk_target(ns),clk_estimated(ns),clk_uncertainty(ns),bram,dsp,ff,lut,uram
io2_l2n1n2_l5n1n2_l7n1n1_d1d2,10.0,7.966,1.25,56,8,1383,3010,0
io2_l2n1n2_l5n1n2_l7n1n2,10.0,9.066,1.25,56,10,1463,2361,0
io2_l2n1n2_l5n1n2_l7n1n2_d1d2,10.0,9.085,1.25,56,8,1378,2976,0
io2_l2n1n2_l5n1n2_l7n1p1,10.0,9.066,1.25,56,8,1548,2403,0
io2_l2n1n2_l5n1n2_l7n1p1_d1d2,10.0,9.066,1.25,56,8,1962,3346,0
io2_l2n1n2_l5n1n2_l7n1p2,10.0,9.066,1.25,56,10,1591,2472,0
io2_l2n1n2_l5n1n2_l7n1p2_d1d2,10.0,9.066,1.25,56,10,2054,3437,0
io2_l2n1n2_l5n1n2_l7p1n1,10.0,9.634,1.25,56,20,4302,4823,0
io2_l2n1n2_l5n1n2_l7p1n1_d1d2,10.0,8.499,1.25,56,20,4821,6676,0
io2_l2n1n2_l5n1n2_l7p2n1,10.0,9.672,1.25,56,20,4233,5994,0
io2_l2n1n2_l5n1n2_l7p2n1_d1d2,10.0,8.499,1.25,56,40,7840,8318,0
io2_l2n1p1_l5n1p1_l7n1n1,10.0,8.423,1.25,56,5,1152,2340,0
io2_l2n1p1_l5n1p1_l7n1n1_d1d2,10.0,7.966,1.25,56,5,1269,3398,0
io2_l2n1p1_l5n1p1_l7n1n2,10.0,8.423,1.25,56,10,1529,2631,0
io2_l2n1p1_l5n1p1_l7n1n2_d1d2,10.0,8.423,1.25,56,5,1264,3364,0
io2_l2n1p1_l5n1p1_l7n1p1,10.0,8.423,1.25,56,5,1454,2548,0
io2_l2n1p1_l5n1p1_l7n1p1_d1d2,10.0,8.423,1.25,56,5,1848,3734,0
io2_l2n1p1_l5n1p1_l7n1p2,10.0,8.423,1.25,56,10,1657,2742,0
io2_l2n1p1_l5n1p1_l7n1p2_d1d2,10.0,8.423,1.25,56,10,2100,3950,0
io2_l2n1p1_l5n1p1_l7p1n1,10.0,9.597,1.25,56,20,4336,5095,0
io2_l2n1p1_l5n1p1_l7p1n1_d1d2,10.0,8.499,1.25,56,20,4867,7203,0
io2_l2n1p1_l5n1p1_l7p2n1,10.0,9.634,1.25,56,20,4267,6250,0
io2_l2n1p1_l5n1p1_l7p2n1_d1d2,10.0,8.499,1.25,56,40,7886,8844,0
io2_l2n1p2_l5n1p2_l7n1n1,10.0,9.066,1.25,56,5,1308,2447,0
io2_l2n1p2_l5n1p2_l7n1n1_d1d2,10.0,7.977,1.25,56,5,1457,3306,0
io2_l2n1p2_l5n1p2_l7n1n2,10.0,9.066,1.25,56,10,1685,2738,0
io2_l2n1p2_l5n1p2_l7n1n2_d1d2,10.0,9.085,1.25,56,5,1452,3269,0
io2_l2n1p2_l5n1p2_l7n1p1,10.0,9.066,1.25,56,5,1610,2655,0
io2_l2n1p2_l5n1p2_l7n1p1_d1d2,10.0,9.066,1.25,56,5,2036,3642,0
io2_l2n1p2_l5n1p2_l7n1p2,10.0,9.066,1.25,56,10,1813,2849,0
io2_l2n1p2_l5n1p2_l7n1p2_d1d2,10.0,9.066,1.25,56,10,2288,3858,0
io2_l2n1p2_l5n1p2_l7p1n1,10.0,9.634,1.25,56,20,4492,5196,0
io2_l2n1p2_l5n1p2_l7p1n1_d1d2,10.0,8.555,1.25,56,20,5023,7088,0
io2_l2n1p2_l5n1p2_l7p2n1,10.0,9.672,1.25,56,20,4423,6351,0
io2_l2n1p2_l5n1p2_l7p2n1_d1d2,10.0,8.555,1.25,56,40,8042,8731,0
io2_l2p1n1_l5p1n1_l7n1n1,10.0,9.164,1.25,56,149,13670,19242,0
io2_l2p1n1_l5p1n1_l7n1n1_d1d2,10.0,9.171,1.25,56,50,18925,25585,0
io2_l2p1n1_l5p1n1_l7n1n2,10.0,9.164,1.25,56,145,13503,19127,0
io2_l2p1n1_l5p1n1_l7n1n2_d1d2,10.0,9.758,1.25,56,95,21268,27502,0
io2_l2p1n1_l5p1n1_l7n1p1,10.0,9.164,1.25,56,134,13193,18824,0
io2_l2p1n1_l5p1n1_l7n1p1_d1d2,10.0,9.171,1.25,56,47,19312,25796,0
io2_l2p1n1_l5p1n1_l7n1p2,10.0,9.164,1.25,56,139,13300,18985,0
io2_l2p1n1_l5p1n1_l7n1p2_d1d2,10.0,9.171,1.25,56,43,19116,25601,0
io2_l2p1n1_l5p1n1_l7p1n1,10.0,9.203,1.25,56,122,13600,20036,0
io2_l2p1n1_l5p1n1_l7p1n1_d1d2,10.0,9.21,1.25,56,182,28827,34492,0
io2_l2p1n1_l5p1n1_l7p2n1,10.0,9.242,1.25,56,119,13377,20983,0
io2_l2p1n1_l5p1n1_l7p2n1_d1d2,10.0,9.21,1.25,56,70,24294,30312,0
io2_l2p2n1_l5p2n1_l7n1n1,10.0,7.984,1.25,56,26,22935,18809,0
io2_l2p2n1_l5p2n1_l7n1n1_d1d2,10.0,7.966,1.25,56,52,29977,28404,0
io2_l2p2n1_l5p2n1_l7n1n2,10.0,8.644,1.25,56,26,22925,18759,0
io2_l2p2n1_l5p2n1_l7n1n2_d1d2,10.0,9.634,1.25,56,52,29972,28365,0
io2_l2p2n1_l5p2n1_l7n1p1,10.0,9.101,1.25,56,26,23237,19017,0
io2_l2p2n1_l5p2n1_l7n1p1_d1d2,10.0,9.047,1.25,56,52,30556,28740,0
io2_l2p2n1_l5p2n1_l7n1p2,10.0,8.644,1.25,56,26,23053,18870,0
io2_l2p2n1_l5p2n1_l7n1p2_d1d2,10.0,9.047,1.25,56,52,30421,28617,0
io2_l2p2n1_l5p2n1_l7p1n1,10.0,8.0,1.25,56,26,24542,20460,0
io2_l2p2n1_l5p2n1_l7p1n1_d1d2,10.0,7.969,1.25,56,52,32030,31095,0
io2_l2p2n1_l5p2n1_l7p2n1,10.0,8.016,1.25,56,26,24473,21615,0
io2_l2p2n1_l5p2n1_l7p2n1_d1d2,10.0,7.969,1.25,56,52,33117,31257,0
io4_l2n1n1_l5n1n1_l7n1n1,10.0,7.966,1.25,56,5,1258,2208,0
io4_l2n1n1_l5n1n1_l7n1n1_d1d2,10.0,7.966,1.25,112,5,1196,4837,0
io4_l2n1n1_l5n1n1_l7n1n2,10.0,8.423,1.25,56,5,1220,2352,0
io4_l2n1n1_l5n1n1_l7n1n2_d1d2,10.0,7.966,1.25,112,5,1325,5025,0
io4_l2n1n1_l5n1n1_l7n1n4,10.0,7.966,1.25,56,20,2401,3231,0
io4_l2n1n1_l5n1n1_l7n1n4_d1d2,10.0,7.966,1.25,112,20,3006,5500,0
io4_l2n1n1_l5n1n1_l7n1p1,10.0,7.966,1.25,56,5,1671,2448,0
io4_l2n1n1_l5n1n1_l7n1p1_d1d2,10.0,7.966,1.25,112,5,1459,5013,0
io4_l2n1n1_l5n1n1_l7n1p2,10.0,8.423,1.25,56,10,2119,2970,0
io4_l2n1n1_l5n1n1_l7n1p2_d1d2,10.0,7.966,1.25,112,10,1981,5547,0
io4_l2n1n1_l5n1n1_l7n1p4,10.0,7.966,1.25,56,20,2528,3341,0
io4_l2n1n1_l5n1n1_l7n1p4_d1d2,10.0,7.966,1.25,112,20,2740,6434,0
io4_l2n1n1_l5n1n1_l7p1n1,10.0,7.966,1.25,56,40,7239,6490,0
io4_l2n1n1_l5n1n1_l7p1n1_d1d2,10.0,7.966,1.25,160,40,7226,13174,0
io4_l2n1n1_l5n1n1_l7p2n1,10.0,8.499,1.25,56,40,7850,7802,0
io4_l2n1n1_l5n1n1_l7p2n1_d1d2,10.0,7.966,1.25,160,80,13648,16992,0
io4_l2n1n1_l5n1n1_l7p4n1,10.0,8.537,1.25,56,40,7507,9666,0
io4_l2n1n1_l5n1n1_l7p4n1_d1d2,10.0,7.966,1.25,160,160,26493,22719,0
io4_l2n1n2_l5n1n2_l7n1n1,10.0,7.966,1.25,56,8,1566,2614,0
io4_l2n1n2_l5n1n2_l7n1n1_d1d2,10.0,7.966,1.25,112,8,1512,5753,0
io4_l2n1n2_l5n1n2_l7n1n2,10.0,9.085,1.25,56,8,1528,2758,0
io4_l2n1n2_l5n1n2_l7n1n2_d1d2,10.0,7.966,1.25,112,8,1641,5941,0
io4_l2n1n2_l5n1n2_l7n1n4,10.0,8.609,1.25,56,20,2549,3512,0
io4_l2n1n2_l5n1n2_l7n1n4_d1d2,10.0,7.966,1.25,112,20,3370,5939,0
io4_l2n1n2_l5n1n2_l7n1p1,10.0,7.966,1.25,56,8,1979,2854,0
io4_l2n1n2_l5n1n2_l7n1p1_d1d2,10.0,7.966,1.25,112,8,2295,5049,0
io4_l2n1n2_l5n1n2_l7n1p2,10.0,9.066,1.25,56,10,2267,3251,0
io4_l2n1n2_l5n1n2_l7n1p2_d1d2,10.0,7.966,1.25,112,10,2709,5370,0
io4_l2n1n2_l5n1n2_l7n1p4,10.0,8.609,1.25,56,20,2676,3622,0
io4_l2n1n2_l5n1n2_l7n1p4_d1d2,10.0,7.966,1.25,112,20,3572,6081,0
io4_l2n1n2_l5n1n2_l7p1n1,10.0,7.966,1.25,56,40,7387,6750,0
io4_l2n1n2_l5n1n2_l7p1n1_d1d2,10.0,7.966,1.25,160,40,8266,12447,0
io4_l2n1n2_l5n1n2_l7p2n1,10.0,8.499,1.25,56,40,7998,8062,0
io4_l2n1n2_l5n1n2_l7p2n1_d1d2,10.0,7.966,1.25,160,80,14272,16969,0
io4_l2n1n2_l5n1n2_l7p4n1,10.0,8.537,1.25,56,40,7655,9942,0
io4_l2n1n2_l5n1n2_l7p4n1_d1d2,10.0,7.966,1.25,160,160,27117,22697,0
io4_l2n1n4_l5n1n4_l7n1n1,10.0,7.977,1.25,56,14,2292,3074,0
io4_l2n1n4_l5n1n4_l7n1n1_d1d2,10.0,7.966,1.25,112,14,2106,6283,0
io4_l2n1n4_l5n1n4_l7n1n2,10.0,9.01,1.25,56,14,2254,3231,0
io4_l2n1n4_l5n1n4_l7n1n2_d1d2,10.0,7.966,1.25,112,14,2235,6487,0
io4_l2n1n4_l5n1n4_l7n1n4,10.0,7.977,1.25,56,20,2955,3758,0
io4_l2n1n4_l5n1n4_l7n1n4_d1d2,10.0,7.966,1.25,112,20,3748,6043,0
io4_l2n1n4_l5n1n4_l7n1p1,10.0,7.977,1.25,56,14,2705,3314,0
io4_l2n1n4_l5n1n4_l7n1p1_d1d2,10.0,7.966,1.25,112,14,2993,5403,0
io4_l2n1n4_l5n1n4_l7n1p2,10.0,8.423,1.25,56,16,2993,3711,0
io4_l2n1n4_l5n1n4_l7n1p2_d1d2,10.0,7.966,1.25,112,16,3407,5724,0
io4_l2n1n4_l5n1n4_l7n1p4,10.0,7.977,1.25,56,20,3082,3868,0
io4_l2n1n4_l5n1n4_l7n1p4_d1d2,10.0,7.966,1.25,112,20,3950,6185,0
io4_l2n1n4_l5n1n4_l7p1n1,10.0,7.969,1.25,56,40,7697,6961,0
io4_l2n1n4_l5n1n4_l7p1n1_d1d2,10.0,7.966,1.25,160,40,8644,12527,0
io4_l2n1n4_l5n1n4_l7p2n1,10.0,8.555,1.25,56,40,8308,8289,0
io4_l2n1n4_l5n1n4_l7p2n1_d1d2,10.0,7.966,1.25,160,80,14650,17049,0
io4_l2n1n4_l5n1n4_l7p4n1,10.0,8.593,1.25,56,40,7965,10153,0
io4_l2n1n4_l5n1n4_l7p4n1_d1d2,10.0,7.966,1.25,160,160,27495,22779,0
io4_l2n1p1_l5n1p1_l7n1n1,10.0,7.966,1.25,56,5,1424,2608,0
io4_l2n1p1_l5n1p1_l7n1n1_d1d2,10.0,7.966,1.25,112,5,1368,5381,0
io4_l2n1p1_l5n1p1_l7n1n2,10.0,8.423,1.25,56,5,1386,2752,0
io4_l2n1p1_l5n1p1_l7n1n2_d1d2,10.0,7.966,1.25,112,5,1497,5569,0
io4_l2n1p1_l5n1p1_l7n1n4,10.0,7.966,1.25,56,20,2567,3631,0
io4_l2n1p1_l5n1p1_l7n1n4_d1d2,10.0,7.966,1.25,112,20,3178,6044,0
io4_l2n1p1_l5n1p1_l7n1p1,10.0,7.966,1.25,56,5,1837,2848,0
io4_l2n1p1_l5n1p1_l7n1p1_d1d2,10.0,7.966,1.25,112,5,1943,5029,0
io4_l2n1p1_l5n1p1_l7n1p2,10.0,8.423,1.25,56,10,2285,3370,0
io4_l2n1p1_l5n1p1_l7n1p2_d1d2,10.0,7.966,1.25,112,10,2517,5475,0
io4_l2n1p1_l5n1p1_l7n1p4,10.0,7.966,1.25,56,20,2694,3741,0
io4_l2n1p1_l5n1p1_l7n1p4_d1d2,10.0,7.966,1.25,112,20,3380,6186,0
io4_l2n1p1_l5n1p1_l7p1n1,10.0,7.966,1.25,56,40,7405,6878,0
io4_l2n1p1_l5n1p1_l7p1n1_d1d2,10.0,7.966,1.25,160,40,8067,12526,0
io4_l2n1p1_l5n1p1_l7p2n1,10.0,8.499,1.25,56,40,8016,8194,0
io4_l2n1p1_l5n1p1_l7p2n1_d1d2,10.0,7.966,1.25,160,80,14073,17048,0
io4_l2n1p1_l5n1p1_l7p4n1,10.0,8.537,1.25,56,40,7673,10058,0
io4_l2n1p1_l5n1p1_l7p4n1_d1d2,10.0,7.966,1.25,160,160,26925,22775,0
io4_l2n1p2_l5n1p2_l7n1n1,10.0,7.977,1.25,56,5,1614,2892,0
io4_l2n1p2_l5n1p2_l7n1n1_d1d2,10.0,7.977,1.25,112,5,1558,6137,0
io4_l2n1p2_l5n1p2_l7n1n2,10.0,9.085,1.25,56,5,1576,3033,0
io4_l2n1p2_l5n1p2_l7n1n2_d1d2,10.0,7.966,1.25,112,5,1687,6322,0
io4_l2n1p2_l5n1p2_l7n1n4,10.0,8.609,1.25,56,20,2757,3915,0
io4_l2n1p2_l5n1p2_l7n1n4_d1d2,10.0,7.977,1.25,112,20,3576,6448,0
io4_l2n1p2_l5n1p2_l7n1p1,10.0,7.977,1.25,56,5,2027,3132,0
io4_l2n1p2_l5n1p2_l7n1p1_d1d2,10.0,7.977,1.25,112,5,2341,5433,0
io4_l2n1p2_l5n1p2_l7n1p2,10.0,9.066,1.25,56,10,2475,3654,0
io4_l2n1p2_l5n1p2_l7n1p2_d1d2,10.0,7.977,1.25,112,10,2915,5879,0
io4_l2n1p2_l5n1p2_l7n1p4,10.0,8.609,1.25,56,20,2884,4025,0
io4_l2n1p2_l5n1p2_l7n1p4_d1d2,10.0,7.977,1.25,112,20,3778,6590,0
io4_l2n1p2_l5n1p2_l7p1n1,10.0,7.969,1.25,56,40,7563,7141,0
io4_l2n1p2_l5n1p2_l7p1n1_d1d2,10.0,7.969,1.25,160,40,8440,12907,0
io4_l2n1p2_l5n1p2_l7p2n1,10.0,8.555,1.25,56,40,8167,8457,0
io4_l2n1p2_l5n1p2_l7p2n1_d1d2,10.0,7.969,1.25,160,80,14439,17429,0
io4_l2n1p2_l5n1p2_l7p4n1,10.0,8.593,1.25,56,40,7831,10321,0
io4_l2n1p2_l5n1p2_l7p4n1_d1d2,10.0,7.969,1.25,160,160,27291,23158,0
io4_l2n1p4_l5n1p4_l7n1n1,10.0,7.966,1.25,56,5,1958,3152,0
io4_l2n1p4_l5n1p4_l7n1n1_d1d2,10.0,7.966,1.25,112,5,1880,6333,0
io4_l2n1p4_l5n1p4_l7n1n2,10.0,9.01,1.25,56,5,1920,3293,0
io4_l2n1p4_l5n1p4_l7n1n2_d1d2,10.0,7.969,1.25,112,5,2009,6518,0
io4_l2n1p4_l5n1p4_l7n1n4,10.0,7.966,1.25,56,20,3101,4175,0
io4_l2n1p4_l5n1p4_l7n1n4_d1d2,10.0,7.966,1.25,112,20,4002,6468,0
io4_l2n1p4_l5n1p4_l7n1p1,10.0,7.966,1.25,56,5,2371,3392,0
io4_l2n1p4_l5n1p4_l7n1p1_d1d2,10.0,7.966,1.25,112,5,2767,5453,0
io4_l2n1p4_l5n1p4_l7n1p2,10.0,8.423,1.25,56,10,2819,3914,0
io4_l2n1p4_l5n1p4_l7n1p2_d1d2,10.0,7.966,1.25,112,10,3341,5899,0
io4_l2n1p4_l5n1p4_l7n1p4,10.0,7.966,1.25,56,20,3228,4285,0
io4_l2n1p4_l5n1p4_l7n1p4_d1d2,10.0,7.966,1.25,112,20,4204,6610,0
io4_l2n1p4_l5n1p4_l7p1n1,10.0,8.518,1.25,56,40,7843,7389,0
io4_l2n1p4_l5n1p4_l7p1n1_d1d2,10.0,8.518,1.25,160,40,8788,12915,0
io4_l2n1p4_l5n1p4_l7p2n1,10.0,8.537,1.25,56,40,8440,8705,0
io4_l2n1p4_l5n1p4_l7p2n1_d1d2,10.0,8.518,1.25,160,80,14801,17437,0
io4_l2n1p4_l5n1p4_l7p4n1,10.0,8.574,1.25,56,40,8097,10585,0
io4_l2n1p4_l5n1p4_l7p4n1_d1d2,10.0,8.518,1.25,160,160,27653,23166,0
io4_l2p1n1_l5p1n1_l7n1n1,10.0,8.834,1.25,56,17,3383,11061,0
io4_l2p1n1_l5p1n1_l7n1n1_d1d2,10.0,8.612,1.25,176,26,3999,17494,0
io4_l2p1n1_l5p1n1_l7n1n2,10.0,9.751,1.25,56,17,3345,11174,0
io4_l2p1n1_l5p1n1_l7n1n2_d1d2,10.0,8.62,1.25,176,26,4128,17654,0
io4_l2p1n1_l5p1n1_l7n1n4,10.0,8.834,1.25,56,23,4046,11723,0
io4_l2p1n1_l5p1n1_l7n1n4_d1d2,10.0,8.612,1.25,176,32,6057,16550,0
io4_l2p1n1_l5p1n1_l7n1p1,10.0,8.834,1.25,56,17,3796,11329,0
io4_l2p1n1_l5p1n1_l7n1p1_d1d2,10.0,8.612,1.25,176,26,5302,15938,0
io4_l2p1n1_l5p1n1_l7n1p2,10.0,9.164,1.25,56,19,4084,11722,0
io4_l2p1n1_l5p1n1_l7n1p2_d1d2,10.0,8.612,1.25,176,28,5716,16259,0
io4_l2p1n1_l5p1n1_l7n1p4,10.0,8.834,1.25,56,23,4173,11861,0
io4_l2p1n1_l5p1n1_l7n1p4_d1d2,10.0,8.612,1.25,176,32,6259,16720,0
io4_l2p1n1_l5p1n1_l7p1n1,10.0,8.827,1.25,56,40,8596,14788,0
io4_l2p1n1_l5p1n1_l7p1n1_d1d2,10.0,8.612,1.25,224,40,10281,22438,0
io4_l2p1n1_l5p1n1_l7p2n1,10.0,8.865,1.25,56,40,9207,16069,0
io4_l2p1n1_l5p1n1_l7p2n1_d1d2,10.0,8.612,1.25,224,80,16287,26480,0
io4_l2p1n1_l5p1n1_l7p4n1,10.0,8.885,1.25,56,40,8832,17872,0
io4_l2p1n1_l5p1n1_l7p4n1_d1d2,10.0,8.612,1.25,224,160,29132,32696,0
io4_l2p2n1_l5p2n1_l7n1n1,10.0,9.475,1.25,56,11,9621,12081,0
io4_l2p2n1_l5p2n1_l7n1n1_d1d2,10.0,8.574,1.25,128,26,11921,18592,0
io4_l2p2n1_l5p2n1_l7n1n2,10.0,10.062,1.25,56,11,9519,12192,0
io4_l2p2n1_l5p2n1_l7n1n2_d1d2,10.0,8.865,1.25,128,26,12050,18747,0
io4_l2p2n1_l5p2n1_l7n1n4,10.0,9.475,1.25,56,20,10380,12867,0
io4_l2p2n1_l5p2n1_l7n1n4_d1d2,10.0,8.582,1.25,128,32,13407,18601,0
io4_l2p2n1_l5p2n1_l7n1p1,10.0,9.475,1.25,56,11,9906,12349,0
io4_l2p2n1_l5p2n1_l7n1p1_d1d2,10.0,8.828,1.25,128,26,12652,18004,0
io4_l2p2n1_l5p2n1_l7n1p2,10.0,9.475,1.25,56,13,10258,12741,0
io4_l2p2n1_l5p2n1_l7n1p2_d1d2,10.0,8.203,1.25,128,28,13066,18320,0
io4_l2p2n1_l5p2n1_l7n1p4,10.0,9.475,1.25,56,20,10539,13005,0
io4_l2p2n1_l5p2n1_l7n1p4_d1d2,10.0,8.582,1.25,128,32,13599,18771,0
io4_l2p2n1_l5p2n1_l7p1n1,10.0,9.494,1.25,56,40,15186,16063,0
io4_l2p2n1_l5p2n1_l7p1n1_d1d2,10.0,8.574,1.25,176,40,17033,24482,0
io4_l2p2n1_l5p2n1_l7p2n1,10.0,9.514,1.25,56,40,15605,17345,0
io4_l2p2n1_l5p2n1_l7p2n1_d1d2,10.0,8.828,1.25,176,80,22963,28520,0
io4_l2p2n1_l5p2n1_l7p4n1,10.0,9.553,1.25,56,40,15262,19145,0
io4_l2p2n1_l5p2n1_l7p4n1_d1d2,10.0,8.847,1.25,176,160,35746,34722,0
io4_l2p4n1_l5p4n1_l7n1n1,10.0,7.984,1.25,56,46,37789,24222,0
io4_l2p4n1_l5p4n1_l7n1n1_d1d2,10.0,8.518,1.25,176,101,60015,40031,0
io4_l2p4n1_l5p4n1_l7n1n2,10.0,9.687,1.25,56,46,37751,24361,0
io4_l2p4n1_l5p4n1_l7n1n2_d1d2,10.0,8.537,1.25,176,101,60144,40214,0
io4_l2p4n1_l5p4n1_l7n1n4,10.0,8.644,1.25,56,46,37771,24238,0
io4_l2p4n1_l5p4n1_l7n1n4_d1d2,10.0,8.574,1.25,176,101,61825,38254,0
io4_l2p4n1_l5p4n1_l7n1p1,10.0,7.984,1.25,56,46,38202,24462,0
io4_l2p4n1_l5p4n1_l7n1p1_d1d2,10.0,8.518,1.25,176,101,61474,38183,0
io4_l2p4n1_l5p4n1_l7n1p2,10.0,9.101,1.25,56,46,38263,24643,0
io4_l2p4n1_l5p4n1_l7n1p2_d1d2,10.0,8.518,1.25,176,101,61661,38289,0
io4_l2p4n1_l5p4n1_l7n1p4,10.0,8.644,1.25,56,46,37898,24348,0
io4_l2p4n1_l5p4n1_l7n1p4_d1d2,10.0,8.518,1.25,176,101,61750,38320,0
io4_l2p4n1_l5p4n1_l7p1n1,10.0,7.992,1.25,56,46,40165,25933,0
io4_l2p4n1_l5p4n1_l7p1n1_d1d2,10.0,7.966,1.25,224,101,64128,42921,0
io4_l2p4n1_l5p4n1_l7p2n1,10.0,8.0,1.25,56,46,40776,27265,0
io4_l2p4n1_l5p4n1_l7p2n1_d1d2,10.0,7.966,1.25,224,101,66270,43863,0
io4_l2p4n1_l5p4n1_l7p4n1,10.0,8.016,1.25,56,46,40433,29121,0
io4_l2p4n1_l5p4n1_l7p4n1_d1d2,10.0,7.966,1.25,224,160,77323,49117,0
io8_l2n1n1_l5n1n1_l7n1n1,10.0,7.966,1.25,56,5,1091,3073,0
io8_l2n1n1_l5n1n1_l7n1n1_d1d2,10.0,7.966,1.25,448,5,1709,16512,0
io8_l2n1n1_l5n1n1_l7n1n2,10.0,7.966,1.25,56,5,1325,3130,0
io8_l2n1n1_l5n1n1_l7n1n2_d1d2,10.0,7.966,1.25,448,5,1983,17165,0
io8_l2n1n1_l5n1n1_l7n1n4,10.0,9.085,1.25,56,5,1314,3407,0
io8_l2n1n1_l5n1n1_l7n1n4_d1d2,10.0,7.977,1.25,448,5,2606,18390,0
io8_l2n1n1_l5n1n1_l7n1n8,10.0,7.966,1.25,56,40,3985,5472,0
io8_l2n1n1_l5n1n1_l7n1n8_d1d2,10.0,7.966,1.25,448,40,4853,15859,0
io8_l2n1n1_l5n1n1_l7n1p1,10.0,7.966,1.25,56,5,1286,3213,0
io8_l2n1n1_l5n1n1_l7n1p1_d1d2,10.0,7.966,1.25,448,5,1974,16684,0
io8_l2n1n1_l5n1n1_l7n1p2,10.0,7.966,1.25,56,10,2052,3638,0
io8_l2n1n1_l5n1n1_l7n1p2_d1d2,10.0,7.966,1.25,448,10,2500,17619,0
io8_l2n1n1_l5n1n1_l7n1p4,10.0,8.423,1.25,56,20,2699,4591,0
io8_l2n1n1_l5n1n1_l7n1p4_d1d2,10.0,7.966,1.25,448,20,3549,19526,0
io8_l2n1n1_l5n1n1_l7n1p8,10.0,7.966,1.25,56,40,4111,5581,0
io8_l2n1n1_l5n1n1_l7n1p8_d1d2,10.0,7.966,1.25,448,40,5055,22956,0
io8_l2n1n1_l5n1n1_l7p1n1,10.0,7.977,1.25,80,80,11585,10838,0
io8_l2n1n1_l5n1n1_l7p1n1_d1d2,10.0,7.977,1.25,640,80,12166,41674,0
io8_l2n1n1_l5n1n1_l7p2n1,10.0,7.966,1.25,80,80,13568,11862,0
io8_l2n1n1_l5n1n1_l7p2n1_d1d2,10.0,7.977,1.25,640,160,29173,45720,0
io8_l2n1n1_l5n1n1_l7p4n1,10.0,8.499,1.25,80,80,14681,14280,0
io8_l2n1n1_l5n1n1_l7p4n1_d1d2,10.0,7.977,1.25,640,320,44756,59255,0
io8_l2n1n1_l5n1n1_l7p8n1,10.0,8.537,1.25,80,80,13817,17596,0
io8_l2n1n1_l5n1n1_l7p8n1_d1d2,10.0,7.977,1.25,640,640,87760,81003,0
io8_l2n1n2_l5n1n2_l7n1n1,10.0,7.977,1.25,56,5,1552,3284,0
io8_l2n1n2_l5n1n2_l7n1n1_d1d2,10.0,7.977,1.25,448,5,2713,21105,0
io8_l2n1n2_l5n1n2_l7n1n2,10.0,7.966,1.25,56,5,1786,3354,0
io8_l2n1n2_l5n1n2_l7n1n2_d1d2,10.0,7.966,1.25,448,5,3348,21663,0
io8_l2n1n2_l5n1n2_l7n1n4,10.0,8.423,1.25,56,5,1775,3626,0
io8_l2n1n2_l5n1n2_l7n1n4_d1d2,10.0,7.966,1.25,448,5,3602,22943,0
io8_l2n1n2_l5n1n2_l7n1n8,10.0,8.609,1.25,56,40,4446,5683,0
io8_l2n1n2_l5n1n2_l7n1n8_d1d2,10.0,7.977,1.25,448,40,5849,16708,0
