prj,vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,URAM,DSP48 Blocks
io2_l2n1n2_l4p2n1_d1d2,38.954,6546,6546,0,0,9178,16,0,0,20
io2_l2n1p1_l4n1n1,17.424,840,840,0,0,729,16,0,0,5
io2_l2n1p1_l4n1n1_d1d2,17.314,1099,1099,0,0,741,16,0,0,5
io2_l2n1p1_l4n1n2,21.157,1191,1191,0,0,953,16,0,0,10
io2_l2n1p1_l4n1n2_d1d2,17.862,1132,1132,0,0,787,16,0,0,5
io2_l2n1p1_l4n1p1,17.859,950,950,0,0,761,16,0,0,5
io2_l2n1p1_l4n1p1_d1d2,18.095,1167,1167,0,0,771,16,0,0,5
io2_l2n1p1_l4n1p2,22.191,1186,1177,0,9,989,16,0,0,10
io2_l2n1p1_l4n1p2_d1d2,21.737,1400,1391,0,9,1062,16,0,0,10
io2_l2n1p1_l4p1n1,32.141,3949,3949,0,0,4890,16,0,0,10
io2_l2n1p1_l4p1n1_d1d2,36.448,4613,4613,0,0,4362,16,0,0,18
io2_l2n1p1_l4p2n1,38.756,6827,6827,0,0,8092,16,0,0,10
io2_l2n1p1_l4p2n1_d1d2,41.228,6293,6293,0,0,9222,16,0,0,20
io2_l2n1p2_l4n1n1,16.731,884,884,0,0,699,16,0,0,5
io2_l2n1p2_l4n1n1_d1d2,17.379,1139,1139,0,0,915,16,0,0,5
io2_l2n1p2_l4n1n2,20.334,1197,1197,0,0,986,16,0,0,10
io2_l2n1p2_l4n1n2_d1d2,17.680,1227,1227,0,0,999,16,0,0,5
io2_l2n1p2_l4n1p1,17.460,977,977,0,0,728,16,0,0,5
io2_l2n1p2_l4n1p1_d1d2,17.416,1231,1231,0,0,980,16,0,0,5
io2_l2n1p2_l4n1p2,20.701,1211,1202,0,9,963,16,0,0,10
io2_l2n1p2_l4n1p2_d1d2,22.178,1459,1450,0,9,1278,16,0,0,10
io2_l2n1p2_l4p1n1,30.575,4167,4167,0,0,4772,16,0,0,10
io2_l2n1p2_l4p1n1_d1d2,34.535,4627,4627,0,0,4427,16,0,0,18
io2_l2n1p2_l4p2n1,37.872,6905,6905,0,0,8035,16,0,0,10
io2_l2n1p2_l4p2n1_d1d2,41.221,6208,6208,0,0,9226,12,0,0,20
io2_l2p1n1_l4n1n1,90.030,6161,6161,0,0,6395,16,0,0,152
io2_l2p1n1_l4n1n1_d1d2,112.349,10215,10215,0,0,14390,16,0,0,176
io2_l2p1n1_l4n1n2,91.392,6323,6323,0,0,6607,16,0,0,154
io2_l2p1n1_l4n1n2_d1d2,110.888,10279,10279,0,0,11633,16,0,0,176
io2_l2p1n1_l4n1p1,91.121,6208,6208,0,0,6414,16,0,0,152
io2_l2p1n1_l4n1p1_d1d2,110.748,10258,10258,0,0,11574,16,0,0,176
io2_l2p1n1_l4n1p2,92.606,6313,6304,0,9,6549,16,0,0,154
io2_l2p1n1_l4n1p2_d1d2,113.226,10477,10468,0,9,11809,16,0,0,178
io2_l2p1n1_l4p1n1,115.467,10510,10510,0,0,11390,16,0,0,184
io2_l2p1n1_l4p1n1_d1d2,58.855,10483,10483,0,0,14804,16,0,0,24
io2_l2p1n1_l4p2n1,96.827,11952,11952,0,0,12926,16,0,0,121
io2_l2p1n1_l4p2n1_d1d2,96.840,13863,13863,0,0,18295,16,0,0,104
io2_l2p2n1_l4n1n1,142.750,8803,7611,0,1192,12377,16,0,0,26
io2_l2p2n1_l4n1n1_d1d2,162.450,11241,9600,0,1641,15580,16,0,0,52
io2_l2p2n1_l4n1n2,162.822,8521,7329,0,1192,12339,16,0,0,26
io2_l2p2n1_l4n1n2_d1d2,167.996,10664,9023,0,1641,15621,12,0,0,52
io2_l2p2n1_l4n1p1,157.529,8808,7616,0,1192,12407,16,0,0,26
io2_l2p2n1_l4n1p1_d1d2,188.369,11500,9859,0,1641,15604,16,0,0,52
io2_l2p2n1_l4n1p2,185.764,8542,7341,0,1201,12378,16,0,0,26
io2_l2p2n1_l4n1p2_d1d2,238.581,11099,9449,0,1650,15646,16,0,0,52
io2_l2p2n1_l4p1n1,198.606,11462,10270,0,1192,15885,16,0,0,26
io2_l2p2n1_l4p1n1_d1d2,249.581,13535,11894,0,1641,18087,16,0,0,52
io2_l2p2n1_l4p2n1,203.027,14209,13014,0,1195,19508,16,0,0,26
io2_l2p2n1_l4p2n1_d1d2,259.560,15339,13698,0,1641,22551,14,0,0,52
io4_l2n1n1_l4n1n1,13.073,795,795,0,0,609,16,0,0,5
io4_l2n1n1_l4n1n1_d1d2,27.552,1597,1597,0,0,627,0,64,0,5
io4_l2n1n1_l4n1n2,13.273,866,866,0,0,640,16,0,0,5
io4_l2n1n1_l4n1n2_d1d2,27.890,1662,1662,0,0,669,0,64,0,5
io4_l2n1n1_l4n1n4,22.853,1760,1760,0,0,1361,16,0,0,20
io4_l2n1n1_l4n1n4_d1d2,28.815,1736,1736,0,0,743,0,64,0,5
io4_l2n1n1_l4n1p1,13.115,878,878,0,0,643,16,0,0,5
io4_l2n1n1_l4n1p1_d1d2,27.746,1678,1678,0,0,652,0,64,0,5
io4_l2n1n1_l4n1p2,13.618,987,987,0,0,721,16,0,0,5
io4_l2n1n1_l4n1p2_d1d2,28.161,1812,1812,0,0,728,0,64,0,5
io4_l2n1n1_l4n1p4,23.901,1705,1696,0,9,1393,16,0,0,20
io4_l2n1n1_l4n1p4_d1d2,40.841,2468,2458,0,10,1543,16,48,0,20
io4_l2n1n1_l4p1n1,32.862,4657,4657,0,0,6164,16,0,0,20
io4_l2n1n1_l4p1n1_d1d2,59.784,5550,5550,0,0,5521,32,32,0,40
io4_l2n1n1_l4p2n1,40.002,7164,7164,0,0,9057,16,0,0,20
io4_l2n1n1_l4p2n1_d1d2,87.143,11430,11430,0,0,10820,26,32,0,78
io4_l2n1n1_l4p4n1,53.167,12421,12421,0,0,15464,16,0,0,20
io4_l2n1n1_l4p4n1_d1d2,106.685,15714,15714,0,0,22819,32,32,0,80
io4_l2n1n2_l4n1n1,16.222,950,950,0,0,806,16,0,0,8
io4_l2n1n2_l4n1n1_d1d2,28.826,1734,1734,0,0,815,0,64,0,8
io4_l2n1n2_l4n1n2,16.427,1027,1027,0,0,836,16,0,0,8
io4_l2n1n2_l4n1n2_d1d2,29.303,1798,1798,0,0,854,0,64,0,8
io4_l2n1n2_l4n1n4,24.761,1840,1840,0,0,1494,16,0,0,20
io4_l2n1n2_l4n1n4_d1d2,30.162,1886,1886,0,0,928,0,64,0,8
io4_l2n1n2_l4n1p1,16.381,997,997,0,0,876,16,0,0,8
io4_l2n1n2_l4n1p1_d1d2,28.689,1807,1807,0,0,841,0,64,0,8
io4_l2n1n2_l4n1p2,16.899,1111,1111,0,0,914,16,0,0,8
io4_l2n1n2_l4n1p2_d1d2,29.534,1919,1919,0,0,912,0,64,0,8
io4_l2n1n2_l4n1p4,25.018,1775,1766,0,9,1526,16,0,0,20
io4_l2n1n2_l4n1p4_d1d2,40.978,2549,2539,0,10,1666,16,48,0,20
io4_l2n1n2_l4p1n1,35.048,4571,4571,0,0,6263,16,0,0,20
io4_l2n1n2_l4p1n1_d1d2,60.892,5655,5655,0,0,5606,32,32,0,40
io4_l2n1n2_l4p2n1,42.733,7194,7194,0,0,9125,16,0,0,20
io4_l2n1n2_l4p2n1_d1d2,89.338,11050,11050,0,0,10803,32,32,0,78
io4_l2n1n2_l4p4n1,57.903,12156,12156,0,0,16115,16,0,0,20
io4_l2n1n2_l4p4n1_d1d2,103.828,15853,15853,0,0,22844,32,32,0,80
io4_l2n1n4_l4n1n1,19.979,1123,1123,0,0,876,16,0,0,14
io4_l2n1n4_l4n1n1_d1d2,31.850,1919,1919,0,0,1142,0,64,0,14
io4_l2n1n4_l4n1n2,20.477,1183,1183,0,0,924,16,0,0,14
io4_l2n1n4_l4n1n2_d1d2,32.097,1979,1979,0,0,1182,0,64,0,14
io4_l2n1n4_l4n1n4,25.241,1913,1913,0,0,1437,16,0,0,20
io4_l2n1n4_l4n1n4_d1d2,32.522,2074,2074,0,0,1253,0,64,0,14
io4_l2n1n4_l4n1p1,20.603,1191,1191,0,0,937,16,0,0,14
io4_l2n1n4_l4n1p1_d1d2,32.944,2003,2003,0,0,1166,0,64,0,14
io4_l2n1n4_l4n1p2,20.580,1279,1279,0,0,986,16,0,0,14
io4_l2n1n4_l4n1p2_d1d2,32.859,2167,2167,0,0,1240,0,64,0,14
io4_l2n1n4_l4n1p4,26.104,1850,1841,0,9,1472,16,0,0,20
io4_l2n1n4_l4n1p4_d1d2,40.025,2625,2615,0,10,1862,16,48,0,20
io4_l2n1n4_l4p1n1,35.785,4904,4904,0,0,6200,16,0,0,20
io4_l2n1n4_l4p1n1_d1d2,59.537,5715,5715,0,0,5803,32,32,0,40
io4_l2n1n4_l4p2n1,41.039,7235,7235,0,0,9115,16,0,0,20
io4_l2n1n4_l4p2n1_d1d2,89.147,11245,11245,0,0,11010,32,32,0,78
io4_l2n1n4_l4p4n1,57.143,12430,12430,0,0,15303,16,0,0,20
io4_l2n1n4_l4p4n1_d1d2,104.610,15761,15761,0,0,22979,32,32,0,80
io4_l2n1p1_l4n1n1,17.343,955,955,0,0,735,16,0,0,5
io4_l2n1p1_l4n1n1_d1d2,39.542,1771,1771,0,0,722,0,64,0,5
io4_l2n1p1_l4n1n2,18.712,1050,1050,0,0,762,16,0,0,5
io4_l2n1p1_l4n1n2_d1d2,39.589,1871,1871,0,0,764,0,64,0,5
io4_l2n1p1_l4n1n4,28.409,1927,1927,0,0,1512,16,0,0,20
io4_l2n1p1_l4n1n4_d1d2,39.844,1911,1911,0,0,835,0,64,0,5
io4_l2n1p1_l4n1p1,17.973,1064,1064,0,0,763,16,0,0,5
io4_l2n1p1_l4n1p1_d1d2,38.923,1881,1881,0,0,746,0,64,0,5
io4_l2n1p1_l4n1p2,17.990,1181,1181,0,0,801,16,0,0,5
io4_l2n1p1_l4n1p2_d1d2,39.222,2010,2010,0,0,788,0,64,0,5
io4_l2n1p1_l4n1p4,28.721,1858,1849,0,9,1514,16,0,0,20
io4_l2n1p1_l4n1p4_d1d2,51.805,2640,2630,0,10,1633,16,48,0,20
io4_l2n1p1_l4p1n1,38.114,4612,4612,0,0,6322,16,0,0,20
io4_l2n1p1_l4p1n1_d1d2,72.224,5858,5858,0,0,5583,32,32,0,40
io4_l2n1p1_l4p2n1,44.145,7215,7215,0,0,9186,16,0,0,20
io4_l2n1p1_l4p2n1_d1d2,99.543,11584,11584,0,0,10801,28,32,0,78
io4_l2n1p1_l4p4n1,62.187,12358,12358,0,0,15384,16,0,0,20
io4_l2n1p1_l4p4n1_d1d2,119.478,15888,15888,0,0,22935,32,32,0,80
io4_l2n1p2_l4n1n1,17.535,1084,1084,0,0,826,16,0,0,5
io4_l2n1p2_l4n1n1_d1d2,32.940,1860,1860,0,0,820,0,64,0,5
io4_l2n1p2_l4n1n2,18.357,1157,1157,0,0,861,16,0,0,5
io4_l2n1p2_l4n1n2_d1d2,33.480,1970,1970,0,0,863,0,64,0,5
io4_l2n1p2_l4n1n4,28.231,2123,2123,0,0,1579,16,0,0,20
io4_l2n1p2_l4n1n4_d1d2,33.806,2007,2007,0,0,934,0,64,0,5
io4_l2n1p2_l4n1p1,17.840,1173,1173,0,0,859,16,0,0,5
io4_l2n1p2_l4n1p1_d1d2,33.010,1970,1970,0,0,850,0,64,0,5
io4_l2n1p2_l4n1p2,18.430,1318,1318,0,0,890,16,0,0,5
io4_l2n1p2_l4n1p2_d1d2,33.520,2081,2081,0,0,889,0,64,0,5
io4_l2n1p2_l4n1p4,28.106,1970,1961,0,9,1608,16,0,0,20
io4_l2n1p2_l4n1p4_d1d2,46.292,2738,2728,0,10,1735,16,48,0,20
io4_l2n1p2_l4p1n1,38.708,4690,4690,0,0,6381,16,0,0,20
io4_l2n1p2_l4p1n1_d1d2,65.706,5989,5989,0,0,5647,32,32,0,40
io4_l2n1p2_l4p2n1,45.705,7376,7376,0,0,9174,16,0,0,20
io4_l2n1p2_l4p2n1_d1d2,95.020,11398,11398,0,0,11110,32,32,0,78
io4_l2n1p2_l4p4n1,58.366,12700,12700,0,0,15466,16,0,0,20
io4_l2n1p2_l4p4n1_d1d2,110.398,16044,16044,0,0,22958,32,32,0,80
io4_l2n1p4_l4n1n1,16.409,1091,1091,0,0,770,16,0,0,5
io4_l2n1p4_l4n1n1_d1d2,29.547,1878,1878,0,0,1012,0,64,0,5
io4_l2n1p4_l4n1n2,16.322,1136,1136,0,0,794,16,0,0,5
io4_l2n1p4_l4n1n2_d1d2,29.488,1967,1967,0,0,1056,0,64,0,5
io4_l2n1p4_l4n1n4,25.708,2040,2040,0,0,1545,16,0,0,20
io4_l2n1p4_l4n1n4_d1d2,30.086,2028,2028,0,0,1127,0,64,0,5
io4_l2n1p4_l4n1p1,16.618,1184,1184,0,0,799,16,0,0,5
io4_l2n1p4_l4n1p1_d1d2,29.262,1969,1969,0,0,1036,0,64,0,5
io4_l2n1p4_l4n1p2,17.508,1279,1279,0,0,896,16,0,0,5
io4_l2n1p4_l4n1p2_d1d2,30.324,2092,2092,0,0,1078,0,64,0,5
io4_l2n1p4_l4n1p4,26.958,1963,1954,0,9,1607,16,0,0,20
io4_l2n1p4_l4n1p4_d1d2,42.253,2750,2740,0,10,1923,16,48,0,20
io4_l2n1p4_l4p1n1,35.291,4775,4775,0,0,6249,16,0,0,20
io4_l2n1p4_l4p1n1_d1d2,62.180,6069,6069,0,0,5790,32,32,0,40
io4_l2n1p4_l4p2n1,42.736,7188,7188,0,0,9078,16,0,0,20
io4_l2n1p4_l4p2n1_d1d2,91.661,11489,11489,0,0,11021,32,32,0,78
io4_l2n1p4_l4p4n1,55.838,12993,12993,0,0,15348,16,0,0,20
io4_l2n1p4_l4p4n1_d1d2,104.446,15827,15827,0,0,23005,32,32,0,80
io4_l2p1n1_l4n1n1,22.482,1298,1298,0,0,1159,16,0,0,14
io4_l2p1n1_l4n1n1_d1d2,46.303,2803,2803,0,0,2070,32,32,0,26
io4_l2p1n1_l4n1n2,23.174,1346,1346,0,0,1186,16,0,0,14
io4_l2p1n1_l4n1n2_d1d2,47.458,2896,2896,0,0,2109,32,32,0,26
io4_l2p1n1_l4n1n4,27.964,2046,2046,0,0,1717,16,0,0,20
io4_l2p1n1_l4n1n4_d1d2,47.347,2918,2918,0,0,2181,32,32,0,26
io4_l2p1n1_l4n1p1,22.619,1339,1339,0,0,1223,16,0,0,14
io4_l2p1n1_l4n1p1_d1d2,46.366,2860,2860,0,0,2093,32,32,0,26
io4_l2p1n1_l4n1p2,23.736,1517,1517,0,0,1272,16,0,0,14
io4_l2p1n1_l4n1p2_d1d2,48.002,3012,3012,0,0,2165,32,32,0,26
io4_l2p1n1_l4n1p4,28.228,1979,1970,0,9,1747,16,0,0,20
io4_l2p1n1_l4n1p4_d1d2,55.037,3637,3627,0,10,2795,48,16,0,32
io4_l2p1n1_l4p1n1,38.896,4775,4775,0,0,6452,16,0,0,20
io4_l2p1n1_l4p1n1_d1d2,66.184,6407,6407,0,0,6450,64,0,0,40
io4_l2p1n1_l4p2n1,46.243,7343,7343,0,0,9303,16,0,0,20
io4_l2p1n1_l4p2n1_d1d2,95.299,11848,11848,0,0,11652,64,0,0,78
io4_l2p1n1_l4p4n1,58.366,12253,12253,0,0,15695,16,0,0,20
io4_l2p1n1_l4p4n1_d1d2,108.046,16666,16666,0,0,23801,60,0,0,80
io4_l2p2n1_l4n1n1,43.797,4267,4267,0,0,4202,16,0,0,26
io4_l2p2n1_l4n1n1_d1d2,55.548,6354,6354,0,0,5975,8,56,0,26
io4_l2p2n1_l4n1n2,43.953,4330,4330,0,0,4231,16,0,0,26
io4_l2p2n1_l4n1n2_d1d2,54.178,6456,6456,0,0,6046,8,56,0,26
io4_l2p2n1_l4n1n4,46.167,5036,5036,0,0,4702,16,0,0,32
io4_l2p2n1_l4n1n4_d1d2,54.743,6420,6420,0,0,6083,8,56,0,26
io4_l2p2n1_l4n1p1,42.334,4363,4363,0,0,4236,16,0,0,26
io4_l2p2n1_l4n1p1_d1d2,55.248,6331,6331,0,0,6025,8,56,0,26
io4_l2p2n1_l4n1p2,44.621,4440,4440,0,0,4262,16,0,0,26
io4_l2p2n1_l4n1p2_d1d2,54.788,6533,6533,0,0,6203,8,56,0,26
io4_l2p2n1_l4n1p4,46.797,4995,4986,0,9,4730,16,0,0,32
io4_l2p2n1_l4n1p4_d1d2,61.273,6899,6889,0,10,6699,24,40,0,32
io4_l2p2n1_l4p1n1,54.738,7754,7754,0,0,9706,16,0,0,32
io4_l2p2n1_l4p1n1_d1d2,71.109,9840,9840,0,0,9612,40,24,0,40
io4_l2p2n1_l4p2n1,63.584,10156,10156,0,0,12506,16,0,0,32
io4_l2p2n1_l4p2n1_d1d2,99.950,15272,15272,0,0,14821,40,24,0,78
io4_l2p2n1_l4p4n1,75.409,16058,16058,0,0,18843,16,0,0,32
io4_l2p2n1_l4p4n1_d1d2,114.987,20201,20201,0,0,26931,40,24,0,80
io4_l2p4n1_l4n1n1,216.722,15291,12915,0,2376,23347,16,0,0,46
io4_l2p4n1_l4n1n1_d1d2,317.472,24196,20986,0,3210,33351,32,32,0,101
io4_l2p4n1_l4n1n2,221.921,15561,13185,0,2376,23534,16,0,0,46
io4_l2p4n1_l4n1n2_d1d2,315.362,24404,21194,0,3210,33297,32,32,0,101
io4_l2p4n1_l4n1n4,284.047,15350,12974,0,2376,23327,16,0,0,46
io4_l2p4n1_l4n1n4_d1d2,311.239,24176,20966,0,3210,33361,32,32,0,101
io4_l2p4n1_l4n1p1,239.968,15809,13433,0,2376,23388,16,0,0,46
io4_l2p4n1_l4n1p1_d1d2,365.992,24395,21185,0,3210,33302,32,32,0,101
io4_l2p4n1_l4n1p2,279.538,15715,13339,0,2376,23408,16,0,0,46
io4_l2p4n1_l4n1p2_d1d2,437.730,24396,21186,0,3210,33370,32,32,0,101
io4_l2p4n1_l4n1p4,327.273,15543,13158,0,2385,23338,16,0,0,46
io4_l2p4n1_l4n1p4_d1d2,552.707,24364,21144,0,3220,33415,48,16,0,101
io4_l2p4n1_l4p1n1,345.206,18550,16174,0,2376,27085,16,0,0,46
io4_l2p4n1_l4p1n1_d1d2,565.477,26371,23161,0,3210,35282,60,0,0,101
io4_l2p4n1_l4p2n1,353.669,21065,18689,0,2376,30042,16,0,0,46
io4_l2p4n1_l4p2n1_d1d2,611.539,30148,26938,0,3210,37467,64,0,0,101
io4_l2p4n1_l4p4n1,375.009,25875,23499,0,2376,36467,16,0,0,46
io4_l2p4n1_l4p4n1_d1d2,635.301,34772,31562,0,3210,47608,64,0,0,101
io8_l2n1n1_l4n1n1,18.224,1115,1115,0,0,627,0,32,0,5
io8_l2n1n1_l4n1n1_d1d2,87.126,4893,4893,0,0,682,0,256,0,5
io8_l2n1n1_l4n1n2,17.378,1144,1144,0,0,644,0,32,0,5
io8_l2n1n1_l4n1n2_d1d2,81.592,4847,4847,0,0,719,0,256,0,5
io8_l2n1n1_l4n1n4,18.495,1349,1349,0,0,743,0,32,0,5
io8_l2n1n1_l4n1n4_d1d2,81.426,4906,4906,0,0,797,0,256,0,5
io8_l2n1n1_l4n1n8,41.366,3313,3313,0,0,2486,0,32,0,40
io8_l2n1n1_l4n1n8_d1d2,82.134,5169,5169,0,0,950,0,256,0,5
io8_l2n1n1_l4n1p1,18.713,1128,1128,0,0,757,0,32,0,5
io8_l2n1n1_l4n1p1_d1d2,86.675,4991,4991,0,0,704,0,256,0,5
io8_l2n1n1_l4n1p2,19.225,1335,1335,0,0,736,0,32,0,5
io8_l2n1n1_l4n1p2_d1d2,87.390,5374,5374,0,0,808,0,256,0,5
io8_l2n1n1_l4n1p4,19.778,1534,1534,0,0,861,0,32,0,5
io8_l2n1n1_l4n1p4_d1d2,89.748,5376,5376,0,0,921,0,256,0,5
io8_l2n1n1_l4n1p8,42.302,3117,3108,0,9,2519,8,24,0,40
io8_l2n1n1_l4n1p8_d1d2,121.634,6987,6978,0,9,2758,64,192,0,40
io8_l2n1n1_l4p1n1,52.524,6294,6294,0,0,7823,16,16,0,40
io8_l2n1n1_l4p1n1_d1d2,165.505,13558,13558,0,0,9371,128,128,0,80
io8_l2n1n1_l4p2n1,58.113,8635,8635,0,0,11976,16,16,0,40
io8_l2n1n1_l4p2n1_d1d2,223.339,21836,21836,0,0,20303,128,128,0,160
io8_l2n1n1_l4p4n1,69.342,13385,13385,0,0,17619,16,16,0,40
io8_l2n1n1_l4p4n1_d1d2,319.158,35838,35838,0,0,38788,128,128,0,320
io8_l2n1n1_l4p8n1,94.859,24260,24260,0,0,30348,16,16,0,40
io8_l2n1n1_l4p8n1_d1d2,353.640,47925,47925,0,0,63473,128,128,0,320
io8_l2n1n2_l4n1n1,16.078,1151,1151,0,0,742,0,32,0,5
io8_l2n1n2_l4n1n1_d1d2,79.969,5044,5044,0,0,865,0,256,0,8
io8_l2n1n2_l4n1n2,16.727,1173,1173,0,0,825,0,32,0,5
io8_l2n1n2_l4n1n2_d1d2,79.886,5007,5007,0,0,894,0,256,0,8
io8_l2n1n2_l4n1n4,17.157,1337,1337,0,0,855,0,32,0,5
io8_l2n1n2_l4n1n4_d1d2,78.415,5046,5046,0,0,984,0,256,0,8
io8_l2n1n2_l4n1n8,39.154,3253,3253,0,0,2542,0,32,0,40
io8_l2n1n2_l4n1n8_d1d2,79.623,5311,5311,0,0,1136,0,256,0,8
io8_l2n1n2_l4n1p1,16.463,1244,1244,0,0,763,0,32,0,5
io8_l2n1n2_l4n1p1_d1d2,80.657,5131,5131,0,0,888,0,256,0,8
io8_l2n1n2_l4n1p2,16.748,1373,1373,0,0,854,0,32,0,5
io8_l2n1n2_l4n1p2_d1d2,81.283,5511,5511,0,0,962,0,256,0,8
io8_l2n1n2_l4n1p4,17.857,1515,1515,0,0,964,0,32,0,5
io8_l2n1n2_l4n1p4_d1d2,84.518,5502,5502,0,0,1108,0,256,0,8
io8_l2n1n2_l4n1p8,40.235,3153,3144,0,9,2565,8,24,0,40
io8_l2n1n2_l4n1p8_d1d2,116.533,7070,7061,0,9,2887,64,192,0,40
io8_l2n1n2_l4p1n1,49.762,6119,6119,0,0,7900,16,16,0,40
io8_l2n1n2_l4p1n1_d1d2,162.370,13560,13560,0,0,10223,128,128,0,80
io8_l2n1n2_l4p2n1,54.879,8640,8640,0,0,12054,16,16,0,40
io8_l2n1n2_l4p2n1_d1d2,212.269,21478,21478,0,0,20193,128,128,0,160
io8_l2n1n2_l4p4n1,65.536,13740,13740,0,0,17715,16,16,0,40
io8_l2n1n2_l4p4n1_d1d2,318.104,35768,35768,0,0,38857,124,128,0,320
io8_l2n1n2_l4p8n1,86.248,23281,23281,0,0,30422,16,16,0,40
io8_l2n1n2_l4p8n1_d1d2,344.172,48802,48802,0,0,63683,120,128,0,320
io8_l2n1n4_l4n1n1,25.211,1465,1465,0,0,1144,0,32,0,14
io8_l2n1n4_l4n1n1_d1d2,77.105,5216,5216,0,0,1195,0,256,0,14
io8_l2n1n4_l4n1n2,25.368,1496,1496,0,0,1231,0,32,0,14
io8_l2n1n4_l4n1n2_d1d2,78.903,5176,5176,0,0,1224,0,256,0,14
io8_l2n1n4_l4n1n4,25.486,1631,1631,0,0,1260,0,32,0,14
io8_l2n1n4_l4n1n4_d1d2,77.997,5272,5272,0,0,1310,0,256,0,14
io8_l2n1n4_l4n1n8,43.210,3497,3497,0,0,2754,0,32,0,40
io8_l2n1n4_l4n1n8_d1d2,78.076,5484,5484,0,0,1467,0,256,0,14
io8_l2n1n4_l4n1p1,25.548,1606,1606,0,0,1170,0,32,0,14
io8_l2n1n4_l4n1p1_d1d2,78.537,5338,5338,0,0,1220,0,256,0,14
io8_l2n1n4_l4n1p2,25.634,1691,1691,0,0,1261,0,32,0,14
io8_l2n1n4_l4n1p2_d1d2,78.868,5605,5605,0,0,1290,0,256,0,14
io8_l2n1n4_l4n1p4,26.395,1827,1827,0,0,1374,0,32,0,14
io8_l2n1n4_l4n1p4_d1d2,80.839,5747,5747,0,0,1431,0,256,0,14
io8_l2n1n4_l4n1p8,43.909,3306,3297,0,9,2780,8,24,0,40
io8_l2n1n4_l4n1p8_d1d2,109.641,7180,7171,0,9,3087,64,192,0,40
io8_l2n1n4_l4p1n1,54.819,6139,6139,0,0,8118,16,16,0,40
io8_l2n1n4_l4p1n1_d1d2,153.356,13698,13698,0,0,9560,128,128,0,80
io8_l2n1n4_l4p2n1,60.480,8872,8872,0,0,12259,16,16,0,40
io8_l2n1n4_l4p2n1_d1d2,200.812,21663,21663,0,0,20412,112,128,0,160
io8_l2n1n4_l4p4n1,70.447,13887,13887,0,0,18119,16,16,0,40
io8_l2n1n4_l4p4n1_d1d2,311.762,35810,35810,0,0,39671,120,128,0,320
io8_l2n1n4_l4p8n1,100.245,23883,23883,0,0,30474,16,16,0,40
