prj,total_pwr(uW),static_pwr(uW),dynamic_pwr(mW),vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,URAM,DSP48 Blocks
io2_l2n1p1_l4p2n1_d1d2,369016.175,355238.275,13.777899999999965,41.228,6293,6293,0,0,9222,16,0,0,20
io2_l2n1p2_l4n1n1,346327.625,334778.95,11.548674999999989,16.731,884,884,0,0,699,16,0,0,5
io2_l2n1p2_l4n1n1_d1d2,348634.375,335270.7,13.363674999999988,17.379,1139,1139,0,0,915,16,0,0,5
io2_l2n1p2_l4n1n2,347904.125,335018.875,12.88525,20.334,1197,1197,0,0,986,16,0,0,10
io2_l2n1p2_l4n1n2_d1d2,349669.9875,335609.65,14.060337499999966,17.680,1227,1227,0,0,999,16,0,0,5
io2_l2n1p2_l4n1p1,349441.25,336251.55,13.18970000000001,17.460,977,977,0,0,728,16,0,0,5
io2_l2n1p2_l4n1p1_d1d2,352484.325,338848.5,13.635825000000011,17.416,1231,1231,0,0,980,16,0,0,5
io2_l2n1p2_l4n1p2,338244.9135802469,325684.25,12.56066358024691,20.701,1211,1202,0,9,963,16,0,0,10
io2_l2n1p2_l4n1p2_d1d2,351872.3875,337804.35,14.068037500000035,22.178,1459,1450,0,9,1278,16,0,0,10
io2_l2n1p2_l4p1n1,362840.125,347908.025,14.932099999999977,30.575,4167,4167,0,0,4772,16,0,0,10
io2_l2n1p2_l4p1n1_d1d2,366622.05,349166.05,17.456,34.535,4627,4627,0,0,4427,16,0,0,18
io2_l2n1p2_l4p2n1,381629.95,362061.975,19.567975000000036,37.872,6905,6905,0,0,8035,16,0,0,10
io2_l2n1p2_l4p2n1_d1d2,376754.975,357381.25,19.373724999999975,41.221,6208,6208,0,0,9226,12,0,0,20
io2_l2p1n1_l4n1n1,368498.5125,346408.2,22.0903125,90.030,6161,6161,0,0,6395,16,0,0,152
io2_l2p1n1_l4n1n1_d1d2,373255.95,349303.825,23.952125,112.349,10215,10215,0,0,14390,16,0,0,176
io2_l2p1n1_l4n1n2,373317.8375,348375.4,24.9424375,91.392,6323,6323,0,0,6607,16,0,0,154
io2_l2p1n1_l4n1n2_d1d2,371163.1375,346958.6,24.204537500000036,110.888,10279,10279,0,0,11633,16,0,0,176
io2_l2p1n1_l4n1p1,368723.275,345284.875,23.438400000000023,91.121,6208,6208,0,0,6414,16,0,0,152
io2_l2p1n1_l4n1p1_d1d2,374384.2375,349188.85,25.195387500000013,110.748,10258,10258,0,0,11574,16,0,0,176
io2_l2p1n1_l4n1p2,370439.1111111111,346636.575,23.802536111111113,92.606,6313,6304,0,9,6549,16,0,0,154
io2_l2p1n1_l4n1p2_d1d2,373415.325,351215.6,22.199725000000036,113.226,10477,10468,0,9,11809,16,0,0,178
io2_l2p1n1_l4p1n1,386993.3875,358384.8,28.608587500000024,115.467,10510,10510,0,0,11390,16,0,0,184
io2_l2p1n1_l4p1n1_d1d2,389788.125,362196.0,27.592125,58.855,10483,10483,0,0,14804,16,0,0,24
io2_l2p1n1_l4p2n1,403326.0,373665.2,29.660799999999988,96.827,11952,11952,0,0,12926,16,0,0,121
io2_l2p1n1_l4p2n1_d1d2,400434.25,371693.65,28.740599999999976,96.840,13863,13863,0,0,18295,16,0,0,104
io2_l2p2n1_l4n1n1,510884.5875,367275.95,143.60863750000001,142.750,8803,7611,0,1192,12377,16,0,0,26
io2_l2p2n1_l4n1n1_d1d2,500377.64864864864,367757.675,132.61997364864865,162.450,11241,9600,0,1641,15580,16,0,0,52
io2_l2p2n1_l4n1n2,530390.5394736842,361149.8333333333,169.24070614035085,162.822,8521,7329,0,1192,12339,16,0,0,26
io2_l2p2n1_l4n1n2_d1d2,500558.8,368273.3157894737,132.28548421052628,167.996,10664,9023,0,1641,15621,12,0,0,52
io2_l2p2n1_l4n1p1,531636.4864864865,358151.375,173.48511148648652,157.529,8808,7616,0,1192,12407,16,0,0,26
io2_l2p2n1_l4n1p1_d1d2,514050.6666666667,365137.8378378378,148.91282882882888,188.369,11500,9859,0,1641,15604,16,0,0,52
io2_l2p2n1_l4n1p2,573320.0789473684,366403.5263157895,206.91655263157892,185.764,8542,7341,0,1201,12378,16,0,0,26
io2_l2p2n1_l4n1p2_d1d2,551972.2816901408,369903.76923076925,182.0685124593716,238.581,11099,9449,0,1650,15646,16,0,0,52
io2_l2p2n1_l4p1n1,590638.04,379421.71794871794,211.2163220512821,198.606,11462,10270,0,1192,15885,16,0,0,26
io2_l2p2n1_l4p1n1_d1d2,584309.5263157894,383486.3157894737,200.82321052631573,249.581,13535,11894,0,1641,18087,16,0,0,52
io2_l2p2n1_l4p2n1,631464.1911764706,392756.9411764706,238.70725,203.027,14209,13014,0,1195,19508,16,0,0,26
io2_l2p2n1_l4p2n1_d1d2,607521.8591549295,391288.3125,216.2335466549295,259.560,15339,13698,0,1641,22551,14,0,0,52
io4_l2n1n1_l4n1n1,330779.1884057971,326144.13513513515,4.63505327066197,13.073,795,795,0,0,609,16,0,0,5
io4_l2n1n1_l4n1n1_d1d2,355071.54054054053,344593.1538461539,10.478386694386659,27.552,1597,1597,0,0,627,0,64,0,5
io4_l2n1n1_l4n1n2,326318.225,320315.94736842107,6.002277631578909,13.273,866,866,0,0,640,16,0,0,5
io4_l2n1n1_l4n1n2_d1d2,349734.075,335780.2,13.953875,27.890,1662,1662,0,0,669,0,64,0,5
io4_l2n1n1_l4n1n4,327579.025,321481.3,6.097725000000035,22.853,1760,1760,0,0,1361,16,0,0,20
io4_l2n1n1_l4n1n4_d1d2,352762.7375,338426.25,14.336487499999988,28.815,1736,1736,0,0,743,0,64,0,5
io4_l2n1n1_l4n1p1,322306.3333333333,316698.95,5.607383333333302,13.115,878,878,0,0,643,16,0,0,5
io4_l2n1n1_l4n1p1_d1d2,347620.9882352941,337123.65,10.497338235294096,27.746,1678,1678,0,0,652,0,64,0,5
io4_l2n1n1_l4n1p2,321764.6,316769.5,4.995099999999977,13.618,987,987,0,0,721,16,0,0,5
io4_l2n1n1_l4n1p2_d1d2,347497.575,334157.5,13.340075000000011,28.161,1812,1812,0,0,728,0,64,0,5
io4_l2n1n1_l4n1p4,326720.7625,320626.7,6.0940625,23.901,1705,1696,0,9,1393,16,0,0,20
io4_l2n1n1_l4n1p4_d1d2,358014.25,343863.075,14.151174999999988,40.841,2468,2458,0,10,1543,16,48,0,20
io4_l2n1n1_l4p1n1,353699.5,344035.8717948718,9.66362820512819,32.862,4657,4657,0,0,6164,16,0,0,20
io4_l2n1n1_l4p1n1_d1d2,372159.0126582279,358620.15,13.538862658227853,59.784,5550,5550,0,0,5521,32,32,0,40
io4_l2n1n1_l4p2n1,361801.4875,353470.55,8.3309375,40.002,7164,7164,0,0,9057,16,0,0,20
io4_l2n1n1_l4p2n1_d1d2,389609.7594936709,375792.025,13.81773449367087,87.143,11430,11430,0,0,10820,26,32,0,78
io4_l2n1n1_l4p4n1,382880.0,373991.0,8.889,53.167,12421,12421,0,0,15464,16,0,0,20
io4_l2n1n1_l4p4n1_d1d2,407826.5,392308.9,15.517599999999977,106.685,15714,15714,0,0,22819,32,32,0,80
io4_l2n1n2_l4n1n1,325923.67088607594,317923.6,8.000070886075962,16.222,950,950,0,0,806,16,0,0,8
io4_l2n1n2_l4n1n1_d1d2,347699.5875,338403.25,9.296337500000023,28.826,1734,1734,0,0,815,0,64,0,8
io4_l2n1n2_l4n1n2,326169.875,320487.625,5.68225,16.427,1027,1027,0,0,836,16,0,0,8
io4_l2n1n2_l4n1n2_d1d2,346022.91139240505,336818.95,9.203961392405036,29.303,1798,1798,0,0,854,0,64,0,8
io4_l2n1n2_l4n1n4,326702.7625,320486.0,6.216762500000011,24.761,1840,1840,0,0,1494,16,0,0,20
io4_l2n1n2_l4n1n4_d1d2,351136.75,338429.3658536585,12.707384146341472,30.162,1886,1886,0,0,928,0,64,0,8
io4_l2n1n2_l4n1p1,329056.4375,321240.45,7.815987499999989,16.381,997,997,0,0,876,16,0,0,8
io4_l2n1n2_l4n1p1_d1d2,351752.575,341222.95,10.529625,28.689,1807,1807,0,0,841,0,64,0,8
io4_l2n1n2_l4n1p2,330884.4938271605,324715.75,6.168743827160506,16.899,1111,1111,0,0,914,16,0,0,8
io4_l2n1n2_l4n1p2_d1d2,355290.8,343754.1794871795,11.53662051282049,29.534,1919,1919,0,0,912,0,64,0,8
io4_l2n1n2_l4n1p4,333950.425,326289.025,7.661399999999965,25.018,1775,1766,0,9,1526,16,0,0,20
io4_l2n1n2_l4n1p4_d1d2,360463.375,349026.275,11.437099999999976,40.978,2549,2539,0,10,1666,16,48,0,20
io4_l2n1n2_l4p1n1,357598.5375,351843.75,5.754787499999977,35.048,4571,4571,0,0,6263,16,0,0,20
io4_l2n1n2_l4p1n1_d1d2,365900.2,355023.125,10.877075000000012,60.892,5655,5655,0,0,5606,32,32,0,40
io4_l2n1n2_l4p2n1,361335.2,350899.35,10.435850000000034,42.733,7194,7194,0,0,9125,16,0,0,20
io4_l2n1n2_l4p2n1_d1d2,385681.0875,372904.75,12.776337500000023,89.338,11050,11050,0,0,10803,32,32,0,78
io4_l2n1n2_l4p4n1,391300.225,381562.25,9.737974999999977,57.903,12156,12156,0,0,16115,16,0,0,20
io4_l2n1n2_l4p4n1_d1d2,407539.225,391895.85,15.643375,103.828,15853,15853,0,0,22844,32,32,0,80
io4_l2n1n4_l4n1n1,323653.125,317813.65,5.839474999999977,19.979,1123,1123,0,0,876,16,0,0,14
io4_l2n1n4_l4n1n1_d1d2,344025.3209876543,333759.65,10.265670987654303,31.850,1919,1919,0,0,1142,0,64,0,14
io4_l2n1n4_l4n1n2,324049.325,317909.0256410256,6.140299358974386,20.477,1183,1183,0,0,924,16,0,0,14
io4_l2n1n4_l4n1n2_d1d2,349029.9,339782.75,9.247150000000023,32.097,1979,1979,0,0,1182,0,64,0,14
io4_l2n1n4_l4n1n4,345851.05,335325.05,10.526,25.241,1913,1913,0,0,1437,16,0,0,20
io4_l2n1n4_l4n1n4_d1d2,354208.4125,343630.575,10.577837499999966,32.522,2074,2074,0,0,1253,0,64,0,14
io4_l2n1n4_l4n1p1,343177.89873417723,335552.25,7.62564873417723,20.603,1191,1191,0,0,937,16,0,0,14
io4_l2n1n4_l4n1p1_d1d2,354390.925,343770.725,10.620200000000011,32.944,2003,2003,0,0,1166,0,64,0,14
io4_l2n1n4_l4n1p2,345119.125,337908.1,7.211025000000023,20.580,1279,1279,0,0,986,16,0,0,14
io4_l2n1n4_l4n1p2_d1d2,355599.06329113926,344889.8,10.709263291139273,32.859,2167,2167,0,0,1240,0,64,0,14
io4_l2n1n4_l4n1p4,345428.0875,337109.95,8.318137500000011,26.104,1850,1841,0,9,1472,16,0,0,20
io4_l2n1n4_l4n1p4_d1d2,356485.5,345055.7,11.429799999999988,40.025,2625,2615,0,10,1862,16,48,0,20
io4_l2n1n4_l4p1n1,355788.56962025317,344949.58974358975,10.83897987666342,35.785,4904,4904,0,0,6200,16,0,0,20
io4_l2n1n4_l4p1n1_d1d2,365452.525,356624.25,8.828275000000023,59.537,5715,5715,0,0,5803,32,32,0,40
io4_l2n1n4_l4p2n1,365168.45,353083.73170731706,12.084718292682956,41.039,7235,7235,0,0,9115,16,0,0,20
io4_l2n1n4_l4p2n1_d1d2,385989.575,373747.45,12.242125,89.147,11245,11245,0,0,11010,32,32,0,78
io4_l2n1n4_l4p4n1,389937.7,375641.275,14.296424999999989,57.143,12430,12430,0,0,15303,16,0,0,20
io4_l2n1n4_l4p4n1_d1d2,406710.325,394184.9,12.525424999999988,104.610,15761,15761,0,0,22979,32,32,0,80
io4_l2n1p1_l4n1n1,327797.275,316814.75,10.982525000000024,17.343,955,955,0,0,735,16,0,0,5
io4_l2n1p1_l4n1n1_d1d2,360555.2875,339275.75,21.279537499999975,39.542,1771,1771,0,0,722,0,64,0,5
io4_l2n1p1_l4n1n2,333529.1125,321065.75,12.463362499999988,18.712,1050,1050,0,0,762,16,0,0,5
io4_l2n1p1_l4n1n2_d1d2,362327.175,343008.9268292683,19.318248170731707,39.589,1871,1871,0,0,764,0,64,0,5
io4_l2n1p1_l4n1n4,348573.4375,336532.7,12.040737499999988,28.409,1927,1927,0,0,1512,16,0,0,20
io4_l2n1p1_l4n1n4_d1d2,369440.975,345185.5,24.255474999999976,39.844,1911,1911,0,0,835,0,64,0,5
io4_l2n1p1_l4n1p1,348180.15189873416,336972.45,11.207701898734143,17.973,1064,1064,0,0,763,16,0,0,5
io4_l2n1p1_l4n1p1_d1d2,364215.25,342469.425,21.74582500000001,38.923,1881,1881,0,0,746,0,64,0,5
io4_l2n1p1_l4n1p2,331198.775,322236.0,8.962775000000024,17.990,1181,1181,0,0,801,16,0,0,5
io4_l2n1p1_l4n1p2_d1d2,361981.675,338883.45,23.098224999999978,39.222,2010,2010,0,0,788,0,64,0,5
io4_l2n1p1_l4n1p4,333135.4125,322589.4,10.546012499999954,28.721,1858,1849,0,9,1514,16,0,0,20
io4_l2n1p1_l4n1p4_d1d2,366825.8875,342003.65,24.82223749999999,51.805,2640,2630,0,10,1633,16,48,0,20
io4_l2n1p1_l4p1n1,357837.582278481,345470.25,12.367332278480987,38.114,4612,4612,0,0,6322,16,0,0,20
io4_l2n1p1_l4p1n1_d1d2,379290.425,354062.775,25.227649999999965,72.224,5858,5858,0,0,5583,32,32,0,40
io4_l2n1p1_l4p2n1,366496.975,351100.9,15.396074999999954,44.145,7215,7215,0,0,9186,16,0,0,20
io4_l2n1p1_l4p2n1_d1d2,400856.40506329114,372798.9,28.057505063291114,99.543,11584,11584,0,0,10801,28,32,0,78
io4_l2n1p1_l4p4n1,404339.625,385650.7,18.688924999999987,62.187,12358,12358,0,0,15384,16,0,0,20
io4_l2n1p1_l4p4n1_d1d2,425805.975,396936.2,28.869774999999965,119.478,15888,15888,0,0,22935,32,32,0,80
io4_l2n1p2_l4n1n1,345982.56962025317,334678.5,11.30406962025317,17.535,1084,1084,0,0,826,16,0,0,5
io4_l2n1p2_l4n1n1_d1d2,365624.7625,340869.375,24.755387500000012,32.940,1860,1860,0,0,820,0,64,0,5
io4_l2n1p2_l4n1n2,347630.5,334813.6,12.816900000000023,18.357,1157,1157,0,0,861,16,0,0,5
io4_l2n1p2_l4n1n2_d1d2,367182.725,344041.0,23.141724999999976,33.480,1970,1970,0,0,863,0,64,0,5
io4_l2n1p2_l4n1n4,352882.9375,339893.6,12.989337500000023,28.231,2123,2123,0,0,1579,16,0,0,20
io4_l2n1p2_l4n1n4_d1d2,366255.85,342824.375,23.431474999999978,33.806,2007,2007,0,0,934,0,64,0,5
io4_l2n1p2_l4n1p1,342738.2125,331908.3,10.829912500000034,17.840,1173,1173,0,0,859,16,0,0,5
io4_l2n1p2_l4n1p1_d1d2,364047.8,337615.65,26.432149999999965,33.010,1970,1970,0,0,850,0,64,0,5
io4_l2n1p2_l4n1p2,343193.8125,331535.65,11.658162499999976,18.430,1318,1318,0,0,890,16,0,0,5
io4_l2n1p2_l4n1p2_d1d2,361132.1375,337677.7,23.4544375,33.520,2081,2081,0,0,889,0,64,0,5
io4_l2n1p2_l4n1p4,344795.6,331903.2,12.892399999999965,28.106,1970,1961,0,9,1608,16,0,0,20
io4_l2n1p2_l4n1p4_d1d2,366521.4683544304,338986.2,27.535268354430386,46.292,2738,2728,0,10,1735,16,48,0,20
io4_l2n1p2_l4p1n1,359665.375,344320.175,15.34520000000001,38.708,4690,4690,0,0,6381,16,0,0,20
io4_l2n1p2_l4p1n1_d1d2,383569.25,355397.5,28.17175,65.706,5989,5989,0,0,5647,32,32,0,40
io4_l2n1p2_l4p2n1,371899.125,352696.45,19.20267499999999,45.705,7376,7376,0,0,9174,16,0,0,20
io4_l2n1p2_l4p2n1_d1d2,407600.6375,378393.26829268294,29.20736920731707,95.020,11398,11398,0,0,11110,32,32,0,78
io4_l2n1p2_l4p4n1,397455.0,378646.25,18.80875,58.366,12700,12700,0,0,15466,16,0,0,20
io4_l2n1p2_l4p4n1_d1d2,427059.0,392888.1,34.170900000000024,110.398,16044,16044,0,0,22958,32,32,0,80
io4_l2n1p4_l4n1n1,348743.6875,338117.5,10.6261875,16.409,1091,1091,0,0,770,16,0,0,5
io4_l2n1p4_l4n1n1_d1d2,361214.2375,339983.45,21.230787499999977,29.547,1878,1878,0,0,1012,0,64,0,5
io4_l2n1p4_l4n1n2,343011.2025316456,332250.4,10.760802531645576,16.322,1136,1136,0,0,794,16,0,0,5
io4_l2n1p4_l4n1n2_d1d2,359339.7974683544,338955.675,20.384122468354413,29.488,1967,1967,0,0,1056,0,64,0,5
io4_l2n1p4_l4n1n4,345823.325,334279.25,11.544075000000012,25.708,2040,2040,0,0,1545,16,0,0,20
io4_l2n1p4_l4n1n4_d1d2,362405.35,341795.23076923075,20.610119230769225,30.086,2028,2028,0,0,1127,0,64,0,5
io4_l2n1p4_l4n1p1,342920.5,331430.05,11.490450000000012,16.618,1184,1184,0,0,799,16,0,0,5
io4_l2n1p4_l4n1p1_d1d2,359354.0506329114,338865.15,20.488900632911363,29.262,1969,1969,0,0,1036,0,64,0,5
io4_l2n1p4_l4n1p2,342880.375,331419.243902439,11.461131097560981,17.508,1279,1279,0,0,896,16,0,0,5
io4_l2n1p4_l4n1p2_d1d2,362497.35443037975,339229.925,23.267429430379764,30.324,2092,2092,0,0,1078,0,64,0,5
io4_l2n1p4_l4n1p4,351659.025,338112.2,13.54682500000001,26.958,1963,1954,0,9,1607,16,0,0,20
io4_l2n1p4_l4n1p4_d1d2,372327.7,348471.975,23.855725000000035,42.253,2750,2740,0,10,1923,16,48,0,20
io4_l2n1p4_l4p1n1,362971.625,350413.85,12.557775000000023,35.291,4775,4775,0,0,6249,16,0,0,20
io4_l2n1p4_l4p1n1_d1d2,385394.746835443,358207.4,27.187346835442995,62.180,6069,6069,0,0,5790,32,32,0,40
io4_l2n1p4_l4p2n1,373641.4875,357217.641025641,16.423846474358985,42.736,7188,7188,0,0,9078,16,0,0,20
io4_l2n1p4_l4p2n1_d1d2,406060.025,379177.775,26.88225,91.661,11489,11489,0,0,11021,32,32,0,78
io4_l2n1p4_l4p4n1,395738.825,377980.95,17.757875,55.838,12993,12993,0,0,15348,16,0,0,20
io4_l2n1p4_l4p4n1_d1d2,427590.45,395554.2,32.03625,104.446,15827,15827,0,0,23005,32,32,0,80
io4_l2p1n1_l4n1n1,361349.275,344375.075,16.97420000000001,22.482,1298,1298,0,0,1159,16,0,0,14
io4_l2p1n1_l4n1n1_d1d2,382484.875,349791.9,32.692974999999976,46.303,2803,2803,0,0,2070,32,32,0,26
io4_l2p1n1_l4n1n2,357554.7125,337125.7,20.429012500000013,23.174,1346,1346,0,0,1186,16,0,0,14
io4_l2p1n1_l4n1n2_d1d2,379212.725,350296.1,28.916625,47.458,2896,2896,0,0,2109,32,32,0,26
io4_l2p1n1_l4n1n4,364556.0,341319.6,23.236400000000025,27.964,2046,2046,0,0,1717,16,0,0,20
io4_l2p1n1_l4n1n4_d1d2,389116.8,353351.3,35.7655,47.347,2918,2918,0,0,2181,32,32,0,26
io4_l2p1n1_l4n1p1,363619.075,342281.75,21.33732500000001,22.619,1339,1339,0,0,1223,16,0,0,14
io4_l2p1n1_l4n1p1_d1d2,387750.675,353378.35,34.37232500000001,46.366,2860,2860,0,0,2093,32,32,0,26
io4_l2p1n1_l4n1p2,365752.375,345234.84444444446,20.51753055555554,23.736,1517,1517,0,0,1272,16,0,0,14
io4_l2p1n1_l4n1p2_d1d2,390657.65432098764,353785.15,36.872504320987616,48.002,3012,3012,0,0,2165,32,32,0,26
io4_l2p1n1_l4n1p4,369543.2151898734,350176.05,19.367165189873425,28.228,1979,1970,0,9,1747,16,0,0,20
io4_l2p1n1_l4n1p4_d1d2,394891.55,361385.243902439,33.50630609756097,55.037,3637,3627,0,10,2795,48,16,0,32
io4_l2p1n1_l4p1n1,380101.8375,359592.3,20.509537500000036,38.896,4775,4775,0,0,6452,16,0,0,20
io4_l2p1n1_l4p1n1_d1d2,402515.55,368269.25,34.24629999999999,66.184,6407,6407,0,0,6450,64,0,0,40
io4_l2p1n1_l4p2n1,394305.225,370808.075,23.497149999999966,46.243,7343,7343,0,0,9303,16,0,0,20
io4_l2p1n1_l4p2n1_d1d2,422675.75,385100.4,37.57534999999998,95.299,11848,11848,0,0,11652,64,0,0,78
io4_l2p1n1_l4p4n1,417588.8,391684.125,25.904674999999987,58.366,12253,12253,0,0,15695,16,0,0,20
io4_l2p1n1_l4p4n1_d1d2,438636.125,392509.5,46.126625,108.046,16666,16666,0,0,23801,60,0,0,80
io4_l2p2n1_l4n1n1,368317.775,341743.25,26.574525000000023,43.797,4267,4267,0,0,4202,16,0,0,26
io4_l2p2n1_l4n1n1_d1d2,387422.125,352585.275,34.83684999999998,55.548,6354,6354,0,0,5975,8,56,0,26
io4_l2p2n1_l4n1n2,367592.7625,342362.4,25.230362499999988,43.953,4330,4330,0,0,4231,16,0,0,26
io4_l2p2n1_l4n1n2_d1d2,383434.45,350657.5,32.776950000000014,54.178,6456,6456,0,0,6046,8,56,0,26
io4_l2p2n1_l4n1n4,377554.275,344856.5,32.69777500000002,46.167,5036,5036,0,0,4702,16,0,0,32
io4_l2p2n1_l4n1n4_d1d2,395930.4125,357055.5,38.87491249999998,54.743,6420,6420,0,0,6083,8,56,0,26
io4_l2p2n1_l4n1p1,372093.425,345950.3,26.143125,42.334,4363,4363,0,0,4236,16,0,0,26
io4_l2p2n1_l4n1p1_d1d2,389864.3875,354686.55,35.177837500000024,55.248,6331,6331,0,0,6025,8,56,0,26
io4_l2p2n1_l4n1p2,374848.05,346521.525,28.326524999999965,44.621,4440,4440,0,0,4262,16,0,0,26
io4_l2p2n1_l4n1p2_d1d2,389986.075,355014.425,34.971650000000025,54.788,6533,6533,0,0,6203,8,56,0,26
io4_l2p2n1_l4n1p4,378257.35,344567.8,33.68954999999999,46.797,4995,4986,0,9,4730,16,0,0,32
io4_l2p2n1_l4n1p4_d1d2,401966.55,359439.0,42.52754999999999,61.273,6899,6889,0,10,6699,24,40,0,32
io4_l2p2n1_l4p1n1,393668.3875,357460.675,36.20771250000002,54.738,7754,7754,0,0,9706,16,0,0,32
