prj,total_pwr(uW),static_pwr(uW),dynamic_pwr(mW),vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,URAM,DSP48 Blocks
io2_l2n1n2_l5n1n2_l8p2n1,414699.34210526315,398753.5641025641,15.945778002699022,45.678,7625,6433,0,1192,11879,24,0,0,20
io2_l2n1n2_l5n1n2_l8p2n1_d1d2,430335.54054054053,407556.82857142854,22.77871196911199,57.215,10778,9137,0,1641,15135,22,0,0,40
io2_l2n1p1_l5n1p1_l8n1n1,354712.35135135136,345825.3157894737,8.887035561877653,21.100,1264,1264,0,0,937,28,0,0,5
io2_l2n1p1_l5n1p1_l8n1n1_d1d2,381048.4285714286,370159.86486486485,10.888563706563728,21.101,1699,1699,0,0,1124,28,0,0,5
io2_l2n1p1_l5n1p1_l8n1n2,380467.8630136986,372252.3846153846,8.215478398313978,22.119,1395,1395,0,0,1123,24,0,0,8
io2_l2n1p1_l5n1p1_l8n1n2_d1d2,382566.2368421053,371709.5294117647,10.856707430340583,22.328,1729,1729,0,0,1242,28,0,0,8
io2_l2n1p1_l5n1p1_l8n1p1,356654.8947368421,344702.2105263158,11.952684210526291,20.847,1388,1388,0,0,1002,28,0,0,5
io2_l2n1p1_l5n1p1_l8n1p1_d1d2,384436.0131578947,372258.0512820513,12.177961875843408,21.670,1791,1791,0,0,1179,28,0,0,5
io2_l2n1p1_l5n1p1_l8n1p2,384495.73333333334,373446.4736842105,11.049259649122833,21.515,1516,1516,0,0,1128,24,0,0,5
io2_l2n1p1_l5n1p1_l8n1p2_d1d2,384746.4520547945,373449.475,11.296977054794551,21.810,1885,1885,0,0,1321,28,0,0,5
io2_l2n1p1_l5n1p1_l8p1n1,398594.02702702704,379691.7428571429,18.902284169884165,27.923,2598,2598,0,0,2804,24,0,0,8
io2_l2n1p1_l5n1p1_l8p1n1_d1d2,402033.1052631579,384620.0857142857,17.413019548872196,41.589,7121,7121,0,0,9266,28,0,0,14
io2_l2n1p1_l5n1p1_l8p2n1,420663.36842105264,398958.6666666667,21.704701754385955,49.613,7793,6601,0,1192,11985,28,0,0,20
io2_l2n1p1_l5n1p1_l8p2n1_d1d2,427057.6493506493,408628.6842105263,18.428965140123037,57.350,11053,9412,0,1641,15259,24,0,0,40
io2_l2n1p2_l5n1p2_l8n1n1,380970.9864864865,371087.64864864864,9.88333783783787,22.889,1326,1326,0,0,993,28,0,0,5
io2_l2n1p2_l5n1p2_l8n1n1_d1d2,382359.37333333335,372350.5945945946,10.008778738738735,20.726,1688,1688,0,0,1276,28,0,0,5
io2_l2n1p2_l5n1p2_l8n1n2,381661.17333333334,369596.15789473685,12.065015438596486,23.978,1445,1445,0,0,1149,28,0,0,8
io2_l2n1p2_l5n1p2_l8n1n2_d1d2,382077.48051948054,371438.05263157893,10.639427887901606,23.018,1652,1652,0,0,1470,28,0,0,8
io2_l2n1p2_l5n1p2_l8n1p1,383863.73333333334,370974.5128205128,12.889220512820524,22.371,1526,1526,0,0,1064,28,0,0,5
io2_l2n1p2_l5n1p2_l8n1p1_d1d2,386315.6233766234,373453.30555555556,12.862317821067816,22.121,1856,1856,0,0,1398,28,0,0,5
io2_l2n1p2_l5n1p2_l8n1p2,385557.7215189873,371494.3076923077,14.063413826679636,24.071,1563,1563,0,0,1126,28,0,0,5
io2_l2n1p2_l5n1p2_l8n1p2_d1d2,386896.70666666667,373265.5789473684,13.631127719298238,21.504,1869,1869,0,0,1477,28,0,0,5
io2_l2n1p2_l5n1p2_l8p1n1,404420.2894736842,381173.70588235295,23.246583591331262,29.770,2612,2612,0,0,2821,28,0,0,8
io2_l2n1p2_l5n1p2_l8p1n1_d1d2,406828.602739726,386662.9142857143,20.165688454011747,44.389,7256,7256,0,0,9508,28,0,0,14
io2_l2n1p2_l5n1p2_l8p2n1,422632.96,398333.6842105263,24.29927578947373,48.852,7687,6495,0,1192,11967,24,0,0,20
io2_l2n1p2_l5n1p2_l8p2n1_d1d2,436536.15789473685,409414.58974358975,27.121568151147105,60.329,11130,9489,0,1641,15325,22,0,0,40
io2_l2p1n1_l5p1n1_l8n1n1,404204.13513513515,387885.94736842107,16.31818776671408,35.449,3648,3648,0,0,4475,28,0,0,8
io2_l2p1n1_l5p1n1_l8n1n1_d1d2,412125.19444444444,393151.15789473685,18.974036549707584,60.214,11538,11538,0,0,16035,28,0,0,14
io2_l2p1n1_l5p1n1_l8n1n2,405763.7162162162,388326.0,17.437716216216213,34.681,3678,3678,0,0,4565,28,0,0,8
io2_l2p1n1_l5p1n1_l8n1n2_d1d2,409685.8947368421,392464.64864864864,17.22124608819344,59.506,11504,11504,0,0,16184,28,0,0,14
io2_l2p1n1_l5p1n1_l8n1p1,408571.5675675676,388026.08108108107,20.54548648648651,34.991,3786,3786,0,0,4505,28,0,0,8
io2_l2p1n1_l5p1n1_l8n1p1_d1d2,415090.2894736842,392438.15789473685,22.65213157894736,62.273,11606,11606,0,0,16182,28,0,0,14
io2_l2p1n1_l5p1n1_l8n1p2,409977.0133333333,388982.4864864865,20.9945268468468,35.422,3785,3785,0,0,4553,28,0,0,8
io2_l2p1n1_l5p1n1_l8n1p2_d1d2,415957.2894736842,391924.0789473684,24.033210526315788,60.125,11744,11744,0,0,16325,28,0,0,14
io2_l2p1n1_l5p1n1_l8p1n1,418748.5,393815.9459459459,24.932554054054084,34.611,3540,3540,0,0,4133,28,0,0,8
io2_l2p1n1_l5p1n1_l8p1n1_d1d2,425666.41095890413,399199.45,26.46696095890412,68.864,16352,16352,0,0,27171,28,0,0,14
io2_l2p1n1_l5p1n1_l8p2n1,445616.72,411904.0,33.71271999999997,53.616,9269,8077,0,1192,12981,28,0,0,20
io2_l2p1n1_l5p1n1_l8p2n1_d1d2,459647.44444444444,425661.8857142857,33.98555873015872,87.503,21549,19908,0,1641,29534,28,0,0,40
io2_l2p2n1_l5p2n1_l8n1n1,436126.04054054053,415464.54285714286,20.66149768339767,92.108,11566,9182,0,2384,17541,28,0,0,20
io2_l2p2n1_l5p2n1_l8n1n1_d1d2,450728.602739726,425944.91891891893,24.783683820807084,105.302,16877,13595,0,3282,22231,24,0,0,40
io2_l2p2n1_l5p2n1_l8n1n2,435278.4155844156,416058.92307692306,19.219492507492543,94.589,11731,9347,0,2384,17449,28,0,0,20
io2_l2p2n1_l5p2n1_l8n1n2_d1d2,463233.85714285716,428762.0512820513,34.47180586080585,106.585,15919,12637,0,3282,22306,28,0,0,40
io2_l2p2n1_l5p2n1_l8n1p1,456327.2266666667,417930.0789473684,38.39714771929825,93.669,11632,9248,0,2384,17586,28,0,0,20
io2_l2p2n1_l5p2n1_l8n1p1_d1d2,472120.54545454547,426689.24324324325,45.43130221130222,110.357,16921,13639,0,3282,22508,28,0,0,40
io2_l2p2n1_l5p2n1_l8n1p2,458973.8717948718,419119.6923076923,39.8541794871795,93.948,11791,9407,0,2384,17497,28,0,0,20
io2_l2p2n1_l5p2n1_l8n1p2_d1d2,479264.7702702703,429370.13513513515,49.89463513513515,112.594,16843,13561,0,3282,22425,28,0,0,40
io2_l2p2n1_l5p2n1_l8p1n1,473740.6712328767,423053.4871794872,50.68718405338953,95.476,12748,10364,0,2384,17960,28,0,0,20
io2_l2p2n1_l5p2n1_l8p1n1_d1d2,498304.7662337662,446240.5789473684,52.06418728639779,126.591,22216,18934,0,3282,29067,28,0,0,40
io2_l2p2n1_l5p2n1_l8p2n1,613059.4,431718.8,181.34060000000002,191.360,15920,12344,0,3576,22960,28,0,0,20
io2_l2p2n1_l5p2n1_l8p2n1_d1d2,666272.7894736842,450142.3243243243,216.13046514935985,301.487,22782,17859,0,4923,29369,28,0,0,40
io4_l2n1n1_l5n1n1_l8n1n1,355877.88,350105.94736842107,5.771932631578936,16.829,1099,1099,0,0,793,28,0,0,5
io4_l2n1n1_l5n1n1_l8n1n1_d1d2,374425.6153846154,358598.1666666667,15.82744871794869,39.143,2388,2388,0,0,794,0,112,0,5
io4_l2n1n1_l5n1n1_l8n1n2,355171.6666666667,349110.7368421053,6.060929824561405,18.479,1242,1242,0,0,980,24,0,0,8
io4_l2n1n1_l5n1n1_l8n1n2_d1d2,374054.2133333333,360556.0588235294,13.498154509803921,42.198,2504,2504,0,0,979,0,112,0,8
io4_l2n1n1_l5n1n1_l8n1n4,356564.4342105263,348524.358974359,8.040075236167294,18.893,1338,1338,0,0,1168,24,0,0,8
io4_l2n1n1_l5n1n1_l8n1n4_d1d2,374828.5333333333,358382.54054054053,16.445992792792794,45.354,2659,2659,0,0,1306,0,112,0,14
io4_l2n1n1_l5n1n1_l8n1p1,355493.94736842107,348492.641025641,7.001306342780066,16.821,1241,1241,0,0,861,28,0,0,5
io4_l2n1n1_l5n1n1_l8n1p1_d1d2,376020.41333333333,358358.77777777775,17.661635555555577,39.158,2549,2549,0,0,867,0,112,0,5
io4_l2n1n1_l5n1n1_l8n1p2,355978.8181818182,347813.3243243243,8.165493857493857,17.728,1433,1433,0,0,993,24,0,0,5
io4_l2n1n1_l5n1n1_l8n1p2_d1d2,378849.08,359048.92307692306,19.80015692307695,40.652,2694,2694,0,0,997,0,112,0,5
io4_l2n1n1_l5n1n1_l8n1p4,360008.97402597405,349897.97297297296,10.111001053001091,18.522,1466,1466,0,0,1207,24,0,0,5
io4_l2n1n1_l5n1n1_l8n1p4_d1d2,376929.0133333333,360214.95,16.714063333333296,40.884,2712,2712,0,0,1187,0,112,0,5
io4_l2n1n1_l5n1n1_l8p1n1,369124.5128205128,357238.35,11.886162820512837,22.483,1849,1849,0,0,1600,24,0,0,11
io4_l2n1n1_l5n1n1_l8p1n1_d1d2,394257.2894736842,372906.08108108107,21.351208392603148,45.971,2827,2827,0,0,1579,0,112,0,14
io4_l2n1n1_l5n1n1_l8p2n1,373183.9864864865,361238.08108108107,11.945905405405442,32.929,4829,4829,0,0,5768,28,0,0,8
io4_l2n1n1_l5n1n1_l8p2n1_d1d2,393999.63157894736,375791.36842105264,18.20826315789472,62.200,6859,6859,0,0,6562,0,104,0,26
io4_l2n1n1_l5n1n1_l8p4n1,404732.9866666667,391207.7297297297,13.525256936936989,64.088,13252,10876,0,2376,22350,25,0,0,40
io4_l2n1n1_l5n1n1_l8p4n1_d1d2,459166.1388888889,432958.71794871794,26.207420940170937,105.696,19846,16636,0,3210,29619,16,80,0,80
io4_l2n1n2_l5n1n2_l8n1n1,356672.0,348277.8947368421,8.394105263157922,21.505,1332,1332,0,0,1038,28,0,0,8
io4_l2n1n2_l5n1n2_l8n1n1_d1d2,370212.14285714284,358674.22222222225,11.537920634920592,39.138,2551,2551,0,0,1037,0,112,0,8
io4_l2n1n2_l5n1n2_l8n1n2,355995.3333333333,348058.2571428571,7.93707619047619,22.201,1410,1410,0,0,1097,28,0,0,8
io4_l2n1n2_l5n1n2_l8n1n2_d1d2,371290.19444444444,358291.4358974359,12.998758547008562,40.095,2607,2607,0,0,1096,0,112,0,8
io4_l2n1n2_l5n1n2_l8n1n4,356260.7236842105,347500.52777777775,8.760195906432752,23.889,1488,1488,0,0,1282,28,0,0,8
io4_l2n1n2_l5n1n2_l8n1n4_d1d2,373036.3947368421,359036.8333333333,13.999561403508764,43.917,2752,2752,0,0,1424,0,112,0,14
io4_l2n1n2_l5n1n2_l8n1p1,357646.08,348613.15,9.032929999999993,22.615,1505,1505,0,0,1107,28,0,0,8
io4_l2n1n2_l5n1n2_l8n1p1_d1d2,372410.76712328766,357615.8717948718,14.79489532841585,39.917,2736,2736,0,0,1109,0,112,0,8
io4_l2n1n2_l5n1n2_l8n1p2,358710.13157894736,348927.55555555556,9.782576023391798,23.070,1619,1619,0,0,1205,28,0,0,8
io4_l2n1n2_l5n1n2_l8n1p2_d1d2,377092.9736842105,358678.7368421053,18.414236842105222,40.661,2823,2823,0,0,1206,0,112,0,8
io4_l2n1n2_l5n1n2_l8n1p4,359767.0273972603,349926.05555555556,9.840971841704741,24.076,1646,1646,0,0,1418,28,0,0,8
io4_l2n1n2_l5n1n2_l8n1p4_d1d2,376976.38157894736,359837.9166666667,17.138464912280675,41.922,2839,2839,0,0,1399,0,112,0,8
io4_l2n1n2_l5n1n2_l8p1n1,372699.34722222225,359625.24324324325,13.074103978978993,26.330,1965,1965,0,0,1699,28,0,0,11
io4_l2n1n2_l5n1n2_l8p1n1_d1d2,391926.5063291139,369928.0,21.99850632911391,44.709,2878,2878,0,0,1698,0,112,0,14
io4_l2n1n2_l5n1n2_l8p2n1,374215.58666666667,360999.85294117645,13.215733725490223,35.955,4692,4692,0,0,5856,28,0,0,8
io4_l2n1n2_l5n1n2_l8p2n1_d1d2,397714.32,375786.94736842107,21.92737263157894,59.895,6923,6923,0,0,6677,0,104,0,26
io4_l2n1n2_l5n1n2_l8p4n1,413194.31506849313,391342.7948717949,21.851520196698257,65.637,13053,10677,0,2376,22508,24,0,0,40
io4_l2n1n2_l5n1n2_l8p4n1_d1d2,459424.40789473685,437132.1052631579,22.29230263157893,99.377,20182,16972,0,3210,29839,0,68,0,80
io4_l2n1n4_l5n1n4_l8n1n1,355664.13333333336,348820.1891891892,6.843944144144189,23.275,1438,1438,0,0,1090,28,0,0,8
io4_l2n1n4_l5n1n4_l8n1n1_d1d2,373198.0266666667,359482.0,13.716026666666671,44.080,2701,2701,0,0,1500,0,112,0,14
io4_l2n1n4_l5n1n4_l8n1n2,355416.94666666666,346897.1538461539,8.519792820512782,24.435,1504,1504,0,0,1148,28,0,0,8
io4_l2n1n4_l5n1n4_l8n1n2_d1d2,370783.5733333333,358474.2702702703,12.309303063063009,44.332,2756,2756,0,0,1556,0,112,0,14
io4_l2n1n4_l5n1n4_l8n1n4,359008.11842105264,350070.94736842107,8.937171052631573,24.178,1564,1564,0,0,1268,28,0,0,8
io4_l2n1n4_l5n1n4_l8n1n4_d1d2,373116.59210526315,361121.8918918919,11.994700213371253,44.334,2730,2730,0,0,1695,0,112,0,14
io4_l2n1n4_l5n1n4_l8n1p1,359577.30263157893,349626.3846153846,9.950918016194308,23.941,1608,1608,0,0,1157,28,0,0,8
io4_l2n1n4_l5n1n4_l8n1p1_d1d2,374493.7368421053,361758.8205128205,12.734916329284781,45.764,2881,2881,0,0,1569,0,112,0,14
io4_l2n1n4_l5n1n4_l8n1p2,357987.49333333335,348648.86486486485,9.338628468468494,24.809,1673,1673,0,0,1221,28,0,0,8
io4_l2n1n4_l5n1n4_l8n1p2_d1d2,376238.60256410256,362238.2162162162,14.00038634788635,45.529,2980,2980,0,0,1667,0,112,0,14
io4_l2n1n4_l5n1n4_l8n1p4,358623.84210526315,350718.64864864864,7.905193456614507,24.477,1642,1642,0,0,1404,28,0,0,8
io4_l2n1n4_l5n1n4_l8n1p4_d1d2,376743.2368421053,362090.0,14.653236842105281,45.552,2992,2992,0,0,1859,0,112,0,14
io4_l2n1n4_l5n1n4_l8p1n1,373703.61842105264,355839.8918918919,17.863726529160747,27.559,2054,2054,0,0,1734,28,0,0,11
io4_l2n1n4_l5n1n4_l8p1n1_d1d2,391699.7534246575,372320.0512820513,19.3797021426062,45.277,2858,2858,0,0,1966,0,112,0,14
io4_l2n1n4_l5n1n4_l8p2n1,374499.6052631579,359094.5,15.405105263157923,35.914,4729,4729,0,0,5780,28,0,0,8
io4_l2n1n4_l5n1n4_l8p2n1_d1d2,398156.6533333333,376243.64864864864,21.913004684684683,60.249,6928,6928,0,0,6951,0,104,0,26
io4_l2n1n4_l5n1n4_l8p4n1,407826.61333333334,392592.641025641,15.23397230769234,68.922,13545,11169,0,2376,22481,28,0,0,40
io4_l2n1n4_l5n1n4_l8p4n1_d1d2,462808.15789473685,440405.3846153846,22.40277327935223,105.535,20379,17169,0,3210,30076,24,76,0,80
io4_l2n1p1_l5n1p1_l8n1n1,356707.9054054054,347624.8205128205,9.083084892584884,21.035,1423,1423,0,0,933,28,0,0,5
io4_l2n1p1_l5n1p1_l8n1n1_d1d2,377419.1666666667,357421.2702702703,19.997896396396392,48.308,2698,2698,0,0,939,0,112,0,5
io4_l2n1p1_l5n1p1_l8n1n2,357021.4358974359,348532.0540540541,8.489381843381794,22.543,1535,1535,0,0,1117,24,0,0,8
io4_l2n1p1_l5n1p1_l8n1n2_d1d2,378097.96,357424.0256410256,20.673934358974396,50.575,2857,2857,0,0,1118,0,112,0,8
io4_l2n1p1_l5n1p1_l8n1n4,360063.9589041096,349857.5675675676,10.20639133654203,23.345,1627,1627,0,0,1303,24,0,0,8
io4_l2n1p1_l5n1p1_l8n1n4_d1d2,377368.0512820513,359934.35294117645,17.433698340874862,54.275,3007,3007,0,0,1446,0,112,0,14
io4_l2n1p1_l5n1p1_l8n1p1,359671.2162162162,347182.8918918919,12.488324324324319,22.037,1552,1552,0,0,1004,28,0,0,5
io4_l2n1p1_l5n1p1_l8n1p1_d1d2,382397.68,357773.36842105264,24.624311578947353,48.446,2863,2863,0,0,1015,0,112,0,5
io4_l2n1p1_l5n1p1_l8n1p2,358692.25352112675,348431.58974358975,10.260663777537003,21.519,1696,1696,0,0,1129,24,0,0,5
io4_l2n1p1_l5n1p1_l8n1p2_d1d2,381314.8552631579,358189.1111111111,23.1257441520468,49.112,3022,3022,0,0,1137,0,112,0,5
io4_l2n1p1_l5n1p1_l8n1p4,359886.4743589744,347516.5641025641,12.36991025641025,22.349,1749,1749,0,0,1331,24,0,0,5
io4_l2n1p1_l5n1p1_l8n1p4_d1d2,385145.2702702703,360607.28205128206,24.537988218988232,50.615,3015,3015,0,0,1331,0,112,0,5
io4_l2n1p1_l5n1p1_l8p1n1,373193.9210526316,356819.0512820513,16.37486977058026,26.889,2124,2124,0,0,1716,24,0,0,11
io4_l2n1p1_l5n1p1_l8p1n1_d1d2,401848.14285714284,371243.7428571429,30.604399999999966,54.780,3120,3120,0,0,1719,0,112,0,14
io4_l2n1p1_l5n1p1_l8p2n1,378137.64864864864,358559.3243243243,19.57832432432432,37.844,4958,4958,0,0,5881,28,0,0,8
io4_l2n1p1_l5n1p1_l8p2n1_d1d2,407182.70666666667,375596.7894736842,31.58591719298245,70.463,7165,7165,0,0,6700,0,104,0,26
io4_l2n1p1_l5n1p1_l8p4n1,416581.5128205128,391373.54054054053,25.20797227997228,65.916,13095,10719,0,2376,22491,20,0,0,40
io4_l2n1p1_l5n1p1_l8p4n1_d1d2,481195.36842105264,441013.34285714285,40.18202556390979,113.073,20108,16898,0,3210,29734,16,80,0,80
io4_l2n1p2_l5n1p2_l8n1n1,358809.94805194804,348545.9166666667,10.264031385281356,22.654,1635,1635,0,0,1127,28,0,0,5
io4_l2n1p2_l5n1p2_l8n1n1_d1d2,378450.5064935065,359905.4054054054,18.545101088101102,42.873,2909,2909,0,0,1127,0,112,0,5
io4_l2n1p2_l5n1p2_l8n1n2,359988.8219178082,346720.6756756757,13.268146242132527,25.569,1770,1770,0,0,1280,28,0,0,8
io4_l2n1p2_l5n1p2_l8n1n2_d1d2,377658.61333333334,359821.1891891892,17.83742414414417,45.089,3000,3000,0,0,1282,0,112,0,8
io4_l2n1p2_l5n1p2_l8n1n4,359060.2638888889,346511.89743589744,12.548366452991438,26.391,1787,1787,0,0,1431,28,0,0,8
io4_l2n1p2_l5n1p2_l8n1n4_d1d2,375334.24,358156.0,17.17823999999999,49.714,3150,3150,0,0,1610,0,112,0,14
io4_l2n1p2_l5n1p2_l8n1p1,358422.5641025641,345929.3333333333,12.49323076923081,23.725,1743,1743,0,0,1193,28,0,0,5
io4_l2n1p2_l5n1p2_l8n1p1_d1d2,381538.63157894736,357297.36842105264,24.241263157894718,43.300,3042,3042,0,0,1204,0,112,0,5
io4_l2n1p2_l5n1p2_l8n1p2,358491.88157894736,345638.0,12.853881578947359,24.533,1836,1836,0,0,1257,28,0,0,5
io4_l2n1p2_l5n1p2_l8n1p2_d1d2,382556.1216216216,358802.1052631579,23.754016358463677,43.432,3150,3150,0,0,1265,0,112,0,5
io4_l2n1p2_l5n1p2_l8n1p4,359697.8552631579,347299.6111111111,12.398244152046798,24.828,1899,1899,0,0,1459,28,0,0,5
io4_l2n1p2_l5n1p2_l8n1p4_d1d2,383531.87012987013,359391.89743589744,24.139972693972698,44.701,3168,3168,0,0,1458,0,112,0,5
io4_l2n1p2_l5n1p2_l8p1n1,372357.75,355602.8918918919,16.754858108108106,29.575,2274,2274,0,0,1837,28,0,0,11
io4_l2n1p2_l5n1p2_l8p1n1_d1d2,402112.12987012987,371468.2631578947,30.64386671223515,51.010,3250,3250,0,0,1881,0,112,0,14
io4_l2n1p2_l5n1p2_l8p2n1,380914.7534246575,358244.84210526315,22.669911319394362,40.547,4993,4993,0,0,5992,28,0,0,8
io4_l2n1p2_l5n1p2_l8p2n1_d1d2,407772.18666666665,375363.8378378378,32.408348828828835,66.091,7321,7321,0,0,6835,0,104,0,26
