prj,vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48 Blocks,freq(MHz)
io2_l1n1n2_l3n1p2_d1d2,21.073,1158,1153,0,5,979,6,0,10,100
io2_l1n1n2_l3p1n1,38.532,4163,4163,0,0,4128,6,4,18,100
io2_l1n1n2_l3p1n1_d1d2,39.134,4436,4436,0,0,4183,6,4,18,100
io2_l1n1n2_l3p2n1,37.141,3707,3707,0,0,4830,6,4,20,100
io2_l1n1n2_l3p2n1_d1d2,55.842,6305,6305,0,0,6633,6,4,38,100
io2_l1n1p1_l3n1n1,15.946,758,758,0,0,653,4,6,5,100
io2_l1n1p1_l3n1n1_d1d2,16.416,805,805,0,0,687,4,6,5,100
io2_l1n1p1_l3n1n2,20.612,1034,1034,0,0,1010,4,6,10,100
io2_l1n1p1_l3n1n2_d1d2,21.503,1065,1065,0,0,976,4,6,10,100
io2_l1n1p1_l3n1p1,16.537,894,894,0,0,677,4,4,5,100
io2_l1n1p1_l3n1p1_d1d2,17.192,907,907,0,0,676,4,4,5,100
io2_l1n1p1_l3n1p2,23.501,1122,1117,0,5,1000,6,0,10,100
io2_l1n1p1_l3n1p2_d1d2,23.509,1175,1170,0,5,988,6,0,10,100
io2_l1n1p1_l3p1n1,41.728,4256,4256,0,0,4204,6,4,18,100
io2_l1n1p1_l3p1n1_d1d2,42.383,4461,4461,0,0,4188,6,4,18,100
io2_l1n1p1_l3p2n1,40.887,3653,3653,0,0,4904,6,4,20,100
io2_l1n1p1_l3p2n1_d1d2,60.444,6505,6505,0,0,6643,6,4,38,100
io2_l1n1p2_l3n1n1,15.316,786,786,0,0,712,4,6,5,100
io2_l1n1p2_l3n1n1_d1d2,16.074,865,865,0,0,778,4,6,5,100
io2_l1n1p2_l3n1n2,21.423,1091,1091,0,0,908,4,6,10,100
io2_l1n1p2_l3n1n2_d1d2,21.566,1188,1188,0,0,1036,4,6,10,100
io2_l1n1p2_l3n1p1,18.007,900,900,0,0,736,4,4,5,100
io2_l1n1p2_l3n1p1_d1d2,17.275,942,942,0,0,735,4,4,5,100
io2_l1n1p2_l3n1p2,23.209,1174,1169,0,5,931,6,0,10,100
io2_l1n1p2_l3n1p2_d1d2,24.142,1258,1253,0,5,1047,6,0,10,100
io2_l1n1p2_l3p1n1,43.471,4411,4411,0,0,4131,6,4,18,100
io2_l1n1p2_l3p1n1_d1d2,42.048,4367,4367,0,0,4198,6,4,18,100
io2_l1n1p2_l3p2n1,41.406,3706,3706,0,0,4833,6,4,20,100
io2_l1n1p2_l3p2n1_d1d2,61.129,6468,6468,0,0,6641,6,4,38,100
io2_l1p1n1_l3n1n1,31.238,2282,2282,0,0,3693,4,4,14,100
io2_l1p1n1_l3n1n1_d1d2,33.245,2402,2402,0,0,3694,4,4,14,100
io2_l1p1n1_l3n1n2,35.310,2560,2560,0,0,3859,4,4,16,100
io2_l1p1n1_l3n1n2_d1d2,34.916,2611,2611,0,0,3857,4,4,16,100
io2_l1p1n1_l3n1p1,34.928,2486,2486,0,0,3716,8,0,14,100
io2_l1p1n1_l3n1p1_d1d2,34.691,2469,2469,0,0,3650,8,0,14,100
io2_l1p1n1_l3n1p2,39.437,2689,2684,0,5,3880,10,0,16,100
io2_l1p1n1_l3n1p2_d1d2,40.005,2738,2733,0,5,3867,10,0,16,100
io2_l1p1n1_l3p1n1,49.256,5773,5773,0,0,6674,8,2,18,100
io2_l1p1n1_l3p1n1_d1d2,48.115,5599,5599,0,0,6721,6,0,18,100
io2_l1p1n1_l3p2n1,48.451,5298,5298,0,0,7466,8,2,20,100
io2_l1p1n1_l3p2n1_d1d2,65.523,7677,7677,0,0,9042,2,2,38,100
io2_l1p2n1_l3n1n1,47.574,6823,5635,0,1188,12465,4,4,20,100
io2_l1p2n1_l3n1n1_d1d2,67.271,9302,7666,0,1636,14186,6,4,40,100
io2_l1p2n1_l3n1n2,54.919,6576,5388,0,1188,12459,6,4,20,100
io2_l1p2n1_l3n1n2_d1d2,76.119,9502,7866,0,1636,14285,4,4,40,100
io2_l1p2n1_l3n1p1,54.459,6906,5718,0,1188,12488,6,0,20,100
io2_l1p2n1_l3n1p1_d1d2,74.107,9117,7481,0,1636,14211,6,2,40,100
io2_l1p2n1_l3n1p2,95.416,7043,5850,0,1193,12641,10,0,20,100
io2_l1p2n1_l3n1p2_d1d2,112.418,9098,7457,0,1641,14334,8,0,40,100
io2_l1p2n1_l3p1n1,110.183,9444,8256,0,1188,14344,8,2,20,100
io2_l1p2n1_l3p1n1_d1d2,116.893,12019,10383,0,1636,16446,4,2,40,100
io2_l1p2n1_l3p2n1,113.517,8553,7365,0,1188,14631,8,2,20,100
io2_l1p2n1_l3p2n1_d1d2,132.302,12308,10672,0,1636,15376,8,2,40,100
io4_l1n1n1_l3n1n1,16.733,1173,789,384,0,1387,4,0,5,100
io4_l1n1n1_l3n1n1_d1d2,21.269,1438,1054,384,0,1387,0,16,5,100
io4_l1n1n1_l3n1n2,15.214,1271,887,384,0,1396,4,0,5,100
io4_l1n1n1_l3n1n2_d1d2,19.459,1522,1138,384,0,1395,0,16,5,100
io4_l1n1n1_l3n1n4,27.710,2092,1708,384,0,2200,4,0,20,100
io4_l1n1n1_l3n1n4_d1d2,33.351,2314,1930,384,0,2200,0,16,20,100
io4_l1n1n1_l3n1p1,17.033,1327,943,384,0,1281,4,0,5,100
io4_l1n1n1_l3n1p1_d1d2,22.821,1579,1195,384,0,1275,0,16,5,100
io4_l1n1n1_l3n1p2,17.885,1399,1015,384,0,1312,4,0,5,100
io4_l1n1n1_l3n1p2_d1d2,22.536,1635,1251,384,0,1303,0,16,5,100
io4_l1n1n1_l3n1p4,28.256,2021,1760,256,5,1863,8,0,20,100
io4_l1n1n1_l3n1p4_d1d2,33.785,2270,2009,256,5,1955,4,16,20,100
io4_l1n1n1_l3p1n1,48.593,4971,4715,256,0,5745,8,0,40,100
io4_l1n1n1_l3p1n1_d1d2,54.287,5422,5166,256,0,5844,20,0,40,100
io4_l1n1n1_l3p2n1,52.794,6520,6264,256,0,7582,8,0,40,100
io4_l1n1n1_l3p2n1_d1d2,87.717,9962,9706,256,0,11093,16,0,80,100
io4_l1n1n1_l3p4n1,52.891,6291,6035,256,0,7657,8,0,40,100
io4_l1n1n1_l3p4n1_d1d2,141.869,17865,17609,256,0,20449,20,0,114,100
io4_l1n1n2_l3n1n1,19.853,1304,920,384,0,1540,4,0,8,100
io4_l1n1n2_l3n1n1_d1d2,24.547,1560,1176,384,0,1541,0,16,8,100
io4_l1n1n2_l3n1n2,20.186,1401,1017,384,0,1549,4,0,8,100
io4_l1n1n2_l3n1n2_d1d2,22.831,1646,1262,384,0,1549,0,16,8,100
io4_l1n1n2_l3n1n4,31.554,2139,1755,384,0,2289,4,0,20,100
io4_l1n1n2_l3n1n4_d1d2,34.695,2386,2002,384,0,2290,0,16,20,100
io4_l1n1n2_l3n1p1,22.057,1416,1032,384,0,1434,4,0,8,100
io4_l1n1n2_l3n1p1_d1d2,26.077,1665,1281,384,0,1428,0,16,8,100
io4_l1n1n2_l3n1p2,22.314,1508,1124,384,0,1465,4,0,8,100
io4_l1n1n2_l3n1p2_d1d2,27.915,2111,1727,384,0,1725,0,16,8,100
io4_l1n1n2_l3n1p4,31.034,2076,1815,256,5,1985,8,0,20,100
io4_l1n1n2_l3n1p4_d1d2,37.493,2337,2076,256,5,2045,4,16,20,100
io4_l1n1n2_l3p1n1,53.697,5076,4820,256,0,5838,8,0,40,100
io4_l1n1n2_l3p1n1_d1d2,60.185,5411,5155,256,0,5894,20,0,40,100
io4_l1n1n2_l3p2n1,57.469,6295,6039,256,0,7672,8,0,40,100
io4_l1n1n2_l3p2n1_d1d2,101.636,10036,9780,256,0,11145,20,0,80,100
io4_l1n1n2_l3p4n1,57.739,6344,6088,256,0,7743,8,0,40,100
io4_l1n1n2_l3p4n1_d1d2,140.954,17832,17576,256,0,20522,20,0,114,100
io4_l1n1n4_l3n1n1,27.920,1468,1084,384,0,1678,4,0,14,100
io4_l1n1n4_l3n1n1_d1d2,30.579,1704,1320,384,0,1678,0,16,14,100
io4_l1n1n4_l3n1n2,28.067,1561,1177,384,0,1687,4,0,14,100
io4_l1n1n4_l3n1n2_d1d2,29.579,1805,1421,384,0,1686,0,16,14,100
io4_l1n1n4_l3n1n4,31.737,2128,1744,384,0,2011,4,0,20,100
io4_l1n1n4_l3n1n4_d1d2,36.633,2462,2078,384,0,3042,0,16,20,100
io4_l1n1n4_l3n1p1,30.198,1568,1184,384,0,1572,4,0,14,100
io4_l1n1n4_l3n1p1_d1d2,33.953,1829,1445,384,0,1566,0,16,14,100
io4_l1n1n4_l3n1p2,30.327,1662,1278,384,0,1603,4,0,14,100
io4_l1n1n4_l3n1p2_d1d2,35.439,1992,1608,384,0,1663,0,16,14,100
io4_l1n1n4_l3n1p4,35.228,2171,1910,256,5,1772,8,0,20,100
io4_l1n1n4_l3n1p4_d1d2,38.095,2396,2135,256,5,2025,4,16,20,100
io4_l1n1n4_l3p1n1,58.088,5225,4969,256,0,5787,8,0,40,100
io4_l1n1n4_l3p1n1_d1d2,62.904,5483,5227,256,0,5905,20,0,40,100
io4_l1n1n4_l3p2n1,60.675,5991,5735,256,0,7622,8,0,40,100
io4_l1n1n4_l3p2n1_d1d2,101.222,9849,9593,256,0,11731,20,0,80,100
io4_l1n1n4_l3p4n1,61.438,6205,5949,256,0,8142,8,0,40,100
io4_l1n1n4_l3p4n1_d1d2,147.710,17840,17584,256,0,20520,20,0,114,100
io4_l1n1p1_l3n1n1,16.915,1250,866,384,0,1422,4,0,5,100
io4_l1n1p1_l3n1n1_d1d2,22.150,1515,1131,384,0,1417,0,16,5,100
io4_l1n1p1_l3n1n2,16.937,1344,960,384,0,1431,4,0,5,100
io4_l1n1p1_l3n1n2_d1d2,22.774,1604,1220,384,0,1425,0,16,5,100
io4_l1n1p1_l3n1n4,31.862,2140,1756,384,0,2235,4,0,20,100
io4_l1n1p1_l3n1n4_d1d2,39.584,2410,2026,384,0,2230,0,16,20,100
io4_l1n1p1_l3n1p1,19.352,1371,987,384,0,1316,4,0,5,100
io4_l1n1p1_l3n1p1_d1d2,26.283,1633,1249,384,0,1305,0,16,5,100
io4_l1n1p1_l3n1p2,21.313,1465,1081,384,0,1347,4,0,5,100
io4_l1n1p1_l3n1p2_d1d2,29.066,1939,1555,384,0,1763,0,16,5,100
io4_l1n1p1_l3n1p4,34.700,2132,1871,256,5,1898,8,0,20,100
io4_l1n1p1_l3n1p4_d1d2,42.292,2351,2090,256,5,1985,4,16,20,100
io4_l1n1p1_l3p1n1,58.263,5280,5024,256,0,5784,8,0,40,100
io4_l1n1p1_l3p1n1_d1d2,66.178,5529,5273,256,0,5875,20,0,40,100
io4_l1n1p1_l3p2n1,59.322,6501,6245,256,0,7617,8,0,40,100
io4_l1n1p1_l3p2n1_d1d2,105.218,10092,9836,256,0,11041,20,0,80,100
io4_l1n1p1_l3p4n1,60.366,6337,6081,256,0,7713,8,0,40,100
io4_l1n1p1_l3p4n1_d1d2,156.592,18044,17788,256,0,20509,20,0,114,100
io4_l1n1p2_l3n1n1,17.094,1365,981,384,0,1520,4,0,5,100
io4_l1n1p2_l3n1n1_d1d2,21.838,1625,1241,384,0,1516,0,16,5,100
io4_l1n1p2_l3n1n2,17.006,1467,1083,384,0,1529,4,0,5,100
io4_l1n1p2_l3n1n2_d1d2,20.661,1713,1329,384,0,1524,0,16,5,100
io4_l1n1p2_l3n1n4,33.123,2292,1908,384,0,2333,4,0,20,100
io4_l1n1p2_l3n1n4_d1d2,37.523,2512,2128,384,0,2329,0,16,20,100
io4_l1n1p2_l3n1p1,19.743,1436,1052,384,0,1414,4,0,5,100
io4_l1n1p2_l3n1p1_d1d2,24.683,1703,1319,384,0,1404,0,16,5,100
io4_l1n1p2_l3n1p2,21.176,1548,1164,384,0,1413,4,0,5,100
io4_l1n1p2_l3n1p2_d1d2,26.730,1967,1583,384,0,1534,0,16,5,100
io4_l1n1p2_l3n1p4,34.463,2277,2016,256,5,2028,8,0,20,100
io4_l1n1p2_l3n1p4_d1d2,40.121,2463,2202,256,5,2084,4,16,20,100
io4_l1n1p2_l3p1n1,56.637,5274,5018,256,0,5851,8,0,40,100
io4_l1n1p2_l3p1n1_d1d2,66.107,5556,5300,256,0,5967,20,0,40,100
io4_l1n1p2_l3p2n1,59.862,6240,5984,256,0,7702,8,0,40,100
io4_l1n1p2_l3p2n1_d1d2,105.636,10233,9977,256,0,11258,20,0,80,100
io4_l1n1p2_l3p4n1,60.148,6507,6251,256,0,7782,8,0,40,100
io4_l1n1p2_l3p4n1_d1d2,150.101,18384,18128,256,0,19887,20,0,114,100
io4_l1n1p4_l3n1n1,18.425,1428,1044,384,0,1645,4,0,5,100
io4_l1n1p4_l3n1n1_d1d2,21.851,1623,1239,384,0,1648,0,16,5,100
io4_l1n1p4_l3n1n2,17.527,1499,1115,384,0,1654,4,0,5,100
io4_l1n1p4_l3n1n2_d1d2,20.627,1717,1333,384,0,1656,0,16,5,100
io4_l1n1p4_l3n1n4,33.650,2339,1955,384,0,2202,4,0,20,100
io4_l1n1p4_l3n1n4_d1d2,36.957,2505,2121,384,0,3231,0,16,20,100
io4_l1n1p4_l3n1p1,20.028,1438,1054,384,0,1539,4,0,5,100
io4_l1n1p4_l3n1p1_d1d2,24.763,1701,1317,384,0,1536,0,16,5,100
io4_l1n1p4_l3n1p2,20.440,1564,1180,384,0,1540,4,0,5,100
io4_l1n1p4_l3n1p2_d1d2,26.157,2014,1630,384,0,1858,0,16,5,100
io4_l1n1p4_l3n1p4,34.339,2207,1946,256,5,1963,8,0,20,100
io4_l1n1p4_l3n1p4_d1d2,40.845,2462,2201,256,5,2216,4,16,20,100
io4_l1n1p4_l3p1n1,58.885,5059,4803,256,0,5845,8,0,40,100
io4_l1n1p4_l3p1n1_d1d2,65.672,5570,5314,256,0,5972,20,0,40,100
io4_l1n1p4_l3p2n1,60.134,6287,6031,256,0,7694,8,0,40,100
io4_l1n1p4_l3p2n1_d1d2,104.396,9983,9727,256,0,11799,20,0,80,100
io4_l1n1p4_l3p4n1,61.650,6309,6053,256,0,7761,8,0,40,100
io4_l1n1p4_l3p4n1_d1d2,147.988,17790,17534,256,0,20598,20,0,114,100
io4_l1p1n1_l3n1n1,49.067,3191,2807,384,0,5128,4,0,26,100
io4_l1p1n1_l3n1n1_d1d2,54.138,3997,3613,384,0,5640,16,0,26,100
io4_l1p1n1_l3n1n2,48.226,3280,2896,384,0,5137,4,0,26,100
io4_l1p1n1_l3n1n2_d1d2,54.940,4129,3745,384,0,5646,16,0,26,100
io4_l1p1n1_l3n1n4,53.612,3879,3495,384,0,5721,4,0,32,100
io4_l1p1n1_l3n1n4_d1d2,60.569,4779,4395,384,0,6618,16,0,32,100
io4_l1p1n1_l3n1p1,51.597,3282,2898,384,0,5023,4,0,26,100
io4_l1p1n1_l3n1p1_d1d2,58.784,4094,3710,384,0,5528,16,0,26,100
io4_l1p1n1_l3n1p2,51.660,3437,3053,384,0,5022,4,0,26,100
io4_l1p1n1_l3n1p2_d1d2,58.248,4368,3984,384,0,5594,16,0,26,100
io4_l1p1n1_l3n1p4,56.795,3829,3568,256,5,5349,8,0,32,100
io4_l1p1n1_l3n1p4_d1d2,63.921,4757,4496,256,5,5990,20,0,32,100
io4_l1p1n1_l3p1n1,66.157,6565,6309,256,0,8318,8,0,40,100
io4_l1p1n1_l3p1n1_d1d2,76.038,7804,7548,256,0,9425,20,0,40,100
io4_l1p1n1_l3p2n1,69.639,7784,7528,256,0,10704,8,0,40,100
io4_l1p1n1_l3p2n1_d1d2,112.913,12330,12074,256,0,15056,16,0,80,100
io4_l1p1n1_l3p4n1,69.088,8042,7786,256,0,10577,8,0,40,100
io4_l1p1n1_l3p4n1_d1d2,149.573,19877,19621,256,0,22987,20,0,114,100
io4_l1p2n1_l3n1n1,50.444,4273,3889,384,0,5207,4,0,26,100
io4_l1p2n1_l3n1n1_d1d2,58.979,5855,5471,384,0,7648,8,8,26,100
io4_l1p2n1_l3n1n2,47.877,4326,3942,384,0,5217,4,0,26,100
io4_l1p2n1_l3n1n2_d1d2,58.192,5815,5431,384,0,7655,8,8,26,100
io4_l1p2n1_l3n1n4,54.709,4952,4568,384,0,5803,4,0,32,100
io4_l1p2n1_l3n1n4_d1d2,64.489,6522,6138,384,0,8245,8,8,32,100
io4_l1p2n1_l3n1p1,54.282,4348,3964,384,0,5112,4,0,26,100
io4_l1p2n1_l3n1p1_d1d2,60.805,5921,5537,384,0,7017,8,8,26,100
io4_l1p2n1_l3n1p2,53.441,4423,4039,384,0,5106,4,0,26,100
io4_l1p2n1_l3n1p2_d1d2,63.378,6030,5646,384,0,7559,8,8,26,100
io4_l1p2n1_l3n1p4,57.070,4899,4638,256,5,5428,8,0,32,100
io4_l1p2n1_l3n1p4_d1d2,65.957,6420,6159,256,5,7990,12,8,32,100
io4_l1p2n1_l3p1n1,68.346,7484,7228,256,0,8962,8,0,40,100
io4_l1p2n1_l3p1n1_d1d2,77.053,9661,9405,256,0,11657,20,0,40,100
io4_l1p2n1_l3p2n1,70.734,8627,8371,256,0,10938,8,0,40,100
io4_l1p2n1_l3p2n1_d1d2,117.923,13977,13721,256,0,15714,18,0,80,100
io4_l1p2n1_l3p4n1,71.032,9226,8970,256,0,10551,8,0,40,100
io4_l1p2n1_l3p4n1_d1d2,160.740,21613,21357,256,0,23866,20,0,114,100
io4_l1p4n1_l3n1n1,71.707,12686,9930,384,2372,23287,4,0,40,100
io4_l1p4n1_l3n1n1_d1d2,221.582,26352,20524,384,5444,34157,16,0,160,100
io4_l1p4n1_l3n1n2,72.067,12739,9983,384,2372,23280,4,0,40,100
io4_l1p4n1_l3n1n2_d1d2,217.542,25720,19892,384,5444,33928,16,0,160,100
io4_l1p4n1_l3n1n4,104.545,12796,10040,384,2372,23503,4,0,40,100
io4_l1p4n1_l3n1n4_d1d2,242.221,26206,20378,384,5444,34250,16,0,160,100
io4_l1p4n1_l3n1p1,84.235,12642,9886,384,2372,23298,4,0,40,100
io4_l1p4n1_l3n1p1_d1d2,207.830,26303,20475,384,5444,33676,16,0,160,100
io4_l1p4n1_l3n1p2,93.983,12663,9907,384,2372,23305,4,0,40,100
io4_l1p4n1_l3n1p2_d1d2,230.608,26612,20784,384,5444,33837,16,0,160,100
io4_l1p4n1_l3n1p4,164.815,12663,10030,256,2377,23419,8,0,40,100
io4_l1p4n1_l3n1p4_d1d2,312.685,25652,19947,256,5449,34032,20,0,160,100
io4_l1p4n1_l3p1n1,179.760,13956,11328,256,2372,24418,8,0,40,100
io4_l1p4n1_l3p1n1_d1d2,331.602,28511,22811,256,5444,35836,20,0,160,100
io4_l1p4n1_l3p2n1,183.823,14920,12292,256,2372,25295,8,0,40,100
io4_l1p4n1_l3p2n1_d1d2,335.405,30634,24934,256,5444,36633,16,0,160,100
io4_l1p4n1_l3p4n1,199.682,15304,12677,256,2371,25761,8,0,40,100
io4_l1p4n1_l3p4n1_d1d2,386.128,35386,29686,256,5444,38247,20,0,160,100
io8_l1n1n1_l3n1n1,19.694,1937,1169,768,0,1901,0,8,5,100
io8_l1n1n1_l3n1n1_d1d2,42.426,3157,2389,768,0,2817,0,64,5,100
io8_l1n1n1_l3n1n2,18.185,1994,1226,768,0,1970,0,8,5,100
io8_l1n1n1_l3n1n2_d1d2,38.189,3238,2470,768,0,2888,0,64,5,100
io8_l1n1n1_l3n1n4,18.846,2158,1390,768,0,1997,0,8,5,100
io8_l1n1n1_l3n1n4_d1d2,36.370,3313,2545,768,0,2859,0,64,5,100
io8_l1n1n1_l3n1n8,46.737,3996,3228,768,0,3954,0,8,40,100
io8_l1n1n1_l3n1n8_d1d2,68.485,5261,4493,768,0,4671,0,64,40,100
io8_l1n1n1_l3n1p1,20.352,2169,1401,768,0,1735,0,8,5,100
io8_l1n1n1_l3n1p1_d1d2,45.244,3278,2510,768,0,2571,0,64,5,100
io8_l1n1n1_l3n1p2,22.257,2316,1548,768,0,1827,0,8,5,100
io8_l1n1n1_l3n1p2_d1d2,46.632,3706,2938,768,0,2872,0,64,5,100
io8_l1n1n1_l3n1p4,22.002,2427,1659,768,0,1832,0,8,5,100
io8_l1n1n1_l3n1p4_d1d2,45.391,3689,2921,768,0,2809,0,64,5,100
io8_l1n1n1_l3n1p8,48.298,4005,3490,512,3,3463,8,8,40,100
io8_l1n1n1_l3n1p8_d1d2,69.518,5127,4611,512,4,4168,8,64,40,100
io8_l1n1n1_l3p1n1,52.786,6530,6018,512,0,7306,16,0,40,100
io8_l1n1n1_l3p1n1_d1d2,78.544,8454,7942,512,0,7771,72,0,40,100
io8_l1n1n1_l3p2n1,81.758,9313,8801,512,0,9997,16,0,80,100
io8_l1n1n1_l3p2n1_d1d2,154.324,16328,15816,512,0,18474,72,0,126,100
io8_l1n1n1_l3p4n1,107.867,16629,16117,512,0,18104,16,0,112,100
io8_l1n1n1_l3p4n1_d1d2,172.126,21931,21419,512,0,23810,72,0,126,100
io8_l1n1n1_l3p8n1,120.200,19610,19098,512,0,20808,16,0,112,100
io8_l1n1n1_l3p8n1_d1d2,182.316,28560,28048,512,0,33588,72,0,126,100
io8_l1n1n2_l3n1n1,17.530,1974,1206,768,0,2008,0,8,5,100
io8_l1n1n2_l3n1n1_d1d2,37.553,3187,2419,768,0,2931,0,64,5,100
io8_l1n1n2_l3n1n2,17.928,2038,1270,768,0,2469,0,8,5,100
io8_l1n1n2_l3n1n2_d1d2,32.589,3247,2479,768,0,3002,0,64,5,100
io8_l1n1n2_l3n1n4,17.759,2237,1469,768,0,2436,0,8,5,100
io8_l1n1n2_l3n1n4_d1d2,32.994,3334,2566,768,0,2970,0,64,5,100
io8_l1n1n2_l3n1n8,45.651,4071,3303,768,0,4256,0,8,40,100
io8_l1n1n2_l3n1n8_d1d2,62.509,5301,4533,768,0,4784,0,64,40,100
io8_l1n1n2_l3n1p1,18.542,2157,1389,768,0,1841,0,8,5,100
io8_l1n1n2_l3n1p1_d1d2,41.867,3265,2497,768,0,2684,0,64,5,100
io8_l1n1n2_l3n1p2,19.915,2225,1457,768,0,1868,0,8,5,100
io8_l1n1n2_l3n1p2_d1d2,41.866,3740,2972,768,0,2988,0,64,5,100
io8_l1n1n2_l3n1p4,20.526,2426,1658,768,0,2265,0,8,5,100
io8_l1n1n2_l3n1p4_d1d2,39.017,3737,2969,768,0,2923,0,64,5,100
io8_l1n1n2_l3n1p8,46.990,4011,3496,512,3,3568,8,8,40,100
io8_l1n1n2_l3n1p8_d1d2,63.628,5259,4744,512,3,4285,8,64,40,100
io8_l1n1n2_l3p1n1,51.371,6483,5971,512,0,7413,16,0,40,100
io8_l1n1n2_l3p1n1_d1d2,72.281,8290,7778,512,0,7882,72,0,40,100
io8_l1n1n2_l3p2n1,80.996,9441,8929,512,0,10520,16,0,80,100
io8_l1n1n2_l3p2n1_d1d2,147.489,16896,16384,512,0,18269,72,0,126,100
io8_l1n1n2_l3p4n1,110.413,16547,16035,512,0,18511,16,0,112,100
io8_l1n1n2_l3p4n1_d1d2,164.440,21063,20551,512,0,22106,72,0,126,100
io8_l1n1n2_l3p8n1,120.088,19697,19185,512,0,20890,16,0,112,100
io8_l1n1n2_l3p8n1_d1d2,176.208,28779,28267,512,0,33387,72,0,126,100
io8_l1n1n4_l3n1n1,30.254,2238,1470,768,0,2380,0,8,14,100
io8_l1n1n4_l3n1n1_d1d2,49.349,3440,2672,768,0,3234,0,64,14,100
io8_l1n1n4_l3n1n2,29.578,2329,1561,768,0,2774,0,8,14,100
io8_l1n1n4_l3n1n2_d1d2,43.968,3488,2720,768,0,3304,0,64,14,100
io8_l1n1n4_l3n1n4,30.025,2457,1689,768,0,2736,0,8,14,100
io8_l1n1n4_l3n1n4_d1d2,41.395,3630,2862,768,0,3275,0,64,14,100
io8_l1n1n4_l3n1n8,57.181,4262,3494,768,0,4372,0,8,40,100
io8_l1n1n4_l3n1n8_d1d2,69.857,5470,4702,768,0,4896,0,64,40,100
io8_l1n1n4_l3n1p1,33.430,2349,1581,768,0,2147,0,8,14,100
io8_l1n1n4_l3n1p1_d1d2,54.761,3551,2783,768,0,2986,0,64,14,100
io8_l1n1n4_l3n1p2,34.962,2552,1784,768,0,2240,0,8,14,100
io8_l1n1n4_l3n1p2_d1d2,56.300,4006,3238,768,0,3289,0,64,14,100
io8_l1n1n4_l3n1p4,34.329,2654,1886,768,0,2569,0,8,14,100
io8_l1n1n4_l3n1p4_d1d2,52.700,3974,3206,768,0,3360,0,64,14,100
io8_l1n1n4_l3n1p8,56.306,4200,3684,512,4,3752,8,8,40,100
io8_l1n1n4_l3n1p8_d1d2,74.189,5480,4964,512,4,4398,8,64,40,100
io8_l1n1n4_l3p1n1,65.558,6610,6098,512,0,7592,16,0,40,100
io8_l1n1n4_l3p1n1_d1d2,84.871,8369,7857,512,0,7985,72,0,40,100
io8_l1n1n4_l3p2n1,100.097,9589,9077,512,0,10345,16,0,80,100
io8_l1n1n4_l3p2n1_d1d2,173.447,17257,16745,512,0,18910,72,0,126,100
io8_l1n1n4_l3p4n1,127.160,16582,16070,512,0,18395,16,0,112,100
