prj,clk_target(ns),clk_estimated(ns),clk_uncertainty(ns),bram,dsp,ff,lutc_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits)
io2_l2n1n2_l4p1n1,10.0,9.634,1.25,32,10,5397,4009,150,42,20,42,6x32,2x32
io2_l2n1n2_l4p1n1_d1d2,10.0,8.48,1.25,32,18,5366,6201,151,47,24,47,6x32,2x32
io2_l2n1n2_l4p2n1,10.0,9.687,1.25,32,10,8818,6102,278,74,20,74,6x32,2x32
io2_l2n1n2_l4p2n1_d1d2,10.0,9.382,1.25,32,20,10279,6436,279,47,25,47,6x32,2x32
io2_l2n1p1_l4n1n1,10.0,8.423,1.25,32,5,851,1749,25,16,22,16,6x32,2x32
io2_l2n1p1_l4n1n1_d1d2,10.0,7.966,1.25,32,5,946,2385,26,41,23,41,6x32,2x32
io2_l2n1p1_l4n1n2,10.0,8.423,1.25,32,10,1269,2046,27,16,24,16,6x32,2x32
io2_l2n1p1_l4n1n2_d1d2,10.0,8.419,1.25,32,5,946,2347,28,36,23,36,6x32,2x32
io2_l2n1p1_l4n1p1,10.0,8.423,1.25,32,5,900,1830,26,16,23,16,6x32,2x32
io2_l2n1p1_l4n1p1_d1d2,10.0,7.966,1.25,32,5,1008,2480,27,41,24,41,6x32,2x32
io2_l2n1p1_l4n1p2,10.0,8.423,1.25,32,10,1461,2187,28,16,25,16,6x32,2x32
io2_l2n1p1_l4n1p2_d1d2,10.0,8.419,1.25,32,10,1698,2916,29,36,26,36,6x32,2x32
io2_l2n1p1_l4p1n1,10.0,9.047,1.25,32,10,5409,4196,149,46,22,46,6x32,2x32
io2_l2n1p1_l4p1n1_d1d2,10.0,8.48,1.25,32,18,5398,6442,150,66,26,66,6x32,2x32
io2_l2n1p1_l4p2n1,10.0,9.101,1.25,32,10,8830,6289,277,78,22,78,6x32,2x32
io2_l2n1p1_l4p2n1_d1d2,10.0,9.229,1.25,32,20,10313,6681,278,66,27,66,6x32,2x32
io2_l2n1p2_l4n1n1,10.0,8.423,1.25,32,5,945,1722,28,16,22,16,6x32,2x32
io2_l2n1p2_l4n1n1_d1d2,10.0,7.966,1.25,32,5,1072,2355,29,33,23,33,6x32,2x32
io2_l2n1p2_l4n1n2,10.0,8.423,1.25,32,10,1363,2019,30,16,24,16,6x32,2x32
io2_l2n1p2_l4n1n2_d1d2,10.0,8.858,1.25,32,5,1087,2316,31,28,23,28,6x32,2x32
io2_l2n1p2_l4n1p1,10.0,8.423,1.25,32,5,994,1803,29,16,23,16,6x32,2x32
io2_l2n1p2_l4n1p1_d1d2,10.0,7.966,1.25,32,5,1134,2450,30,33,24,33,6x32,2x32
io2_l2n1p2_l4n1p2,10.0,8.423,1.25,32,10,1555,2174,31,16,25,16,6x32,2x32
io2_l2n1p2_l4n1p2_d1d2,10.0,8.847,1.25,32,10,1839,2901,32,28,26,28,6x32,2x32
io2_l2n1p2_l4p1n1,10.0,9.634,1.25,32,10,5471,4163,152,46,22,46,6x32,2x32
io2_l2n1p2_l4p1n1_d1d2,10.0,8.518,1.25,32,18,5460,6395,153,58,26,58,6x32,2x32
io2_l2n1p2_l4p2n1,10.0,9.687,1.25,32,10,8892,6256,280,78,22,78,6x32,2x32
io2_l2n1p2_l4p2n1_d1d2,10.0,9.251,1.25,32,20,10391,6630,281,58,27,58,6x32,2x32
io2_l2p1n1_l4n1n1,10.0,9.101,1.25,32,152,11292,13556,210,104,67,104,6x32,2x32
io2_l2p1n1_l4n1n1_d1d2,10.0,9.108,1.25,32,176,17244,20515,211,114,76,114,6x32,2x32
io2_l2p1n1_l4n1n2,10.0,9.101,1.25,32,154,11550,13696,212,104,68,104,6x32,2x32
io2_l2p1n1_l4n1n2_d1d2,10.0,9.451,1.25,32,176,17259,20353,213,109,76,109,6x32,2x32
io2_l2p1n1_l4n1p1,10.0,9.101,1.25,32,152,11341,13637,211,104,68,104,6x32,2x32
io2_l2p1n1_l4n1p1_d1d2,10.0,9.108,1.25,32,176,17306,20611,212,114,77,114,6x32,2x32
io2_l2p1n1_l4n1p2,10.0,9.101,1.25,32,154,11742,13851,213,104,69,104,6x32,2x32
io2_l2p1n1_l4n1p2_d1d2,10.0,9.058,1.25,32,178,17851,20813,214,109,78,109,6x32,2x32
io2_l2p1n1_l4p1n1,10.0,9.132,1.25,32,184,17667,17279,334,134,76,134,6x32,2x32
io2_l2p1n1_l4p1n1_d1d2,10.0,9.785,1.25,32,78,15840,19673,335,139,42,139,6x32,2x32
io2_l2p1n1_l4p2n1,10.0,9.164,1.25,32,121,17440,16700,462,166,55,166,6x32,2x32
io2_l2p1n1_l4p2n1_d1d2,10.0,9.332,1.25,32,104,22129,20947,463,139,51,139,6x32,2x32
io2_l2p2n1_l4n1n1,10.0,9.047,1.25,32,26,15729,12059,338,136,26,136,6x32,2x32
io2_l2p2n1_l4n1n1_d1d2,10.0,7.966,1.25,32,52,20608,17746,339,109,37,109,6x32,2x32
io2_l2p2n1_l4n1n2,10.0,8.59,1.25,32,26,15760,12009,340,136,26,136,6x32,2x32
io2_l2p2n1_l4n1n2_d1d2,10.0,9.206,1.25,32,52,20616,17651,341,104,37,104,6x32,2x32
io2_l2p2n1_l4n1p1,10.0,9.047,1.25,32,26,15778,12140,339,136,27,136,6x32,2x32
io2_l2p2n1_l4n1p1_d1d2,10.0,7.966,1.25,32,52,20670,17841,340,109,38,109,6x32,2x32
io2_l2p2n1_l4n1p2,10.0,8.59,1.25,32,26,15952,12158,341,136,27,136,6x32,2x32
io2_l2p2n1_l4n1p2_d1d2,10.0,8.813,1.25,32,52,20981,17893,342,104,38,104,6x32,2x32
io2_l2p2n1_l4p1n1,10.0,7.984,1.25,32,26,19420,14106,462,166,24,166,6x32,2x32
io2_l2p2n1_l4p1n1_d1d2,10.0,7.966,1.25,32,52,23614,20880,463,134,35,134,6x32,2x32
io2_l2p2n1_l4p2n1,10.0,8.016,1.25,32,26,22841,16175,590,198,24,198,6x32,2x32
io2_l2p2n1_l4p2n1_d1d2,10.0,8.858,1.25,32,52,28197,20801,591,134,35,134,6x32,2x32
io4_l2n1n1_l4n1n1,10.0,7.966,1.25,32,5,970,1782,25,16,22,16,10x32,4x32
io4_l2n1n1_l4n1n1_d1d2,10.0,7.966,1.25,64,5,1036,3403,26,16,23,16,10x32,4x32
io4_l2n1n1_l4n1n2,10.0,8.423,1.25,32,5,938,1926,27,19,22,19,10x32,4x32
io4_l2n1n1_l4n1n2_d1d2,10.0,8.419,1.25,64,5,1008,3537,28,19,23,19,10x32,4x32
io4_l2n1n1_l4n1n4,10.0,7.966,1.25,32,20,2139,2823,31,16,28,16,10x32,4x32
io4_l2n1n1_l4n1n4_d1d2,10.0,7.969,1.25,64,5,1692,3180,32,16,23,16,10x32,4x32
io4_l2n1n1_l4n1p1,10.0,7.966,1.25,32,5,1039,1881,26,16,23,16,10x32,4x32
io4_l2n1n1_l4n1p1_d1d2,10.0,8.419,1.25,64,5,997,3468,27,16,24,16,10x32,4x32
io4_l2n1n1_l4n1p2,10.0,8.423,1.25,32,5,1016,2007,28,19,23,19,10x32,4x32
io4_l2n1n1_l4n1p2_d1d2,10.0,7.966,1.25,64,5,1161,3652,29,19,24,19,10x32,4x32
io4_l2n1n1_l4n1p4,10.0,7.966,1.25,32,20,2458,3047,32,16,29,16,10x32,4x32
io4_l2n1n1_l4n1p4_d1d2,10.0,8.419,1.25,80,20,3506,5568,33,16,30,16,10x32,4x32
io4_l2n1n1_l4p1n1,10.0,8.48,1.25,32,20,7257,4819,149,30,26,30,10x32,4x32
io4_l2n1n1_l4p1n1_d1d2,10.0,7.966,1.25,96,40,7630,11540,150,30,35,30,10x32,4x32
io4_l2n1n1_l4p2n1,10.0,8.518,1.25,32,20,10392,6716,277,46,26,46,10x32,4x32
io4_l2n1n1_l4p2n1_d1d2,10.0,8.813,1.25,96,78,13724,15752,278,33,50,33,10x32,4x32
io4_l2n1n1_l4p4n1,10.0,8.571,1.25,32,20,17125,10360,533,78,26,78,10x32,4x32
io4_l2n1n1_l4p4n1_d1d2,10.0,8.48,1.25,96,80,26309,15498,534,30,51,30,10x32,4x32
io4_l2n1n2_l4n1n1,10.0,7.966,1.25,32,8,1183,2090,28,19,23,19,10x32,4x32
io4_l2n1n2_l4n1n1_d1d2,10.0,8.419,1.25,64,8,1226,3731,29,17,24,17,10x32,4x32
io4_l2n1n2_l4n1n2,10.0,8.423,1.25,32,8,1151,2234,30,22,23,22,10x32,4x32
io4_l2n1n2_l4n1n2_d1d2,10.0,7.966,1.25,64,8,1358,3879,31,20,24,20,10x32,4x32
io4_l2n1n2_l4n1n4,10.0,7.966,1.25,32,20,2192,3006,34,19,28,19,10x32,4x32
io4_l2n1n2_l4n1n4_d1d2,10.0,8.858,1.25,64,8,1396,3351,35,17,24,17,10x32,4x32
io4_l2n1n2_l4n1p1,10.0,7.966,1.25,32,8,1252,2189,29,19,24,19,10x32,4x32
io4_l2n1n2_l4n1p1_d1d2,10.0,7.966,1.25,64,8,1316,3814,30,17,25,17,10x32,4x32
io4_l2n1n2_l4n1p2,10.0,8.423,1.25,32,8,1229,2306,31,22,24,22,10x32,4x32
io4_l2n1n2_l4n1p2_d1d2,10.0,8.419,1.25,64,8,1318,3967,32,20,25,20,10x32,4x32
io4_l2n1n2_l4n1p4,10.0,7.966,1.25,32,20,2511,3230,35,19,29,19,10x32,4x32
io4_l2n1n2_l4n1p4_d1d2,10.0,7.966,1.25,80,20,3644,5739,36,17,30,17,10x32,4x32
io4_l2n1n2_l4p1n1,10.0,8.48,1.25,32,20,7278,4976,152,33,26,33,10x32,4x32
io4_l2n1n2_l4p1n1_d1d2,10.0,8.813,1.25,96,40,7660,11682,153,31,35,31,10x32,4x32
io4_l2n1n2_l4p2n1,10.0,8.518,1.25,32,20,10413,6875,280,49,26,49,10x32,4x32
io4_l2n1n2_l4p2n1_d1d2,10.0,7.966,1.25,96,78,13816,16033,281,34,50,34,10x32,4x32
io4_l2n1n2_l4p4n1,10.0,8.571,1.25,32,20,17146,10519,536,81,26,81,10x32,4x32
io4_l2n1n2_l4p4n1_d1d2,10.0,9.206,1.25,96,80,26339,15603,537,31,51,31,10x32,4x32
io4_l2n1n4_l4n1n1,10.0,7.966,1.25,32,14,1637,2322,34,16,25,16,10x32,4x32
io4_l2n1n4_l4n1n1_d1d2,10.0,7.966,1.25,64,14,1747,4375,35,16,26,16,10x32,4x32
io4_l2n1n4_l4n1n2,10.0,9.085,1.25,32,14,1605,2466,36,19,25,19,10x32,4x32
io4_l2n1n4_l4n1n2_d1d2,10.0,8.602,1.25,64,14,1719,4503,37,19,26,19,10x32,4x32
io4_l2n1n4_l4n1n4,10.0,8.609,1.25,32,20,2326,2988,40,16,28,16,10x32,4x32
io4_l2n1n4_l4n1n4_d1d2,10.0,7.969,1.25,64,14,2559,3887,41,16,26,16,10x32,4x32
io4_l2n1n4_l4n1p1,10.0,7.966,1.25,32,14,1706,2421,35,16,26,16,10x32,4x32
io4_l2n1n4_l4n1p1_d1d2,10.0,8.59,1.25,64,14,1708,3714,36,16,27,16,10x32,4x32
io4_l2n1n4_l4n1p2,10.0,9.085,1.25,32,14,1683,2538,37,19,26,19,10x32,4x32
io4_l2n1n4_l4n1p2_d1d2,10.0,7.966,1.25,64,14,2314,3867,38,19,27,19,10x32,4x32
io4_l2n1n4_l4n1p4,10.0,8.609,1.25,32,20,2645,3212,41,16,29,16,10x32,4x32
io4_l2n1n4_l4n1p4_d1d2,10.0,8.59,1.25,80,20,3737,5157,42,16,30,16,10x32,4x32
io4_l2n1n4_l4p1n1,10.0,8.48,1.25,32,20,7412,4924,158,30,26,30,10x32,4x32
io4_l2n1n4_l4p1n1_d1d2,10.0,7.966,1.25,96,40,8583,10818,159,30,35,30,10x32,4x32
io4_l2n1n4_l4p2n1,10.0,8.518,1.25,32,20,10547,6827,286,46,26,46,10x32,4x32
io4_l2n1n4_l4p2n1_d1d2,10.0,8.813,1.25,96,78,13923,15679,287,33,50,33,10x32,4x32
io4_l2n1n4_l4p4n1,10.0,8.571,1.25,32,20,17280,10471,542,78,26,78,10x32,4x32
io4_l2n1n4_l4p4n1_d1d2,10.0,8.48,1.25,96,80,26846,15479,543,30,51,30,10x32,4x32
io4_l2n1p1_l4n1n1,10.0,7.966,1.25,32,5,1054,1978,27,19,24,19,10x32,4x32
io4_l2n1p1_l4n1n1_d1d2,10.0,8.419,1.25,64,5,1061,3662,28,19,25,19,10x32,4x32
io4_l2n1p1_l4n1n2,10.0,8.423,1.25,32,5,1022,2122,29,22,24,22,10x32,4x32
io4_l2n1p1_l4n1n2_d1d2,10.0,7.966,1.25,64,5,1184,3803,30,22,25,22,10x32,4x32
io4_l2n1p1_l4n1n4,10.0,7.966,1.25,32,20,2223,3019,33,19,30,19,10x32,4x32
io4_l2n1p1_l4n1n4_d1d2,10.0,8.858,1.25,64,5,1231,3391,34,19,25,19,10x32,4x32
io4_l2n1p1_l4n1p1,10.0,7.966,1.25,32,5,1123,2073,28,19,25,19,10x32,4x32
io4_l2n1p1_l4n1p1_d1d2,10.0,7.966,1.25,64,5,1376,3334,29,19,26,19,10x32,4x32
io4_l2n1p1_l4n1p2,10.0,8.423,1.25,32,5,1100,2199,30,22,25,22,10x32,4x32
io4_l2n1p1_l4n1p2_d1d2,10.0,8.419,1.25,64,5,1121,3364,31,22,26,22,10x32,4x32
io4_l2n1p1_l4n1p4,10.0,7.966,1.25,32,20,2542,3228,34,19,31,19,10x32,4x32
io4_l2n1p1_l4n1p4_d1d2,10.0,7.966,1.25,80,20,4020,5121,35,19,32,19,10x32,4x32
io4_l2n1p1_l4p1n1,10.0,8.48,1.25,32,20,7341,5007,151,33,28,33,10x32,4x32
io4_l2n1p1_l4p1n1_d1d2,10.0,8.813,1.25,96,40,7655,10622,152,33,37,33,10x32,4x32
io4_l2n1p1_l4p2n1,10.0,8.518,1.25,32,20,10476,6904,279,49,28,49,10x32,4x32
io4_l2n1p1_l4p2n1_d1d2,10.0,7.966,1.25,96,78,14016,15772,280,36,52,36,10x32,4x32
io4_l2n1p1_l4p4n1,10.0,8.571,1.25,32,20,17209,10548,535,81,28,81,10x32,4x32
io4_l2n1p1_l4p4n1_d1d2,10.0,9.206,1.25,96,80,26334,15300,536,33,53,33,10x32,4x32
io4_l2n1p2_l4n1n1,10.0,7.966,1.25,32,5,1129,2134,30,22,24,22,10x32,4x32
io4_l2n1p2_l4n1n1_d1d2,10.0,7.966,1.25,64,5,1243,3839,31,20,25,20,10x32,4x32
io4_l2n1p2_l4n1n2,10.0,8.423,1.25,32,5,1097,2277,32,25,24,25,10x32,4x32
io4_l2n1p2_l4n1n2_d1d2,10.0,8.858,1.25,64,5,1193,3978,33,23,25,23,10x32,4x32
io4_l2n1p2_l4n1n4,10.0,7.966,1.25,32,20,2298,3175,36,22,30,22,10x32,4x32
io4_l2n1p2_l4n1n4_d1d2,10.0,7.966,1.25,64,5,1951,3533,37,20,25,20,10x32,4x32
io4_l2n1p2_l4n1p1,10.0,7.966,1.25,32,5,1198,2229,31,22,25,22,10x32,4x32
io4_l2n1p2_l4n1p1_d1d2,10.0,8.847,1.25,64,5,1182,3374,32,20,26,20,10x32,4x32
io4_l2n1p2_l4n1p2,10.0,8.423,1.25,32,5,1143,2339,33,25,25,25,10x32,4x32
io4_l2n1p2_l4n1p2_d1d2,10.0,7.969,1.25,64,5,1674,3500,34,23,26,23,10x32,4x32
io4_l2n1p2_l4n1p4,10.0,7.966,1.25,32,20,2617,3399,37,22,31,22,10x32,4x32
io4_l2n1p2_l4n1p4_d1d2,10.0,8.847,1.25,80,20,3691,5202,38,20,32,20,10x32,4x32
io4_l2n1p2_l4p1n1,10.0,8.518,1.25,32,20,7352,5140,154,36,28,36,10x32,4x32
io4_l2n1p2_l4p1n1_d1d2,10.0,7.966,1.25,96,40,8423,10838,155,34,37,34,10x32,4x32
io4_l2n1p2_l4p2n1,10.0,8.555,1.25,32,20,10487,7039,282,52,28,52,10x32,4x32
io4_l2n1p2_l4p2n1_d1d2,10.0,8.835,1.25,96,78,13845,15716,283,37,52,37,10x32,4x32
io4_l2n1p2_l4p4n1,10.0,8.609,1.25,32,20,17220,10683,538,84,28,84,10x32,4x32
io4_l2n1p2_l4p4n1_d1d2,10.0,8.518,1.25,96,80,26686,15515,539,34,53,34,10x32,4x32
io4_l2n1p4_l4n1n1,10.0,7.966,1.25,32,5,1322,2048,36,19,24,19,10x32,4x32
io4_l2n1p4_l4n1n1_d1d2,10.0,8.59,1.25,64,5,1351,4148,37,19,25,19,10x32,4x32
io4_l2n1p4_l4n1n2,10.0,9.085,1.25,32,5,1290,2189,38,22,24,22,10x32,4x32
io4_l2n1p4_l4n1n2_d1d2,10.0,7.966,1.25,64,5,1504,4302,39,22,25,22,10x32,4x32
io4_l2n1p4_l4n1n4,10.0,8.609,1.25,32,20,2491,3089,42,19,30,19,10x32,4x32
io4_l2n1p4_l4n1n4_d1d2,10.0,8.835,1.25,64,5,1521,3580,43,19,25,19,10x32,4x32
io4_l2n1p4_l4n1p1,10.0,7.966,1.25,32,5,1391,2143,37,19,25,19,10x32,4x32
io4_l2n1p4_l4n1p1_d1d2,10.0,7.966,1.25,64,5,1852,3572,38,19,26,19,10x32,4x32
io4_l2n1p4_l4n1p2,10.0,9.085,1.25,32,5,1336,2251,39,22,25,22,10x32,4x32
io4_l2n1p4_l4n1p2_d1d2,10.0,8.813,1.25,64,5,1411,3559,40,22,26,22,10x32,4x32
io4_l2n1p4_l4n1p4,10.0,8.609,1.25,32,20,2810,3313,43,19,31,19,10x32,4x32
io4_l2n1p4_l4n1p4_d1d2,10.0,7.966,1.25,80,20,4496,5374,44,19,32,19,10x32,4x32
io4_l2n1p4_l4p1n1,10.0,7.966,1.25,32,20,7481,5065,160,33,28,33,10x32,4x32
io4_l2n1p4_l4p1n1_d1d2,10.0,8.813,1.25,96,40,7849,10805,161,33,37,33,10x32,4x32
io4_l2n1p4_l4p2n1,10.0,7.966,1.25,32,20,10616,6949,288,49,28,49,10x32,4x32
io4_l2n1p4_l4p2n1_d1d2,10.0,7.966,1.25,96,78,14364,15980,289,36,52,36,10x32,4x32
io4_l2n1p4_l4p4n1,10.0,7.992,1.25,32,20,17349,10593,544,81,28,81,10x32,4x32
io4_l2n1p4_l4p4n1_d1d2,10.0,8.973,1.25,96,80,26528,15517,545,33,53,33,10x32,4x32
io4_l2p1n1_l4n1n1,10.0,7.966,1.25,32,14,2016,5462,212,60,23,60,10x32,4x32
io4_l2p1n1_l4n1n1_d1d2,10.0,8.582,1.25,96,26,3013,10461,213,60,28,60,10x32,4x32
io4_l2p1n1_l4n1n2,10.0,9.687,1.25,32,14,1984,5606,214,63,23,63,10x32,4x32
io4_l2p1n1_l4n1n2_d1d2,10.0,9.263,1.25,96,26,2985,10589,215,63,28,63,10x32,4x32
io4_l2p1n1_l4n1n4,10.0,8.644,1.25,32,20,2705,6128,218,60,26,60,10x32,4x32
io4_l2p1n1_l4n1n4_d1d2,10.0,8.574,1.25,96,26,4033,9633,219,60,28,60,10x32,4x32
io4_l2p1n1_l4n1p1,10.0,7.966,1.25,32,14,2085,5557,213,60,24,60,10x32,4x32
io4_l2p1n1_l4n1p1_d1d2,10.0,9.286,1.25,96,26,2978,9408,214,60,29,60,10x32,4x32
io4_l2p1n1_l4n1p2,10.0,9.687,1.25,32,14,2062,5674,215,63,24,63,10x32,4x32
io4_l2p1n1_l4n1p2_d1d2,10.0,8.574,1.25,96,26,3788,9598,216,63,29,63,10x32,4x32
io4_l2p1n1_l4n1p4,10.0,8.644,1.25,32,20,3024,6352,219,60,27,60,10x32,4x32
io4_l2p1n1_l4n1p4_d1d2,10.0,9.286,1.25,112,32,5003,10867,220,60,32,60,10x32,4x32
io4_l2p1n1_l4p1n1,10.0,7.969,1.25,32,20,7766,8053,336,74,24,74,10x32,4x32
io4_l2p1n1_l4p1n1_d1d2,10.0,8.593,1.25,128,40,9385,15994,337,74,33,74,10x32,4x32
io4_l2p1n1_l4p2n1,10.0,7.984,1.25,32,20,10901,9957,464,90,24,90,10x32,4x32
io4_l2p1n1_l4p2n1_d1d2,10.0,9.274,1.25,128,78,14515,20343,465,77,48,77,10x32,4x32
io4_l2p1n1_l4p4n1,10.0,8.016,1.25,32,20,17627,13585,720,122,24,122,10x32,4x32
io4_l2p1n1_l4p4n1_d1d2,10.0,8.612,1.25,128,80,27648,20629,721,74,49,74,10x32,4x32
io4_l2p2n1_l4n1n1,10.0,9.164,1.25,32,26,5291,7937,340,79,27,79,10x32,4x32
io4_l2p2n1_l4n1n1_d1d2,10.0,9.485,1.25,72,26,7270,12023,341,63,28,63,10x32,4x32
io4_l2p2n1_l4n1n2,10.0,9.751,1.25,32,26,5259,8051,342,82,27,82,10x32,4x32
io4_l2p2n1_l4n1n2_d1d2,10.0,8.048,1.25,72,26,7466,12153,343,66,28,66,10x32,4x32
io4_l2p2n1_l4n1n4,10.0,9.164,1.25,32,32,5980,8613,346,79,30,79,10x32,4x32
io4_l2p2n1_l4n1n4_d1d2,10.0,9.252,1.25,72,26,7440,11507,347,63,28,63,10x32,4x32
io4_l2p2n1_l4n1p1,10.0,9.164,1.25,32,26,5360,8042,341,79,28,79,10x32,4x32
io4_l2p2n1_l4n1p1_d1d2,10.0,8.555,1.25,72,26,7704,11598,342,63,29,63,10x32,4x32
io4_l2p2n1_l4n1p2,10.0,9.751,1.25,32,26,5305,8155,343,82,28,82,10x32,4x32
io4_l2p2n1_l4n1p2_d1d2,10.0,9.463,1.25,72,26,7330,11591,344,66,29,66,10x32,4x32
io4_l2p2n1_l4n1p4,10.0,9.164,1.25,32,32,6299,8865,347,79,31,79,10x32,4x32
io4_l2p2n1_l4n1p4_d1d2,10.0,8.71,1.25,88,32,9900,13028,348,63,32,63,10x32,4x32
io4_l2p2n1_l4p1n1,10.0,9.203,1.25,32,32,11137,10690,464,93,28,93,10x32,4x32
io4_l2p2n1_l4p1n1_d1d2,10.0,9.497,1.25,104,40,11966,17806,465,77,33,77,10x32,4x32
io4_l2p2n1_l4p2n1,10.0,9.242,1.25,32,32,14208,12539,592,109,28,109,10x32,4x32
io4_l2p2n1_l4p2n1_d1d2,10.0,8.635,1.25,104,78,18414,22980,593,80,48,80,10x32,4x32
io4_l2p2n1_l4p4n1,10.0,9.319,1.25,32,32,21030,16171,848,141,28,141,10x32,4x32
io4_l2p2n1_l4p4n1_d1d2,10.0,9.516,1.25,104,80,30645,22588,849,77,49,77,10x32,4x32
io4_l2p4n1_l4n1n1,10.0,7.966,1.25,32,46,29640,17262,596,108,36,108,10x32,4x32
io4_l2p4n1_l4n1n1_d1d2,10.0,8.48,1.25,96,101,44365,27530,661,60,58,60,10x32,4x32
io4_l2p4n1_l4n1n2,10.0,9.634,1.25,32,46,29608,17401,598,111,36,111,10x32,4x32
io4_l2p4n1_l4n1n2_d1d2,10.0,9.218,1.25,96,101,44369,27562,663,63,58,63,10x32,4x32
io4_l2p4n1_l4n1n4,10.0,8.59,1.25,32,46,29648,17262,602,108,36,108,10x32,4x32
io4_l2p4n1_l4n1n4_d1d2,10.0,8.537,1.25,96,101,45463,26571,667,60,58,60,10x32,4x32
io4_l2p4n1_l4n1p1,10.0,7.966,1.25,32,46,29709,17357,597,108,37,108,10x32,4x32
io4_l2p4n1_l4n1p1_d1d2,10.0,9.206,1.25,96,101,44358,26243,662,60,59,60,10x32,4x32
io4_l2p4n1_l4n1p2,10.0,9.634,1.25,32,46,29654,17467,599,111,37,111,10x32,4x32
io4_l2p4n1_l4n1p2_d1d2,10.0,8.499,1.25,96,101,45186,26530,664,63,59,63,10x32,4x32
io4_l2p4n1_l4n1p4,10.0,8.59,1.25,32,46,29967,17480,603,108,37,108,10x32,4x32
io4_l2p4n1_l4n1p4_d1d2,10.0,9.206,1.25,112,101,45706,26973,668,60,59,60,10x32,4x32
io4_l2p4n1_l4p1n1,10.0,7.969,1.25,32,46,33735,19073,720,122,34,122,10x32,4x32
io4_l2p4n1_l4p1n1_d1d2,10.0,7.966,1.25,128,101,48266,31081,785,74,56,74,10x32,4x32
io4_l2p4n1_l4p2n1,10.0,7.984,1.25,32,46,36870,20957,848,138,34,138,10x32,4x32
