prj,clk_target(ns),clk_estimated(ns),clk_uncertainty(ns),bram,dsp,ff,lutc_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits)
io4_l2n1n2_l5n1n2_l7p2n1_d1d2,10.0,8.835,1.25,176,112,18382,23958,421,38,73,38,14x32,4x32
io4_l2n1n2_l5n1n2_l7p4n1,10.0,9.251,1.25,56,56,10015,13643,804,87,48,87,14x32,4x32
io4_l2n1n2_l5n1n2_l7p4n1_d1d2,10.0,8.835,1.25,176,224,35881,33438,805,35,121,35,14x32,4x32
io4_l2n1n4_l5n1n4_l7n1n1,10.0,8.847,1.25,56,14,1751,3002,53,19,31,19,14x32,4x32
io4_l2n1n4_l5n1n4_l7n1n1_d1d2,10.0,8.847,1.25,112,14,2023,6625,54,19,32,19,14x32,4x32
io4_l2n1n4_l5n1n4_l7n1n2,10.0,8.858,1.25,56,14,1778,3226,56,22,31,22,14x32,4x32
io4_l2n1n4_l5n1n4_l7n1n2_d1d2,10.0,8.858,1.25,112,14,2125,6903,57,22,32,22,14x32,4x32
io4_l2n1n4_l5n1n4_l7n1n4,10.0,8.847,1.25,56,20,2594,3719,62,19,34,19,14x32,4x32
io4_l2n1n4_l5n1n4_l7n1n4_d1d2,10.0,8.847,1.25,112,20,2889,6346,63,19,35,19,14x32,4x32
io4_l2n1n4_l5n1n4_l7n1p1,10.0,8.847,1.25,56,16,2377,3452,54,19,33,19,14x32,4x32
io4_l2n1n4_l5n1n4_l7n1p1_d1d2,10.0,8.847,1.25,112,16,2513,5811,55,19,34,19,14x32,4x32
io4_l2n1n4_l5n1n4_l7n1p2,10.0,8.847,1.25,56,20,2958,4082,57,22,35,22,14x32,4x32
io4_l2n1n4_l5n1n4_l7n1p2_d1d2,10.0,8.847,1.25,112,20,3099,6351,58,22,36,22,14x32,4x32
io4_l2n1n4_l5n1n4_l7n1p4,10.0,8.847,1.25,56,28,3629,4591,63,19,39,19,14x32,4x32
io4_l2n1n4_l5n1n4_l7n1p4_d1d2,10.0,8.847,1.25,112,28,3997,7250,64,19,40,19,14x32,4x32
io4_l2n1n4_l5n1n4_l7p1n1,10.0,8.835,1.25,56,56,10143,9423,240,33,48,33,14x32,4x32
io4_l2n1n4_l5n1n4_l7p1n1_d1d2,10.0,8.835,1.25,176,56,10416,16494,241,33,49,33,14x32,4x32
io4_l2n1n4_l5n1n4_l7p2n1,10.0,9.229,1.25,56,56,9730,11087,432,49,48,49,14x32,4x32
io4_l2n1n4_l5n1n4_l7p2n1_d1d2,10.0,8.835,1.25,176,112,18656,23576,433,36,73,36,14x32,4x32
io4_l2n1n4_l5n1n4_l7p4n1,10.0,9.251,1.25,56,56,10155,13511,816,81,48,81,14x32,4x32
io4_l2n1n4_l5n1n4_l7p4n1_d1d2,10.0,8.835,1.25,176,224,36155,33058,817,33,121,33,14x32,4x32
io4_l2n1p1_l5n1p1_l7n1n1,10.0,8.847,1.25,56,5,1183,2819,39,25,32,25,14x32,4x32
io4_l2n1p1_l5n1p1_l7n1n1_d1d2,10.0,8.847,1.25,112,5,1291,5738,40,25,33,25,14x32,4x32
io4_l2n1p1_l5n1p1_l7n1n2,10.0,8.858,1.25,56,5,1210,3028,42,28,32,28,14x32,4x32
io4_l2n1p1_l5n1p1_l7n1n2_d1d2,10.0,8.858,1.25,112,5,1393,6001,43,28,33,28,14x32,4x32
io4_l2n1p1_l5n1p1_l7n1n4,10.0,8.847,1.25,56,20,2506,3905,48,25,38,25,14x32,4x32
io4_l2n1p1_l5n1p1_l7n1n4_d1d2,10.0,8.847,1.25,112,20,2637,6404,49,25,39,25,14x32,4x32
io4_l2n1p1_l5n1p1_l7n1p1,10.0,8.847,1.25,56,7,1809,3257,40,25,34,25,14x32,4x32
io4_l2n1p1_l5n1p1_l7n1p1_d1d2,10.0,8.847,1.25,112,7,1781,5488,41,25,35,25,14x32,4x32
io4_l2n1p1_l5n1p1_l7n1p2,10.0,8.847,1.25,56,14,2550,4010,43,28,37,28,14x32,4x32
io4_l2n1p1_l5n1p1_l7n1p2_d1d2,10.0,8.847,1.25,112,14,2527,6151,44,28,38,28,14x32,4x32
io4_l2n1p1_l5n1p1_l7n1p4,10.0,8.847,1.25,56,28,3541,4765,49,25,43,25,14x32,4x32
io4_l2n1p1_l5n1p1_l7n1p4_d1d2,10.0,8.847,1.25,112,28,3745,7296,50,25,44,25,14x32,4x32
io4_l2n1p1_l5n1p1_l7p1n1,10.0,8.835,1.25,56,56,10023,9615,226,39,52,39,14x32,4x32
io4_l2n1p1_l5n1p1_l7p1n1_d1d2,10.0,8.835,1.25,176,56,10132,16489,227,39,53,39,14x32,4x32
io4_l2n1p1_l5n1p1_l7p2n1,10.0,9.229,1.25,56,56,9580,11271,418,55,52,55,14x32,4x32
io4_l2n1p1_l5n1p1_l7p2n1_d1d2,10.0,8.835,1.25,176,112,18372,23571,419,42,77,42,14x32,4x32
io4_l2n1p1_l5n1p1_l7p4n1,10.0,9.251,1.25,56,56,10005,13695,802,87,52,87,14x32,4x32
io4_l2n1p1_l5n1p1_l7p4n1_d1d2,10.0,8.835,1.25,176,224,35871,33050,803,39,125,39,14x32,4x32
io4_l2n1p2_l5n1p2_l7n1n1,10.0,8.505,1.25,56,5,1309,3094,45,31,32,31,14x32,4x32
io4_l2n1p2_l5n1p2_l7n1n1_d1d2,10.0,8.602,1.25,112,5,1419,6053,46,27,33,27,14x32,4x32
io4_l2n1p2_l5n1p2_l7n1n2,10.0,8.813,1.25,56,5,1336,3300,48,34,32,34,14x32,4x32
io4_l2n1p2_l5n1p2_l7n1n2_d1d2,10.0,8.813,1.25,112,5,1521,6313,49,30,33,30,14x32,4x32
io4_l2n1p2_l5n1p2_l7n1n4,10.0,8.505,1.25,56,20,2632,4180,54,31,38,31,14x32,4x32
io4_l2n1p2_l5n1p2_l7n1n4_d1d2,10.0,8.602,1.25,112,20,2765,6527,55,27,39,27,14x32,4x32
io4_l2n1p2_l5n1p2_l7n1p1,10.0,8.493,1.25,56,7,1935,3544,46,31,34,31,14x32,4x32
io4_l2n1p2_l5n1p2_l7n1p1_d1d2,10.0,8.59,1.25,112,7,1909,5623,47,27,35,27,14x32,4x32
io4_l2n1p2_l5n1p2_l7n1p2,10.0,8.55,1.25,56,14,2676,4297,49,34,37,34,14x32,4x32
io4_l2n1p2_l5n1p2_l7n1p2_d1d2,10.0,8.59,1.25,112,14,2655,6286,50,30,38,30,14x32,4x32
io4_l2n1p2_l5n1p2_l7n1p4,10.0,8.493,1.25,56,28,3667,5052,55,31,43,31,14x32,4x32
io4_l2n1p2_l5n1p2_l7n1p4_d1d2,10.0,8.59,1.25,112,28,3873,7431,56,27,44,27,14x32,4x32
io4_l2n1p2_l5n1p2_l7p1n1,10.0,8.813,1.25,56,56,10149,9887,232,45,52,45,14x32,4x32
io4_l2n1p2_l5n1p2_l7p1n1_d1d2,10.0,8.813,1.25,176,56,10260,16607,233,41,53,41,14x32,4x32
io4_l2n1p2_l5n1p2_l7p2n1,10.0,8.876,1.25,56,56,9736,11543,424,61,52,61,14x32,4x32
io4_l2n1p2_l5n1p2_l7p2n1_d1d2,10.0,8.813,1.25,176,112,18500,23689,425,44,77,44,14x32,4x32
io4_l2n1p2_l5n1p2_l7p4n1,10.0,8.898,1.25,56,56,10133,13967,808,93,52,93,14x32,4x32
io4_l2n1p2_l5n1p2_l7p4n1_d1d2,10.0,8.813,1.25,176,224,35999,33170,809,41,125,41,14x32,4x32
io4_l2n1p4_l5n1p4_l7n1n1,10.0,8.813,1.25,56,5,1503,2894,57,25,32,25,14x32,4x32
io4_l2n1p4_l5n1p4_l7n1n1_d1d2,10.0,8.813,1.25,112,5,1743,6661,58,25,33,25,14x32,4x32
io4_l2n1p4_l5n1p4_l7n1n2,10.0,9.206,1.25,56,5,1530,3100,60,28,32,28,14x32,4x32
io4_l2n1p4_l5n1p4_l7n1n2_d1d2,10.0,9.206,1.25,112,5,1845,6921,61,28,33,28,14x32,4x32
io4_l2n1p4_l5n1p4_l7n1n4,10.0,8.813,1.25,56,20,2826,3980,66,25,38,25,14x32,4x32
io4_l2n1p4_l5n1p4_l7n1n4_d1d2,10.0,8.813,1.25,112,20,3089,6751,67,25,39,25,14x32,4x32
io4_l2n1p4_l5n1p4_l7n1p1,10.0,8.813,1.25,56,7,2129,3344,58,25,34,25,14x32,4x32
io4_l2n1p4_l5n1p4_l7n1p1_d1d2,10.0,8.813,1.25,112,7,2233,5847,59,25,35,25,14x32,4x32
io4_l2n1p4_l5n1p4_l7n1p2,10.0,8.813,1.25,56,14,2870,4097,61,28,37,28,14x32,4x32
io4_l2n1p4_l5n1p4_l7n1p2_d1d2,10.0,8.813,1.25,112,14,2979,6510,62,28,38,28,14x32,4x32
io4_l2n1p4_l5n1p4_l7n1p4,10.0,8.813,1.25,56,28,3861,4852,67,25,43,25,14x32,4x32
io4_l2n1p4_l5n1p4_l7n1p4_d1d2,10.0,8.813,1.25,112,28,4197,7655,68,25,44,25,14x32,4x32
io4_l2n1p4_l5n1p4_l7p1n1,10.0,8.824,1.25,56,56,10279,9681,244,39,52,39,14x32,4x32
io4_l2n1p4_l5n1p4_l7p1n1_d1d2,10.0,8.824,1.25,176,56,10520,16825,245,39,53,39,14x32,4x32
io4_l2n1p4_l5n1p4_l7p2n1,10.0,8.835,1.25,56,56,9866,11337,436,55,52,55,14x32,4x32
io4_l2n1p4_l5n1p4_l7p2n1_d1d2,10.0,8.824,1.25,176,112,18760,23907,437,42,77,42,14x32,4x32
io4_l2n1p4_l5n1p4_l7p4n1,10.0,8.858,1.25,56,56,10265,13777,820,87,52,87,14x32,4x32
io4_l2n1p4_l5n1p4_l7p4n1_d1d2,10.0,8.824,1.25,176,224,36259,33388,821,39,125,39,14x32,4x32
io4_l2p1n1_l5p1n1_l7n1n1,10.0,9.133,1.25,56,14,2400,7836,409,92,27,92,14x32,4x32
io4_l2p1n1_l5p1n1_l7n1n1_d1d2,10.0,9.343,1.25,144,26,3670,16814,410,92,32,92,14x32,4x32
io4_l2p1n1_l5p1n1_l7n1n2,10.0,9.298,1.25,56,14,2420,8012,412,95,27,95,14x32,4x32
io4_l2p1n1_l5p1n1_l7n1n2_d1d2,10.0,9.32,1.25,144,26,3772,17041,413,95,32,95,14x32,4x32
io4_l2p1n1_l5p1n1_l7n1n4,10.0,9.133,1.25,56,20,3243,8553,418,92,30,92,14x32,4x32
io4_l2p1n1_l5p1n1_l7n1n4_d1d2,10.0,9.343,1.25,144,32,4536,15958,419,92,35,92,14x32,4x32
io4_l2p1n1_l5p1n1_l7n1p1,10.0,8.905,1.25,56,16,3026,8318,410,92,29,92,14x32,4x32
io4_l2p1n1_l5p1n1_l7n1p1_d1d2,10.0,9.343,1.25,144,28,4160,15456,411,92,34,92,14x32,4x32
io4_l2p1n1_l5p1n1_l7n1p2,10.0,8.905,1.25,56,20,3607,8948,413,95,31,95,14x32,4x32
io4_l2p1n1_l5p1n1_l7n1p2_d1d2,10.0,9.343,1.25,144,32,4746,15996,414,95,36,95,14x32,4x32
io4_l2p1n1_l5p1n1_l7n1p4,10.0,8.905,1.25,56,28,4278,9457,419,92,35,92,14x32,4x32
io4_l2p1n1_l5p1n1_l7n1p4_d1d2,10.0,9.343,1.25,144,40,5644,16894,420,92,40,92,14x32,4x32
io4_l2p1n1_l5p1n1_l7p1n1,10.0,8.928,1.25,56,56,10746,14236,596,106,44,106,14x32,4x32
io4_l2p1n1_l5p1n1_l7p1n1_d1d2,10.0,9.343,1.25,208,56,11391,25470,597,106,45,106,14x32,4x32
io4_l2p1n1_l5p1n1_l7p2n1,10.0,8.952,1.25,56,56,10326,15860,788,122,44,122,14x32,4x32
io4_l2p1n1_l5p1n1_l7p2n1_d1d2,10.0,9.343,1.25,208,112,19629,31832,789,109,69,109,14x32,4x32
io4_l2p1n1_l5p1n1_l7p4n1,10.0,8.999,1.25,56,56,10751,18220,1172,154,44,154,14x32,4x32
io4_l2p1n1_l5p1n1_l7p4n1_d1d2,10.0,9.343,1.25,208,224,37130,42042,1173,106,117,106,14x32,4x32
io4_l2p2n1_l5p2n1_l7n1n1,10.0,9.821,1.25,56,26,6981,11590,665,145,31,145,14x32,4x32
io4_l2p2n1_l5p2n1_l7n1n1_d1d2,10.0,9.766,1.25,128,26,9524,17730,666,98,32,98,14x32,4x32
io4_l2p2n1_l5p2n1_l7n1n2,10.0,9.506,1.25,56,26,7008,11780,668,148,31,148,14x32,4x32
io4_l2p2n1_l5p2n1_l7n1n2_d1d2,10.0,9.788,1.25,128,26,9540,17984,669,101,32,101,14x32,4x32
io4_l2p2n1_l5p2n1_l7n1n4,10.0,9.814,1.25,56,32,7856,12293,674,145,34,145,14x32,4x32
io4_l2p2n1_l5p2n1_l7n1n4_d1d2,10.0,9.755,1.25,128,32,10368,17582,675,98,35,98,14x32,4x32
io4_l2p2n1_l5p2n1_l7n1p1,10.0,9.825,1.25,56,28,7799,12124,666,145,33,145,14x32,4x32
