clk_target(ns),clk_estimated(ns),clk_uncertainty(ns),bram,dsp,ff,lut,uram
io2_l2n1p2_l5n1p2_l8n1n2,10.0,8.847,1.25,56,8,1484,2705,0
io2_l2n1p2_l5n1p2_l8n1n2_d1d2,10.0,9.011,1.25,56,8,1687,3557,0
io2_l2n1p2_l5n1p2_l8n1p1,10.0,8.847,1.25,56,5,1324,2735,0
io2_l2n1p2_l5n1p2_l8n1p1_d1d2,10.0,8.847,1.25,56,5,1590,3716,0
io2_l2n1p2_l5n1p2_l8n1p2,10.0,8.858,1.25,56,5,1387,2783,0
io2_l2n1p2_l5n1p2_l8n1p2_d1d2,10.0,8.858,1.25,56,5,1667,3657,0
io2_l2n1p2_l5n1p2_l8p1n1,10.0,9.025,1.25,56,8,3361,7938,0
io2_l2n1p2_l5n1p2_l8p1n1_d1d2,10.0,9.474,1.25,56,14,9903,14228,0
io2_l2n1p2_l5n1p2_l8p2n1,10.0,9.251,1.25,56,20,15374,11992,0
io2_l2n1p2_l5n1p2_l8p2n1_d1d2,10.0,9.229,1.25,56,40,19931,18382,0
io2_l2p1n1_l5p1n1_l8n1n1,10.0,9.069,1.25,56,8,5109,12523,0
io2_l2p1n1_l5p1n1_l8n1n1_d1d2,10.0,9.245,1.25,56,14,16688,23808,0
io2_l2p1n1_l5p1n1_l8n1n2,10.0,9.19,1.25,56,8,5186,12537,0
io2_l2p1n1_l5p1n1_l8n1n2_d1d2,10.0,9.639,1.25,56,14,16765,23737,0
io2_l2p1n1_l5p1n1_l8n1p1,10.0,9.069,1.25,56,8,5186,12731,0
io2_l2p1n1_l5p1n1_l8n1p1_d1d2,10.0,9.245,1.25,56,14,16813,24058,0
io2_l2p1n1_l5p1n1_l8n1p2,10.0,9.463,1.25,56,8,5249,12760,0
io2_l2p1n1_l5p1n1_l8n1p2_d1d2,10.0,9.639,1.25,56,14,16879,23980,0
io2_l2p1n1_l5p1n1_l8p1n1,10.0,9.438,1.25,56,8,4923,16343,0
io2_l2p1n1_l5p1n1_l8p1n1_d1d2,10.0,9.392,1.25,56,14,23853,32751,0
io2_l2p1n1_l5p1n1_l8p2n1,10.0,9.022,1.25,56,20,16622,21581,0
io2_l2p1n1_l5p1n1_l8p2n1_d1d2,10.0,9.282,1.25,56,40,33374,38175,0
io2_l2p2n1_l5p2n1_l8n1n1,10.0,8.905,1.25,56,20,17575,16577,0
io2_l2p2n1_l5p2n1_l8n1n1_d1d2,10.0,8.988,1.25,56,40,23311,26209,0
io2_l2p2n1_l5p2n1_l8n1n2,10.0,9.002,1.25,56,20,17577,16608,0
io2_l2p2n1_l5p2n1_l8n1n2_d1d2,10.0,9.382,1.25,56,40,23370,26154,0
io2_l2p2n1_l5p2n1_l8n1p1,10.0,8.905,1.25,56,20,17641,16769,0
io2_l2p2n1_l5p2n1_l8n1p1_d1d2,10.0,8.835,1.25,56,40,23418,26447,0
io2_l2p2n1_l5p2n1_l8n1p2,10.0,9.298,1.25,56,20,17640,16816,0
io2_l2p2n1_l5p2n1_l8n1p2_d1d2,10.0,9.229,1.25,56,40,23510,26389,0
io2_l2p2n1_l5p2n1_l8p1n1,10.0,9.415,1.25,56,20,18270,21836,0
io2_l2p2n1_l5p2n1_l8p1n1_d1d2,10.0,9.285,1.25,56,40,30216,36540,0
io2_l2p2n1_l5p2n1_l8p2n1,10.0,8.999,1.25,56,20,19906,21661,0
io2_l2p2n1_l5p2n1_l8p2n1_d1d2,10.0,8.858,1.25,56,40,27061,34293,0
io4_l2n1n1_l5n1n1_l8n1n1,10.0,8.419,1.25,56,5,996,2244,0
io4_l2n1n1_l5n1n1_l8n1n1_d1d2,10.0,8.419,1.25,112,5,1256,4949,0
io4_l2n1n1_l5n1n1_l8n1n2,10.0,8.419,1.25,56,8,1252,2503,0
io4_l2n1n1_l5n1n1_l8n1n2_d1d2,10.0,8.419,1.25,112,8,1509,4647,0
io4_l2n1n1_l5n1n1_l8n1n4,10.0,8.847,1.25,56,8,1443,2597,0
io4_l2n1n1_l5n1n1_l8n1n4_d1d2,10.0,8.602,1.25,112,14,1967,4913,0
io4_l2n1n1_l5n1n1_l8n1p1,10.0,8.419,1.25,56,5,1063,2446,0
io4_l2n1n1_l5n1n1_l8n1p1_d1d2,10.0,8.419,1.25,112,5,1325,5223,0
io4_l2n1n1_l5n1n1_l8n1p2,10.0,8.419,1.25,56,5,1191,2598,0
io4_l2n1n1_l5n1n1_l8n1p2_d1d2,10.0,8.419,1.25,112,5,1453,5611,0
io4_l2n1n1_l5n1n1_l8n1p4,10.0,8.858,1.25,56,5,1396,2740,0
io4_l2n1n1_l5n1n1_l8n1p4_d1d2,10.0,8.858,1.25,112,5,1647,5721,0
io4_l2n1n1_l5n1n1_l8p1n1,10.0,8.945,1.25,56,11,2026,6793,0
io4_l2n1n1_l5n1n1_l8p1n1_d1d2,10.0,9.206,1.25,112,14,2321,10751,0
io4_l2n1n1_l5n1n1_l8p2n1,10.0,9.392,1.25,56,8,6711,8324,0
io4_l2n1n1_l5n1n1_l8p2n1_d1d2,10.0,9.322,1.25,120,26,8239,13404,0
io4_l2n1n1_l5n1n1_l8p4n1,10.0,9.229,1.25,56,40,28621,16757,0
io4_l2n1n1_l5n1n1_l8p4n1_d1d2,10.0,9.206,1.25,144,80,40646,26768,0
io4_l2n1n2_l5n1n2_l8n1n1,10.0,8.493,1.25,56,8,1316,2636,0
io4_l2n1n2_l5n1n2_l8n1n1_d1d2,10.0,8.59,1.25,112,8,1570,5851,0
io4_l2n1n2_l5n1n2_l8n1n2,10.0,8.505,1.25,56,8,1380,2751,0
io4_l2n1n2_l5n1n2_l8n1n2_d1d2,10.0,8.602,1.25,112,8,1631,5021,0
io4_l2n1n2_l5n1n2_l8n1n4,10.0,8.847,1.25,56,8,1571,2845,0
io4_l2n1n2_l5n1n2_l8n1n4_d1d2,10.0,8.419,1.25,112,14,2089,5287,0
io4_l2n1n2_l5n1n2_l8n1p1,10.0,8.493,1.25,56,8,1383,2838,0
io4_l2n1n2_l5n1n2_l8n1p1_d1d2,10.0,8.59,1.25,112,8,1639,5117,0
io4_l2n1n2_l5n1n2_l8n1p2,10.0,8.505,1.25,56,8,1479,2975,0
io4_l2n1n2_l5n1n2_l8n1p2_d1d2,10.0,8.602,1.25,112,8,1735,5298,0
io4_l2n1n2_l5n1n2_l8n1p4,10.0,8.858,1.25,56,8,1684,3117,0
io4_l2n1n2_l5n1n2_l8n1p4_d1d2,10.0,8.858,1.25,112,8,1929,5312,0
io4_l2n1n2_l5n1n2_l8p1n1,10.0,8.968,1.25,56,11,2144,7041,0
io4_l2n1n2_l5n1n2_l8p1n1_d1d2,10.0,9.206,1.25,112,14,2443,10213,0
io4_l2n1n2_l5n1n2_l8p2n1,10.0,9.392,1.25,56,8,6839,8518,0
io4_l2n1n2_l5n1n2_l8p2n1_d1d2,10.0,9.322,1.25,120,26,8361,12954,0
io4_l2n1n2_l5n1n2_l8p4n1,10.0,9.229,1.25,56,40,28749,16999,0
io4_l2n1n2_l5n1n2_l8p4n1_d1d2,10.0,9.206,1.25,144,80,40768,25672,0
io4_l2n1n4_l5n1n4_l8n1n1,10.0,8.881,1.25,56,8,1634,2808,0
io4_l2n1n4_l5n1n4_l8n1n1_d1d2,10.0,8.419,1.25,112,14,2166,6353,0
io4_l2n1n4_l5n1n4_l8n1n2,10.0,8.881,1.25,56,8,1698,2923,0
io4_l2n1n4_l5n1n4_l8n1n2_d1d2,10.0,8.557,1.25,112,14,2227,5331,0
io4_l2n1n4_l5n1n4_l8n1n4,10.0,8.482,1.25,56,8,1825,3014,0
io4_l2n1n4_l5n1n4_l8n1n4_d1d2,10.0,8.579,1.25,112,14,2365,5355,0
io4_l2n1n4_l5n1n4_l8n1p1,10.0,8.881,1.25,56,8,1701,3010,0
io4_l2n1n4_l5n1n4_l8n1p1_d1d2,10.0,8.419,1.25,112,14,2235,5427,0
io4_l2n1n4_l5n1n4_l8n1p2,10.0,8.46,1.25,56,8,1765,3137,0
io4_l2n1n4_l5n1n4_l8n1p2_d1d2,10.0,8.557,1.25,112,14,2331,5608,0
io4_l2n1n4_l5n1n4_l8n1p4,10.0,8.813,1.25,56,8,1938,3279,0
io4_l2n1n4_l5n1n4_l8n1p4_d1d2,10.0,8.858,1.25,112,14,2525,5634,0
io4_l2n1n4_l5n1n4_l8p1n1,10.0,9.321,1.25,56,11,2440,7195,0
io4_l2n1n4_l5n1n4_l8p1n1_d1d2,10.0,9.206,1.25,112,14,2719,10265,0
io4_l2n1n4_l5n1n4_l8p2n1,10.0,9.437,1.25,56,8,7093,8604,0
io4_l2n1n4_l5n1n4_l8p2n1_d1d2,10.0,9.322,1.25,120,26,8637,12894,0
io4_l2n1n4_l5n1n4_l8p4n1,10.0,9.274,1.25,56,40,29003,17154,0
io4_l2n1n4_l5n1n4_l8p4n1_d1d2,10.0,9.206,1.25,144,80,41044,25680,0
io4_l2n1p1_l5n1p1_l8n1n1,10.0,8.419,1.25,56,5,1130,2648,0
io4_l2n1p1_l5n1p1_l8n1n1_d1d2,10.0,8.419,1.25,112,5,1394,5497,0
io4_l2n1p1_l5n1p1_l8n1n2,10.0,8.419,1.25,56,8,1386,2907,0
io4_l2n1p1_l5n1p1_l8n1n2_d1d2,10.0,8.419,1.25,112,8,1647,5195,0
io4_l2n1p1_l5n1p1_l8n1n4,10.0,8.847,1.25,56,8,1577,3001,0
io4_l2n1p1_l5n1p1_l8n1n4_d1d2,10.0,8.602,1.25,112,14,2105,5461,0
io4_l2n1p1_l5n1p1_l8n1p1,10.0,8.419,1.25,56,5,1197,2850,0
io4_l2n1p1_l5n1p1_l8n1p1_d1d2,10.0,8.419,1.25,112,5,1463,5147,0
io4_l2n1p1_l5n1p1_l8n1p2,10.0,8.419,1.25,56,5,1325,3002,0
io4_l2n1p1_l5n1p1_l8n1p2_d1d2,10.0,8.419,1.25,112,5,1591,5343,0
io4_l2n1p1_l5n1p1_l8n1p4,10.0,8.858,1.25,56,5,1530,3144,0
io4_l2n1p1_l5n1p1_l8n1p4_d1d2,10.0,8.858,1.25,112,5,1785,5357,0
io4_l2n1p1_l5n1p1_l8p1n1,10.0,8.945,1.25,56,11,2160,7181,0
io4_l2n1p1_l5n1p1_l8p1n1_d1d2,10.0,9.206,1.25,112,14,2459,10323,0
io4_l2n1p1_l5n1p1_l8p2n1,10.0,9.392,1.25,56,8,6845,8744,0
io4_l2n1p1_l5n1p1_l8p2n1_d1d2,10.0,9.322,1.25,120,26,8377,13144,0
io4_l2n1p1_l5n1p1_l8p4n1,10.0,9.229,1.25,56,40,28748,17141,0
io4_l2n1p1_l5n1p1_l8p4n1_d1d2,10.0,9.206,1.25,144,80,40784,25780,0
io4_l2n1p2_l5n1p2_l8n1n1,10.0,8.847,1.25,56,5,1322,2931,0
io4_l2n1p2_l5n1p2_l8n1n1_d1d2,10.0,8.847,1.25,112,5,1586,6252,0
io4_l2n1p2_l5n1p2_l8n1n2,10.0,8.847,1.25,56,8,1546,3175,0
io4_l2n1p2_l5n1p2_l8n1n2_d1d2,10.0,8.847,1.25,112,8,1807,5551,0
io4_l2n1p2_l5n1p2_l8n1n4,10.0,8.881,1.25,56,8,1705,3258,0
io4_l2n1p2_l5n1p2_l8n1n4_d1d2,10.0,8.847,1.25,112,14,2265,5817,0
io4_l2n1p2_l5n1p2_l8n1p1,10.0,8.847,1.25,56,5,1389,3133,0
io4_l2n1p2_l5n1p2_l8n1p1_d1d2,10.0,8.847,1.25,112,5,1655,5518,0
io4_l2n1p2_l5n1p2_l8n1p2,10.0,8.858,1.25,56,5,1453,3262,0
io4_l2n1p2_l5n1p2_l8n1p2_d1d2,10.0,8.858,1.25,112,5,1719,5691,0
io4_l2n1p2_l5n1p2_l8n1p4,10.0,8.419,1.25,56,5,1658,3394,0
io4_l2n1p2_l5n1p2_l8n1p4_d1d2,10.0,8.419,1.25,112,5,1913,5695,0
io4_l2n1p2_l5n1p2_l8p1n1,10.0,9.298,1.25,56,11,2288,7433,0
io4_l2n1p2_l5n1p2_l8p1n1_d1d2,10.0,9.229,1.25,112,14,2619,10679,0
io4_l2n1p2_l5n1p2_l8p2n1,10.0,9.415,1.25,56,8,6973,8964,0
io4_l2n1p2_l5n1p2_l8p2n1_d1d2,10.0,9.344,1.25,120,26,8505,13452,0
io4_l2n1p2_l5n1p2_l8p4n1,10.0,9.251,1.25,56,40,28883,17398,0
io4_l2n1p2_l5n1p2_l8p4n1_d1d2,10.0,9.229,1.25,144,80,40912,26118,0
io4_l2n1p4_l5n1p4_l8n1n1,10.0,8.419,1.25,56,5,1668,3187,0
io4_l2n1p4_l5n1p4_l8n1n1_d1d2,10.0,8.419,1.25,112,5,1910,6444,0
io4_l2n1p4_l5n1p4_l8n1n2,10.0,8.46,1.25,56,8,1892,3431,0
io4_l2n1p4_l5n1p4_l8n1n2_d1d2,10.0,8.557,1.25,112,8,2131,5551,0
io4_l2n1p4_l5n1p4_l8n1n4,10.0,8.824,1.25,56,8,2019,3504,0
io4_l2n1p4_l5n1p4_l8n1n4_d1d2,10.0,8.579,1.25,112,14,2589,5813,0
io4_l2n1p4_l5n1p4_l8n1p1,10.0,8.419,1.25,56,5,1735,3389,0
io4_l2n1p4_l5n1p4_l8n1p1_d1d2,10.0,8.419,1.25,112,5,1979,5518,0
io4_l2n1p4_l5n1p4_l8n1p2,10.0,8.813,1.25,56,5,1799,3514,0
io4_l2n1p4_l5n1p4_l8n1p2_d1d2,10.0,8.813,1.25,112,5,2043,5687,0
io4_l2n1p4_l5n1p4_l8n1p4,10.0,8.835,1.25,56,5,1940,3634,0
io4_l2n1p4_l5n1p4_l8n1p4_d1d2,10.0,8.835,1.25,112,5,2173,5679,0
io4_l2n1p4_l5n1p4_l8p1n1,10.0,9.343,1.25,56,11,2624,7684,0
io4_l2n1p4_l5n1p4_l8p1n1_d1d2,10.0,8.824,1.25,112,14,2943,10675,0
io4_l2n1p4_l5n1p4_l8p2n1,10.0,9.022,1.25,56,8,7245,9144,0
io4_l2n1p4_l5n1p4_l8p2n1_d1d2,10.0,8.952,1.25,120,26,8765,13376,0
io4_l2n1p4_l5n1p4_l8p4n1,10.0,8.847,1.25,56,40,29165,17658,0
io4_l2n1p4_l5n1p4_l8p4n1_d1d2,10.0,8.824,1.25,144,80,41172,26148,0
io4_l2p1n1_l5p1n1_l8n1n1,10.0,9.496,1.25,56,11,2652,10767,0
io4_l2p1n1_l5p1n1_l8n1n1_d1d2,10.0,9.286,1.25,176,26,4026,17570,0
io4_l2p1n1_l5p1n1_l8n1n2,10.0,9.496,1.25,56,11,2716,10866,0
io4_l2p1n1_l5p1n1_l8n1n2_d1d2,10.0,9.286,1.25,176,26,4087,15764,0
io4_l2p1n1_l5p1n1_l8n1n4,10.0,9.531,1.25,56,11,2875,10913,0
io4_l2p1n1_l5p1n1_l8n1n4_d1d2,10.0,9.286,1.25,176,26,4225,15740,0
io4_l2p1n1_l5p1n1_l8n1p1,10.0,9.496,1.25,56,11,2719,10985,0
io4_l2p1n1_l5p1n1_l8n1p1_d1d2,10.0,9.286,1.25,176,26,4095,15892,0
io4_l2p1n1_l5p1n1_l8n1p2,10.0,9.508,1.25,56,11,2783,11094,0
io4_l2p1n1_l5p1n1_l8n1p2_d1d2,10.0,9.263,1.25,176,26,4191,16054,0
io4_l2p1n1_l5p1n1_l8n1p4,10.0,9.155,1.25,56,11,2988,11193,0
io4_l2p1n1_l5p1n1_l8n1p4_d1d2,10.0,9.263,1.25,176,26,4385,16030,0
io4_l2p1n1_l5p1n1_l8p1n1,10.0,9.615,1.25,56,11,3288,13879,0
io4_l2p1n1_l5p1n1_l8p1n1_d1d2,10.0,9.274,1.25,208,26,4835,19578,0
io4_l2p1n1_l5p1n1_l8p2n1,10.0,9.711,1.25,56,11,8133,14615,0
io4_l2p1n1_l5p1n1_l8p2n1_d1d2,10.0,9.437,1.25,184,26,9857,20730,0
io4_l2p1n1_l5p1n1_l8p4n1,10.0,9.564,1.25,56,40,29893,24844,0
io4_l2p1n1_l5p1n1_l8p4n1_d1d2,10.0,9.285,1.25,208,80,42264,35372,0
io4_l2p2n1_l5p2n1_l8n1n1,10.0,9.239,1.25,56,8,10454,12000,0
io4_l2p2n1_l5p2n1_l8n1n1_d1d2,10.0,9.13,1.25,128,26,12290,18693,0
io4_l2p2n1_l5p2n1_l8n1n2,10.0,9.484,1.25,56,8,10518,12094,0
io4_l2p2n1_l5p2n1_l8n1n2_d1d2,10.0,9.524,1.25,128,26,12351,17938,0
io4_l2p2n1_l5p2n1_l8n1n4,10.0,9.644,1.25,56,8,10645,12137,0
io4_l2p2n1_l5p2n1_l8n1n4_d1d2,10.0,9.546,1.25,128,26,12499,17904,0
io4_l2p2n1_l5p2n1_l8n1p1,10.0,9.239,1.25,56,8,10521,12218,0
io4_l2p2n1_l5p2n1_l8n1p1_d1d2,10.0,9.13,1.25,128,26,12369,18071,0
io4_l2p2n1_l5p2n1_l8n1p2,10.0,9.633,1.25,56,8,10585,12328,0
io4_l2p2n1_l5p2n1_l8n1p2_d1d2,10.0,9.524,1.25,128,26,12433,18242,0
io4_l2p2n1_l5p2n1_l8n1p4,10.0,9.655,1.25,56,8,10726,12418,0
io4_l2p2n1_l5p2n1_l8n1p4_d1d2,10.0,9.546,1.25,128,26,12553,18206,0
io4_l2p2n1_l5p2n1_l8p1n1,10.0,9.807,1.25,56,8,11090,15113,0
io4_l2p2n1_l5p2n1_l8p1n1_d1d2,10.0,9.61,1.25,160,26,13119,21754,0
io4_l2p2n1_l5p2n1_l8p2n1,10.0,9.46,1.25,56,8,14207,15586,0
io4_l2p2n1_l5p2n1_l8p2n1_d1d2,10.0,9.305,1.25,136,26,16371,22619,0
io4_l2p2n1_l5p2n1_l8p4n1,10.0,9.313,1.25,56,40,36120,26183,0
io4_l2p2n1_l5p2n1_l8p4n1_d1d2,10.0,9.167,1.25,160,80,48778,37650,0
io4_l2p4n1_l5p4n1_l8n1n1,10.0,8.905,1.25,56,40,32417,22035,0
io4_l2p4n1_l5p4n1_l8n1n1_d1d2,10.0,8.984,1.25,176,80,50167,35782,0
io4_l2p4n1_l5p4n1_l8n1n2,10.0,8.945,1.25,56,40,32481,22148,0
io4_l2p4n1_l5p4n1_l8n1n2_d1d2,10.0,8.995,1.25,176,80,50228,33700,0
io4_l2p4n1_l5p4n1_l8n1n4,10.0,9.31,1.25,56,40,32480,22225,0
io4_l2p4n1_l5p4n1_l8n1n4_d1d2,10.0,9.018,1.25,176,80,50366,33700,0
io4_l2p4n1_l5p4n1_l8n1p1,10.0,8.905,1.25,56,40,32484,22237,0
io4_l2p4n1_l5p4n1_l8n1p1_d1d2,10.0,8.984,1.25,176,80,50236,33800,0
io4_l2p4n1_l5p4n1_l8n1p2,10.0,9.298,1.25,56,40,32548,22365,0
io4_l2p4n1_l5p4n1_l8n1p2_d1d2,10.0,9.229,1.25,176,80,50300,33971,0
io4_l2p4n1_l5p4n1_l8n1p4,10.0,9.321,1.25,56,40,32561,22487,0
io4_l2p4n1_l5p4n1_l8n1p4_d1d2,10.0,9.251,1.25,176,80,50430,33975,0
io4_l2p4n1_l5p4n1_l8p1n1,10.0,9.508,1.25,56,40,32925,26264,0
io4_l2p4n1_l5p4n1_l8p1n1_d1d2,10.0,9.309,1.25,208,80,50976,38618,0
io4_l2p4n1_l5p4n1_l8p2n1,10.0,9.166,1.25,56,40,36028,27707,0
io4_l2p4n1_l5p4n1_l8p2n1_d1d2,10.0,9.303,1.25,184,80,54228,40561,0
io4_l2p4n1_l5p4n1_l8p4n1,10.0,8.999,1.25,56,40,35957,27493,0
io4_l2p4n1_l5p4n1_l8p4n1_d1d2,10.0,8.858,1.25,208,80,59688,41018,0
io8_l2n1n1_l5n1n1_l8n1n1,10.0,8.419,1.25,56,5,1097,3091,0
io8_l2n1n1_l5n1n1_l8n1n1_d1d2,10.0,8.528,1.25,448,5,2035,16860,0
io8_l2n1n1_l5n1n1_l8n1n2,10.0,8.419,1.25,56,5,1349,3208,0
io8_l2n1n1_l5n1n1_l8n1n2_d1d2,10.0,8.528,1.25,448,5,2545,13175,0
io8_l2n1n1_l5n1n1_l8n1n4,10.0,8.847,1.25,64,8,1543,3700,0
io8_l2n1n1_l5n1n1_l8n1n4_d1d2,10.0,8.967,1.25,448,14,2752,13817,0
io8_l2n1n1_l5n1n1_l8n1n8,10.0,8.533,1.25,64,11,1853,3947,0
io8_l2n1n1_l5n1n1_l8n1n8_d1d2,10.0,8.922,1.25,448,20,3363,14145,0
io8_l2n1n1_l5n1n1_l8n1p1,10.0,8.419,1.25,56,5,1172,3313,0
io8_l2n1n1_l5n1n1_l8n1p1_d1d2,10.0,8.528,1.25,448,5,2105,17386,0
io8_l2n1n1_l5n1n1_l8n1p2,10.0,8.419,1.25,64,5,1335,3437,0
io8_l2n1n1_l5n1n1_l8n1p2_d1d2,10.0,8.528,1.25,448,5,2284,19735,0
io8_l2n1n1_l5n1n1_l8n1p4,10.0,8.858,1.25,64,5,1507,3865,0
io8_l2n1n1_l5n1n1_l8n1p4_d1d2,10.0,8.967,1.25,448,5,2446,20465,0
io8_l2n1n1_l5n1n1_l8n1p8,10.0,8.813,1.25,64,5,1804,4062,0
io8_l2n1n1_l5n1n1_l8n1p8_d1d2,10.0,8.922,1.25,448,5,2807,21500,0
io8_l2n1n1_l5n1n1_l8p1n1,10.0,9.018,1.25,64,11,2182,8052,0
io8_l2n1n1_l5n1n1_l8p1n1_d1d2,10.0,9.407,1.25,448,20,3668,27414,0
io8_l2n1n1_l5n1n1_l8p2n1,10.0,9.486,1.25,64,5,11242,12114,0
io8_l2n1n1_l5n1n1_l8p2n1_d1d2,10.0,9.595,1.25,512,5,27691,44874,0
io8_l2n1n1_l5n1n1_l8p4n1,10.0,9.707,1.25,58,8,8747,9661,0
io8_l2n1n1_l5n1n1_l8p4n1_d1d2,10.0,9.889,1.25,544,50,31511,69452,0
io8_l2n1n1_l5n1n1_l8p8n1,10.0,9.229,1.25,72,80,55042,30003,0
io8_l2n1n1_l5n1n1_l8p8n1_d1d2,10.0,9.349,1.25,576,80,77708,87690,0
io8_l2n1n2_l5n1n2_l8n1n1,10.0,8.847,1.25,56,5,1569,3319,0
io8_l2n1n2_l5n1n2_l8n1n1_d1d2,10.0,8.955,1.25,448,5,3007,21420,0
io8_l2n1n2_l5n1n2_l8n1n2,10.0,8.858,1.25,56,5,1789,3445,0
io8_l2n1n2_l5n1n2_l8n1n2_d1d2,10.0,8.967,1.25,448,5,3477,13871,0
io8_l2n1n2_l5n1n2_l8n1n4,10.0,8.881,1.25,64,8,1983,3934,0
io8_l2n1n2_l5n1n2_l8n1n4_d1d2,10.0,8.847,1.25,448,14,3692,14531,0
io8_l2n1n2_l5n1n2_l8n1n8,10.0,8.813,1.25,64,11,2293,4163,0
io8_l2n1n2_l5n1n2_l8n1n8_d1d2,10.0,8.944,1.25,448,20,4303,14859,0
