prj,clk_target(ns),clk_estimated(ns),clk_uncertainty(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits)
io2_l2n1n1_l5n1n1_l8n1p2,10.0,8.419,1.25,56,5,1129,2301,37,18,31,18,8x32,2x32
io2_l2n1n1_l5n1n1_l8n1p2_d1d2,10.0,8.572,1.25,56,5,1269,3297,37,53,31,53,8x32,2x32
io2_l2n1n1_l5n1n1_l8p1n1,10.0,9.32,1.25,56,8,3103,7472,177,74,48,74,8x32,2x32
io2_l2n1n1_l5n1n1_l8p1n1_d1d2,10.0,9.451,1.25,56,14,9519,13892,169,103,42,103,8x32,2x32
io2_l2n1n1_l5n1n1_l8p2n1,10.0,9.229,1.25,56,20,15116,11521,305,74,53,74,8x32,2x32
io2_l2n1n1_l5n1n1_l8p2n1_d1d2,10.0,9.359,1.25,56,40,19568,18042,297,98,53,98,8x32,2x32
io2_l2n1n2_l5n1n2_l8n1n1,10.0,8.55,1.25,56,8,1260,2266,36,15,29,15,8x32,2x32
io2_l2n1n2_l5n1n2_l8n1n1_d1d2,10.0,8.999,1.25,56,8,1316,3157,37,35,30,35,8x32,2x32
io2_l2n1n2_l5n1n2_l8n1n2,10.0,8.562,1.25,56,8,1326,2299,38,16,29,16,8x32,2x32
io2_l2n1n2_l5n1n2_l8n1n2_d1d2,10.0,9.011,1.25,56,8,1375,3107,39,28,30,28,8x32,2x32
io2_l2n1n2_l5n1n2_l8n1p1,10.0,8.55,1.25,56,8,1326,2458,38,19,31,19,8x32,2x32
io2_l2n1n2_l5n1n2_l8n1p1_d1d2,10.0,8.999,1.25,56,8,1438,3395,39,47,32,47,8x32,2x32
io2_l2n1n2_l5n1n2_l8n1p2,10.0,8.562,1.25,56,8,1421,2514,41,20,32,20,8x32,2x32
io2_l2n1n2_l5n1n2_l8n1p2_d1d2,10.0,9.011,1.25,56,8,1547,3344,41,39,32,39,8x32,2x32
io2_l2n1n2_l5n1n2_l8p1n1,10.0,9.32,1.25,56,8,3235,7547,181,76,48,76,8x32,2x32
io2_l2n1n2_l5n1n2_l8p1n1_d1d2,10.0,9.474,1.25,56,14,9637,13787,173,89,42,89,8x32,2x32
io2_l2n1n2_l5n1n2_l8p2n1,10.0,9.229,1.25,56,20,15248,11599,309,76,53,76,8x32,2x32
io2_l2n1n2_l5n1n2_l8p2n1_d1d2,10.0,9.382,1.25,56,40,19686,17937,301,84,53,84,8x32,2x32
io2_l2n1p1_l5n1p1_l8n1n1,10.0,8.419,1.25,56,5,1068,2422,36,21,32,21,8x32,2x32
io2_l2n1p1_l5n1p1_l8n1n1_d1d2,10.0,8.572,1.25,56,5,1250,3571,37,73,33,73,8x32,2x32
io2_l2n1p1_l5n1p1_l8n1n2,10.0,8.419,1.25,56,8,1326,2599,38,22,33,22,8x32,2x32
io2_l2n1p1_l5n1p1_l8n1n2_d1d2,10.0,8.572,1.25,56,8,1501,3665,39,66,34,66,8x32,2x32
io2_l2n1p1_l5n1p1_l8n1p1,10.0,8.419,1.25,56,5,1134,2614,38,25,34,25,8x32,2x32
io2_l2n1p1_l5n1p1_l8n1p1_d1d2,10.0,8.419,1.25,56,5,1372,3809,39,85,35,85,8x32,2x32
io2_l2n1p1_l5n1p1_l8n1p2,10.0,8.419,1.25,56,5,1261,2685,41,26,35,26,8x32,2x32
io2_l2n1p1_l5n1p1_l8n1p2_d1d2,10.0,8.419,1.25,56,5,1513,3773,41,77,35,77,8x32,2x32
io2_l2n1p1_l5n1p1_l8p1n1,10.0,9.32,1.25,56,8,3235,7848,181,82,52,82,8x32,2x32
io2_l2n1p1_l5n1p1_l8p1n1_d1d2,10.0,9.451,1.25,56,14,9733,14352,173,127,46,127,8x32,2x32
io2_l2n1p1_l5n1p1_l8p2n1,10.0,9.229,1.25,56,20,15248,11897,309,82,57,82,8x32,2x32
io2_l2n1p1_l5n1p1_l8p2n1_d1d2,10.0,9.206,1.25,56,40,19775,18502,301,122,57,122,8x32,2x32
io2_l2n1p2_l5n1p2_l8n1n1,10.0,8.847,1.25,56,5,1258,2543,42,23,34,23,8x32,2x32
io2_l2n1p2_l5n1p2_l8n1n1_d1d2,10.0,8.999,1.25,56,5,1468,3478,41,57,33,57,8x32,2x32
io2_l2n1p2_l5n1p2_l8n1n2,10.0,8.847,1.25,56,8,1484,2705,44,24,35,24,8x32,2x32
io2_l2n1p2_l5n1p2_l8n1n2_d1d2,10.0,9.011,1.25,56,8,1687,3557,43,50,34,50,8x32,2x32
io2_l2n1p2_l5n1p2_l8n1p1,10.0,8.847,1.25,56,5,1324,2735,44,27,36,27,8x32,2x32
io2_l2n1p2_l5n1p2_l8n1p1_d1d2,10.0,8.847,1.25,56,5,1590,3716,43,69,35,69,8x32,2x32
io2_l2n1p2_l5n1p2_l8n1p2,10.0,8.858,1.25,56,5,1387,2783,47,28,37,28,8x32,2x32
io2_l2n1p2_l5n1p2_l8n1p2_d1d2,10.0,8.858,1.25,56,5,1667,3657,45,61,35,61,8x32,2x32
io2_l2n1p2_l5n1p2_l8p1n1,10.0,9.025,1.25,56,8,3361,7938,187,84,54,84,8x32,2x32
io2_l2n1p2_l5n1p2_l8p1n1_d1d2,10.0,9.474,1.25,56,14,9903,14228,177,111,46,111,8x32,2x32
io2_l2n1p2_l5n1p2_l8p2n1,10.0,9.251,1.25,56,20,15374,11992,315,84,59,84,8x32,2x32
io2_l2n1p2_l5n1p2_l8p2n1_d1d2,10.0,9.229,1.25,56,40,19931,18382,305,106,57,106,8x32,2x32
io2_l2p1n1_l5p1n1_l8n1n1,10.0,9.069,1.25,56,8,5109,12523,322,135,67,135,8x32,2x32
io2_l2p1n1_l5p1n1_l8n1n1_d1d2,10.0,9.245,1.25,56,14,16688,23808,305,157,52,157,8x32,2x32
io2_l2p1n1_l5p1n1_l8n1n2,10.0,9.19,1.25,56,8,5186,12537,324,136,67,136,8x32,2x32
io2_l2p1n1_l5p1n1_l8n1n2_d1d2,10.0,9.639,1.25,56,14,16765,23737,307,150,52,150,8x32,2x32
io2_l2p1n1_l5p1n1_l8n1p1,10.0,9.069,1.25,56,8,5186,12731,324,139,69,139,8x32,2x32
io2_l2p1n1_l5p1n1_l8n1p1_d1d2,10.0,9.245,1.25,56,14,16813,24058,307,169,54,169,8x32,2x32
io2_l2p1n1_l5p1n1_l8n1p2,10.0,9.463,1.25,56,8,5249,12760,327,140,70,140,8x32,2x32
io2_l2p1n1_l5p1n1_l8n1p2_d1d2,10.0,9.639,1.25,56,14,16879,23980,309,161,54,161,8x32,2x32
io2_l2p1n1_l5p1n1_l8p1n1,10.0,9.438,1.25,56,8,4923,16343,467,196,86,196,8x32,2x32
io2_l2p1n1_l5p1n1_l8p1n1_d1d2,10.0,9.392,1.25,56,14,23853,32751,441,211,62,211,8x32,2x32
io2_l2p1n1_l5p1n1_l8p2n1,10.0,9.022,1.25,56,20,16622,21581,595,196,91,196,8x32,2x32
io2_l2p1n1_l5p1n1_l8p2n1_d1d2,10.0,9.282,1.25,56,40,33374,38175,569,206,73,206,8x32,2x32
io2_l2p2n1_l5p2n1_l8n1n1,10.0,8.905,1.25,56,20,17575,16577,578,135,72,135,8x32,2x32
io2_l2p2n1_l5p2n1_l8n1n1_d1d2,10.0,8.988,1.25,56,40,23311,26209,561,147,63,147,8x32,2x32
io2_l2p2n1_l5p2n1_l8n1n2,10.0,9.002,1.25,56,20,17577,16608,580,136,72,136,8x32,2x32
io2_l2p2n1_l5p2n1_l8n1n2_d1d2,10.0,9.382,1.25,56,40,23370,26154,563,140,63,140,8x32,2x32
io2_l2p2n1_l5p2n1_l8n1p1,10.0,8.905,1.25,56,20,17641,16769,580,139,74,139,8x32,2x32
io2_l2p2n1_l5p2n1_l8n1p1_d1d2,10.0,8.835,1.25,56,40,23418,26447,563,159,65,159,8x32,2x32
io2_l2p2n1_l5p2n1_l8n1p2,10.0,9.298,1.25,56,20,17640,16816,583,140,75,140,8x32,2x32
io2_l2p2n1_l5p2n1_l8n1p2_d1d2,10.0,9.229,1.25,56,40,23510,26389,565,151,65,151,8x32,2x32
io2_l2p2n1_l5p2n1_l8p1n1,10.0,9.415,1.25,56,20,18270,21836,723,196,91,196,8x32,2x32
io2_l2p2n1_l5p2n1_l8p1n1_d1d2,10.0,9.285,1.25,56,40,30216,36540,697,201,73,201,8x32,2x32
io2_l2p2n1_l5p2n1_l8p2n1,10.0,8.999,1.25,56,20,19906,21661,851,196,91,196,8x32,2x32
io2_l2p2n1_l5p2n1_l8p2n1_d1d2,10.0,8.858,1.25,56,40,27061,34293,825,196,73,196,8x32,2x32
io4_l2n1n1_l5n1n1_l8n1n1,10.0,8.419,1.25,56,5,996,2244,32,13,28,13,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1n1_d1d2,10.0,8.419,1.25,112,5,1256,4949,33,13,29,13,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1n2,10.0,8.419,1.25,56,8,1252,2503,34,17,29,17,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1n2_d1d2,10.0,8.419,1.25,112,8,1509,4647,35,16,30,16,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1n4,10.0,8.847,1.25,56,8,1443,2597,39,16,30,16,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1n4_d1d2,10.0,8.602,1.25,112,14,1967,4913,39,13,32,13,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1p1,10.0,8.419,1.25,56,5,1063,2446,34,16,30,16,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1p1_d1d2,10.0,8.419,1.25,112,5,1325,5223,35,16,31,16,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1p2,10.0,8.419,1.25,56,5,1191,2598,37,20,31,20,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1p2_d1d2,10.0,8.419,1.25,112,5,1453,5611,37,19,31,19,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1p4,10.0,8.858,1.25,56,5,1396,2740,43,19,33,19,16x32,4x32
io4_l2n1n1_l5n1n1_l8n1p4_d1d2,10.0,8.858,1.25,112,5,1647,5721,41,16,31,16,16x32,4x32
io4_l2n1n1_l5n1n1_l8p1n1,10.0,8.945,1.25,56,11,2026,6793,177,42,49,42,16x32,4x32
io4_l2n1n1_l5n1n1_l8p1n1_d1d2,10.0,9.206,1.25,112,14,2321,10751,164,42,37,42,16x32,4x32
io4_l2n1n1_l5n1n1_l8p2n1,10.0,9.392,1.25,56,8,6711,8324,305,45,48,45,16x32,4x32
io4_l2n1n1_l5n1n1_l8p2n1_d1d2,10.0,9.322,1.25,120,26,8239,13404,292,45,41,45,16x32,4x32
io4_l2n1n1_l5n1n1_l8p4n1,10.0,9.229,1.25,56,40,28621,16757,561,42,61,42,16x32,4x32
io4_l2n1n1_l5n1n1_l8p4n1_d1d2,10.0,9.206,1.25,144,80,40646,26768,548,42,64,42,16x32,4x32
io4_l2n1n2_l5n1n2_l8n1n1,10.0,8.493,1.25,56,8,1316,2636,36,21,29,21,16x32,4x32
io4_l2n1n2_l5n1n2_l8n1n1_d1d2,10.0,8.59,1.25,112,8,1570,5851,37,19,30,19,16x32,4x32
io4_l2n1n2_l5n1n2_l8n1n2,10.0,8.505,1.25,56,8,1380,2751,38,25,29,25,16x32,4x32
io4_l2n1n2_l5n1n2_l8n1n2_d1d2,10.0,8.602,1.25,112,8,1631,5021,39,22,30,22,16x32,4x32
io4_l2n1n2_l5n1n2_l8n1n4,10.0,8.847,1.25,56,8,1571,2845,43,24,30,24,16x32,4x32
io4_l2n1n2_l5n1n2_l8n1n4_d1d2,10.0,8.419,1.25,112,14,2089,5287,43,19,32,19,16x32,4x32
io4_l2n1n2_l5n1n2_l8n1p1,10.0,8.493,1.25,56,8,1383,2838,38,24,31,24,16x32,4x32
io4_l2n1n2_l5n1n2_l8n1p1_d1d2,10.0,8.59,1.25,112,8,1639,5117,39,22,32,22,16x32,4x32
io4_l2n1n2_l5n1n2_l8n1p2,10.0,8.505,1.25,56,8,1479,2975,41,28,32,28,16x32,4x32
io4_l2n1n2_l5n1n2_l8n1p2_d1d2,10.0,8.602,1.25,112,8,1735,5298,41,25,32,25,16x32,4x32
io4_l2n1n2_l5n1n2_l8n1p4,10.0,8.858,1.25,56,8,1684,3117,47,27,34,27,16x32,4x32
io4_l2n1n2_l5n1n2_l8n1p4_d1d2,10.0,8.858,1.25,112,8,1929,5312,45,22,32,22,16x32,4x32
io4_l2n1n2_l5n1n2_l8p1n1,10.0,8.968,1.25,56,11,2144,7041,181,50,49,50,16x32,4x32
io4_l2n1n2_l5n1n2_l8p1n1_d1d2,10.0,9.206,1.25,112,14,2443,10213,168,48,37,48,16x32,4x32
io4_l2n1n2_l5n1n2_l8p2n1,10.0,9.392,1.25,56,8,6839,8518,309,53,48,53,16x32,4x32
io4_l2n1n2_l5n1n2_l8p2n1_d1d2,10.0,9.322,1.25,120,26,8361,12954,296,51,41,51,16x32,4x32
io4_l2n1n2_l5n1n2_l8p4n1,10.0,9.229,1.25,56,40,28749,16999,565,50,61,50,16x32,4x32
io4_l2n1n2_l5n1n2_l8p4n1_d1d2,10.0,9.206,1.25,144,80,40768,25672,552,48,64,48,16x32,4x32
io4_l2n1n4_l5n1n4_l8n1n1,10.0,8.881,1.25,56,8,1634,2808,46,19,31,19,16x32,4x32
io4_l2n1n4_l5n1n4_l8n1n1_d1d2,10.0,8.419,1.25,112,14,2166,6353,45,13,32,13,16x32,4x32
io4_l2n1n4_l5n1n4_l8n1n2,10.0,8.881,1.25,56,8,1698,2923,48,23,31,23,16x32,4x32
io4_l2n1n4_l5n1n4_l8n1n2_d1d2,10.0,8.557,1.25,112,14,2227,5331,47,16,32,16,16x32,4x32
io4_l2n1n4_l5n1n4_l8n1n4,10.0,8.482,1.25,56,8,1825,3014,53,22,32,22,16x32,4x32
io4_l2n1n4_l5n1n4_l8n1n4_d1d2,10.0,8.579,1.25,112,14,2365,5355,51,13,32,13,16x32,4x32
io4_l2n1n4_l5n1n4_l8n1p1,10.0,8.881,1.25,56,8,1701,3010,48,22,33,22,16x32,4x32
io4_l2n1n4_l5n1n4_l8n1p1_d1d2,10.0,8.419,1.25,112,14,2235,5427,47,16,34,16,16x32,4x32
io4_l2n1n4_l5n1n4_l8n1p2,10.0,8.46,1.25,56,8,1765,3137,51,26,34,26,16x32,4x32
io4_l2n1n4_l5n1n4_l8n1p2_d1d2,10.0,8.557,1.25,112,14,2331,5608,49,19,34,19,16x32,4x32
io4_l2n1n4_l5n1n4_l8n1p4,10.0,8.813,1.25,56,8,1938,3279,57,25,36,25,16x32,4x32
io4_l2n1n4_l5n1n4_l8n1p4_d1d2,10.0,8.858,1.25,112,14,2525,5634,53,16,34,16,16x32,4x32
io4_l2n1n4_l5n1n4_l8p1n1,10.0,9.321,1.25,56,11,2440,7195,191,48,51,48,16x32,4x32
io4_l2n1n4_l5n1n4_l8p1n1_d1d2,10.0,9.206,1.25,112,14,2719,10265,176,42,37,42,16x32,4x32
io4_l2n1n4_l5n1n4_l8p2n1,10.0,9.437,1.25,56,8,7093,8604,319,51,50,51,16x32,4x32
io4_l2n1n4_l5n1n4_l8p2n1_d1d2,10.0,9.322,1.25,120,26,8637,12894,304,45,41,45,16x32,4x32
io4_l2n1n4_l5n1n4_l8p4n1,10.0,9.274,1.25,56,40,29003,17154,575,48,63,48,16x32,4x32
io4_l2n1n4_l5n1n4_l8p4n1_d1d2,10.0,9.206,1.25,144,80,41044,25680,560,42,64,42,16x32,4x32
io4_l2n1p1_l5n1p1_l8n1n1,10.0,8.419,1.25,56,5,1130,2648,36,19,32,19,16x32,4x32
io4_l2n1p1_l5n1p1_l8n1n1_d1d2,10.0,8.419,1.25,112,5,1394,5497,37,19,33,19,16x32,4x32
io4_l2n1p1_l5n1p1_l8n1n2,10.0,8.419,1.25,56,8,1386,2907,38,23,33,23,16x32,4x32
io4_l2n1p1_l5n1p1_l8n1n2_d1d2,10.0,8.419,1.25,112,8,1647,5195,39,22,34,22,16x32,4x32
io4_l2n1p1_l5n1p1_l8n1n4,10.0,8.847,1.25,56,8,1577,3001,43,22,34,22,16x32,4x32
io4_l2n1p1_l5n1p1_l8n1n4_d1d2,10.0,8.602,1.25,112,14,2105,5461,43,19,36,19,16x32,4x32
io4_l2n1p1_l5n1p1_l8n1p1,10.0,8.419,1.25,56,5,1197,2850,38,22,34,22,16x32,4x32
io4_l2n1p1_l5n1p1_l8n1p1_d1d2,10.0,8.419,1.25,112,5,1463,5147,39,22,35,22,16x32,4x32
io4_l2n1p1_l5n1p1_l8n1p2,10.0,8.419,1.25,56,5,1325,3002,41,26,35,26,16x32,4x32
io4_l2n1p1_l5n1p1_l8n1p2_d1d2,10.0,8.419,1.25,112,5,1591,5343,41,25,35,25,16x32,4x32
io4_l2n1p1_l5n1p1_l8n1p4,10.0,8.858,1.25,56,5,1530,3144,47,25,37,25,16x32,4x32
io4_l2n1p1_l5n1p1_l8n1p4_d1d2,10.0,8.858,1.25,112,5,1785,5357,45,22,35,22,16x32,4x32
io4_l2n1p1_l5n1p1_l8p1n1,10.0,8.945,1.25,56,11,2160,7181,181,48,53,48,16x32,4x32
io4_l2n1p1_l5n1p1_l8p1n1_d1d2,10.0,9.206,1.25,112,14,2459,10323,168,48,41,48,16x32,4x32
io4_l2n1p1_l5n1p1_l8p2n1,10.0,9.392,1.25,56,8,6845,8744,309,51,52,51,16x32,4x32
io4_l2n1p1_l5n1p1_l8p2n1_d1d2,10.0,9.322,1.25,120,26,8377,13144,296,51,45,51,16x32,4x32
io4_l2n1p1_l5n1p1_l8p4n1,10.0,9.229,1.25,56,40,28748,17141,565,48,65,48,16x32,4x32
io4_l2n1p1_l5n1p1_l8p4n1_d1d2,10.0,9.206,1.25,144,80,40784,25780,552,48,68,48,16x32,4x32
io4_l2n1p2_l5n1p2_l8n1n1,10.0,8.847,1.25,56,5,1322,2931,42,27,34,27,16x32,4x32
io4_l2n1p2_l5n1p2_l8n1n1_d1d2,10.0,8.847,1.25,112,5,1586,6252,41,25,33,25,16x32,4x32
io4_l2n1p2_l5n1p2_l8n1n2,10.0,8.847,1.25,56,8,1546,3175,44,31,35,31,16x32,4x32
io4_l2n1p2_l5n1p2_l8n1n2_d1d2,10.0,8.847,1.25,112,8,1807,5551,43,28,34,28,16x32,4x32
io4_l2n1p2_l5n1p2_l8n1n4,10.0,8.881,1.25,56,8,1705,3258,49,30,36,30,16x32,4x32
io4_l2n1p2_l5n1p2_l8n1n4_d1d2,10.0,8.847,1.25,112,14,2265,5817,47,25,36,25,16x32,4x32
io4_l2n1p2_l5n1p2_l8n1p1,10.0,8.847,1.25,56,5,1389,3133,44,30,36,30,16x32,4x32
io4_l2n1p2_l5n1p2_l8n1p1_d1d2,10.0,8.847,1.25,112,5,1655,5518,43,28,35,28,16x32,4x32
io4_l2n1p2_l5n1p2_l8n1p2,10.0,8.858,1.25,56,5,1453,3262,47,34,37,34,16x32,4x32
io4_l2n1p2_l5n1p2_l8n1p2_d1d2,10.0,8.858,1.25,112,5,1719,5691,45,31,35,31,16x32,4x32
io4_l2n1p2_l5n1p2_l8n1p4,10.0,8.419,1.25,56,5,1658,3394,53,33,39,33,16x32,4x32
io4_l2n1p2_l5n1p2_l8n1p4_d1d2,10.0,8.419,1.25,112,5,1913,5695,49,28,35,28,16x32,4x32
io4_l2n1p2_l5n1p2_l8p1n1,10.0,9.298,1.25,56,11,2288,7433,187,56,55,56,16x32,4x32
io4_l2n1p2_l5n1p2_l8p1n1_d1d2,10.0,9.229,1.25,112,14,2619,10679,172,54,41,54,16x32,4x32
io4_l2n1p2_l5n1p2_l8p2n1,10.0,9.415,1.25,56,8,6973,8964,315,59,54,59,16x32,4x32
io4_l2n1p2_l5n1p2_l8p2n1_d1d2,10.0,9.344,1.25,120,26,8505,13452,300,57,45,57,16x32,4x32
io4_l2n1p2_l5n1p2_l8p4n1,10.0,9.251,1.25,56,40,28883,17398,571,56,67,56,16x32,4x32
io4_l2n1p2_l5n1p2_l8p4n1_d1d2,10.0,9.229,1.25,144,80,40912,26118,556,54,68,54,16x32,4x32
io4_l2n1p4_l5n1p4_l8n1n1,10.0,8.419,1.25,56,5,1668,3187,54,25,38,25,16x32,4x32
io4_l2n1p4_l5n1p4_l8n1n1_d1d2,10.0,8.419,1.25,112,5,1910,6444,49,19,33,19,16x32,4x32
io4_l2n1p4_l5n1p4_l8n1n2,10.0,8.46,1.25,56,8,1892,3431,56,29,39,29,16x32,4x32
io4_l2n1p4_l5n1p4_l8n1n2_d1d2,10.0,8.557,1.25,112,8,2131,5551,51,22,34,22,16x32,4x32
io4_l2n1p4_l5n1p4_l8n1n4,10.0,8.824,1.25,56,8,2019,3504,61,28,40,28,16x32,4x32
io4_l2n1p4_l5n1p4_l8n1n4_d1d2,10.0,8.579,1.25,112,14,2589,5813,55,19,36,19,16x32,4x32
io4_l2n1p4_l5n1p4_l8n1p1,10.0,8.419,1.25,56,5,1735,3389,56,28,40,28,16x32,4x32
io4_l2n1p4_l5n1p4_l8n1p1_d1d2,10.0,8.419,1.25,112,5,1979,5518,51,22,35,22,16x32,4x32
io4_l2n1p4_l5n1p4_l8n1p2,10.0,8.813,1.25,56,5,1799,3514,59,32,41,32,16x32,4x32
io4_l2n1p4_l5n1p4_l8n1p2_d1d2,10.0,8.813,1.25,112,5,2043,5687,53,25,35,25,16x32,4x32
io4_l2n1p4_l5n1p4_l8n1p4,10.0,8.835,1.25,56,5,1940,3634,65,31,43,31,16x32,4x32
io4_l2n1p4_l5n1p4_l8n1p4_d1d2,10.0,8.835,1.25,112,5,2173,5679,57,22,35,22,16x32,4x32
io4_l2n1p4_l5n1p4_l8p1n1,10.0,9.343,1.25,56,11,2624,7684,199,54,59,54,16x32,4x32
io4_l2n1p4_l5n1p4_l8p1n1_d1d2,10.0,8.824,1.25,112,14,2943,10675,180,48,41,48,16x32,4x32
io4_l2n1p4_l5n1p4_l8p2n1,10.0,9.022,1.25,56,8,7245,9144,327,57,58,57,16x32,4x32
io4_l2n1p4_l5n1p4_l8p2n1_d1d2,10.0,8.952,1.25,120,26,8765,13376,308,51,45,51,16x32,4x32
io4_l2n1p4_l5n1p4_l8p4n1,10.0,8.847,1.25,56,40,29165,17658,583,54,71,54,16x32,4x32
io4_l2n1p4_l5n1p4_l8p4n1_d1d2,10.0,8.824,1.25,144,80,41172,26148,564,48,68,48,16x32,4x32
io4_l2p1n1_l5p1n1_l8n1n1,10.0,9.496,1.25,56,11,2652,10767,322,71,68,71,16x32,4x32
io4_l2p1n1_l5p1n1_l8n1n1_d1d2,10.0,9.286,1.25,176,26,4026,17570,295,71,46,71,16x32,4x32
io4_l2p1n1_l5p1n1_l8n1n2,10.0,9.496,1.25,56,11,2716,10866,324,75,68,75,16x32,4x32
io4_l2p1n1_l5p1n1_l8n1n2_d1d2,10.0,9.286,1.25,176,26,4087,15764,297,74,46,74,16x32,4x32
io4_l2p1n1_l5p1n1_l8n1n4,10.0,9.531,1.25,56,11,2875,10913,329,74,69,74,16x32,4x32
io4_l2p1n1_l5p1n1_l8n1n4_d1d2,10.0,9.286,1.25,176,26,4225,15740,301,71,46,71,16x32,4x32
io4_l2p1n1_l5p1n1_l8n1p1,10.0,9.496,1.25,56,11,2719,10985,324,74,70,74,16x32,4x32
io4_l2p1n1_l5p1n1_l8n1p1_d1d2,10.0,9.286,1.25,176,26,4095,15892,297,74,48,74,16x32,4x32
io4_l2p1n1_l5p1n1_l8n1p2,10.0,9.508,1.25,56,11,2783,11094,327,78,71,78,16x32,4x32
io4_l2p1n1_l5p1n1_l8n1p2_d1d2,10.0,9.263,1.25,176,26,4191,16054,299,77,48,77,16x32,4x32
io4_l2p1n1_l5p1n1_l8n1p4,10.0,9.155,1.25,56,11,2988,11193,333,77,73,77,16x32,4x32
io4_l2p1n1_l5p1n1_l8n1p4_d1d2,10.0,9.263,1.25,176,26,4385,16030,303,74,48,74,16x32,4x32
io4_l2p1n1_l5p1n1_l8p1n1,10.0,9.615,1.25,56,11,3288,13879,467,100,87,100,16x32,4x32
io4_l2p1n1_l5p1n1_l8p1n1_d1d2,10.0,9.274,1.25,208,26,4835,19578,426,100,51,100,16x32,4x32
io4_l2p1n1_l5p1n1_l8p2n1,10.0,9.711,1.25,56,11,8133,14615,595,103,87,103,16x32,4x32
io4_l2p1n1_l5p1n1_l8p2n1_d1d2,10.0,9.437,1.25,184,26,9857,20730,554,103,51,103,16x32,4x32
io4_l2p1n1_l5p1n1_l8p4n1,10.0,9.564,1.25,56,40,29893,24844,851,100,99,100,16x32,4x32
io4_l2p1n1_l5p1n1_l8p4n1_d1d2,10.0,9.285,1.25,208,80,42264,35372,810,100,74,100,16x32,4x32
io4_l2p2n1_l5p2n1_l8n1n1,10.0,9.239,1.25,56,8,10454,12000,578,77,67,77,16x32,4x32
io4_l2p2n1_l5p2n1_l8n1n1_d1d2,10.0,9.13,1.25,128,26,12290,18693,551,77,46,77,16x32,4x32
io4_l2p2n1_l5p2n1_l8n1n2,10.0,9.484,1.25,56,8,10518,12094,580,81,67,81,16x32,4x32
io4_l2p2n1_l5p2n1_l8n1n2_d1d2,10.0,9.524,1.25,128,26,12351,17938,553,80,46,80,16x32,4x32
io4_l2p2n1_l5p2n1_l8n1n4,10.0,9.644,1.25,56,8,10645,12137,585,80,68,80,16x32,4x32
io4_l2p2n1_l5p2n1_l8n1n4_d1d2,10.0,9.546,1.25,128,26,12499,17904,557,77,46,77,16x32,4x32
io4_l2p2n1_l5p2n1_l8n1p1,10.0,9.239,1.25,56,8,10521,12218,580,80,69,80,16x32,4x32
