design_id,dataset_name,latency_average_cycles,resources_lut_used,resources_ff_used,resources_bram_used,resources_dsp_used,PC_0,PC_1
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-32.__PARA__L5-32.__PIPE__L0-off.__PIPE__L1-NA.__PIPE__L2-NA.__PIPE__L3-NA.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-80,hlsyn,253171.0,7874.0,2799.0,22.0,49.0,-2.488508,-4.061285
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-32.__PARA__L5-32.__PIPE__L0-off.__PIPE__L1-NA.__PIPE__L2-off.__PIPE__L3-NA.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-80,hlsyn,253171.0,7874.0,2799.0,22.0,49.0,-2.508699,-4.0788355
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-32.__PARA__L5-50.__PIPE__L0-off.__PIPE__L1-NA.__PIPE__L2-off.__PIPE__L3-off.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-80,hlsyn,253171.0,9835.0,4100.0,22.0,49.0,-2.602254,-3.9100556
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-4.__PARA__L5-1.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-off.__PIPE__L3-flatten.__TILE__L0-40.__TILE__L1-1.__TILE__L2-1.__TILE__L3-80,hlsyn,150194.0,8200.0,4063.0,5.0,46.0,-4.936385,-3.3665197
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-7.__PARA__L5-1.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-off.__PIPE__L3-off.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,348769.0,582.0,260.0,11.0,3.0,-1.6900175,-7.244427
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-7.__PARA__L5-10.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-off.__PIPE__L3-off.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,251966.0,1924.0,370.0,8.0,3.0,-3.252457,-7.627943
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-7.__PARA__L5-16.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-off.__PIPE__L3-off.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,315966.0,3120.0,460.0,8.0,4.0,-2.1876843,-7.554185
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-7.__PARA__L5-2.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-off.__PIPE__L3-off.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,284769.0,612.0,264.0,12.0,3.0,-2.0763912,-7.175226
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-7.__PARA__L5-25.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-off.__PIPE__L3-off.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,255166.0,5938.0,1282.0,8.0,12.0,-2.9404697,-7.1252666
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-7.__PARA__L5-32.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-off.__PIPE__L3-off.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,207182.0,2276.0,1069.0,8.0,1.0,-3.828696,-7.3335576
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-7.__PARA__L5-4.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-off.__PIPE__L3-off.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,316769.0,693.0,291.0,16.0,3.0,-1.7804008,-6.729567
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-7.__PARA__L5-5.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-off.__PIPE__L3-off.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,255969.0,704.0,289.0,17.0,3.0,-2.264792,-6.0974746
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-7.__PARA__L5-50.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-off.__PIPE__L3-off.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,207182.0,3388.0,1253.0,8.0,1.0,-3.798771,-7.200225
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-7.__PARA__L5-8.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-off.__PIPE__L3-off.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,313569.0,1223.0,318.0,23.0,3.0,-1.4312384,-5.1020694
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-70.__PARA__L5-32.__PIPE__L0-off.__PIPE__L1-NA.__PIPE__L2-NA.__PIPE__L3-NA.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-8,hlsyn,2146884.0,99620.0,56160.0,2.0,143.0,9.316147,-0.034864314
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-70.__PARA__L5-32.__PIPE__L0-off.__PIPE__L1-NA.__PIPE__L2-off.__PIPE__L3-NA.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-8,hlsyn,2090319.0,190259.0,325875.0,2.0,1850.0,1.2821108,8.749596
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-70.__PARA__L5-50.__PIPE__L0-off.__PIPE__L1-NA.__PIPE__L2-NA.__PIPE__L3-NA.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-8,hlsyn,2307204.0,309175.0,127746.0,2.0,182.0,9.339331,1.1478297
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-70.__PARA__L5-50.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-NA.__PIPE__L3-NA.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,60716.0,703067.0,692079.0,13.0,1272.0,1.6827284,8.810995
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-70.__PARA__L5-50.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-NA.__PIPE__L3-NA.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-80,hlsyn,60716.0,703067.0,692079.0,13.0,1272.0,1.6650833,8.74164
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-70.__PARA__L5-50.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-NA.__PIPE__L3-off.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,128211.0,585227.0,459175.0,5.0,1272.0,1.5623162,8.79573
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-1.__PARA__L4-8.__PARA__L5-1.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-off.__PIPE__L3-flatten.__TILE__L0-40.__TILE__L1-1.__TILE__L2-1.__TILE__L3-80,hlsyn,138192.0,8507.0,4123.0,8.0,46.0,-4.6242065,-3.1346533
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-10.__PARA__L4-1.__PARA__L5-1.__PIPE__L0-off.__PIPE__L1-NA.__PIPE__L2-flatten.__PIPE__L3-off.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,2039516.0,15129.0,9359.0,4.0,303.0,8.836482,-0.9955304
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-10.__PARA__L4-1.__PARA__L5-1.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-flatten.__PIPE__L3-off.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,16060727.0,54346.0,15502.0,78.0,303.0,10.524599,2.5357876
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-16.__PARA__L4-1.__PARA__L5-1.__PIPE__L0-off.__PIPE__L1-NA.__PIPE__L2-flatten.__PIPE__L3-off.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,1993190.0,17622.0,11656.0,4.0,332.0,8.75595,-0.8527543
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-16.__PARA__L4-1.__PARA__L5-1.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-flatten.__PIPE__L3-off.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,17980687.0,63199.0,16620.0,177.0,332.0,10.502586,2.5415862
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-2.__PARA__L4-1.__PARA__L5-1.__PIPE__L0-off.__PIPE__L1-NA.__PIPE__L2-flatten.__PIPE__L3-flatten.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,15081.0,28050.0,15597.0,5.0,284.0,-4.0603657,3.6711376
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-2.__PARA__L4-1.__PARA__L5-1.__PIPE__L0-off.__PIPE__L1-NA.__PIPE__L2-off.__PIPE__L3-flatten.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,192720.0,20553.0,9371.0,5.0,179.0,-3.9253516,2.9030528
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-2.__PARA__L4-1.__PARA__L5-1.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-NA.__PIPE__L3-flatten.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,192720.0,20553.0,9371.0,5.0,179.0,-3.9132931,2.9339123
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-2.__PARA__L4-1.__PARA__L5-1.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-flatten.__PIPE__L3-flatten.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,15081.0,28049.0,15597.0,5.0,284.0,-4.1091294,3.6082652
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-2.__PARA__L4-1.__PARA__L5-1.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-flatten.__PIPE__L3-flatten.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-2,hlsyn,241040.0,164214.0,77352.0,2.0,904.0,-1.8768628,7.5249047
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-2.__PARA__L4-1.__PARA__L5-1.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-flatten.__PIPE__L3-flatten.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-8,hlsyn,1293047.0,88295.0,42395.0,2.0,857.0,-2.3760552,6.9147034
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-2.__PARA__L4-1.__PARA__L5-1.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-off.__PIPE__L3-flatten.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,192720.0,20553.0,9371.0,5.0,179.0,-3.9578846,2.960644
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-2.__PARA__L4-1.__PARA__L5-1.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-off.__PIPE__L3-flatten.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-2,hlsyn,241040.0,107684.0,40406.0,2.0,204.0,-2.4010723,3.353843
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-2.__PARA__L4-1.__PARA__L5-1.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-off.__PIPE__L3-flatten.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-8,hlsyn,1474687.0,48429.0,16575.0,2.0,182.0,8.71135,-0.60062724
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-2.__PARA__L4-1.__PARA__L5-32.__PIPE__L0-off.__PIPE__L1-NA.__PIPE__L2-flatten.__PIPE__L3-NA.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,3900304.0,24799.0,25288.0,3.0,287.0,9.938448,-0.15789145
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-2.__PARA__L4-1.__PARA__L5-32.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-flatten.__PIPE__L3-off.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,13499531.0,57378.0,16292.0,55.0,287.0,10.432061,2.500602
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-2.__PARA__L4-1.__PARA__L5-4.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-NA.__PIPE__L3-off.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,13681007.0,23332.0,1287.0,9.0,1.0,10.526201,2.4829133
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-2.__PARA__L4-1.__PARA__L5-4.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-flatten.__PIPE__L3-off.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,13499051.0,52145.0,12697.0,9.0,278.0,10.424997,2.4844184
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-2.__PARA__L4-1.__PARA__L5-4.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-off.__PIPE__L3-off.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,13681007.0,23332.0,1287.0,9.0,1.0,10.433011,2.4650896
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-2.__PARA__L4-1.__PARA__L5-50.__PIPE__L0-off.__PIPE__L1-NA.__PIPE__L2-flatten.__PIPE__L3-NA.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,15081.0,28049.0,15597.0,5.0,284.0,-4.02555,3.6294272
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-2.__PARA__L4-1.__PARA__L5-50.__PIPE__L0-off.__PIPE__L1-NA.__PIPE__L2-flatten.__PIPE__L3-off.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,15081.0,28049.0,15597.0,5.0,284.0,-4.054804,3.592972
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-2.__PARA__L4-1.__PARA__L5-50.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-NA.__PIPE__L3-NA.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-8,hlsyn,1474687.0,48429.0,16575.0,2.0,182.0,8.658291,-0.6179374
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-2.__PARA__L4-1.__PARA__L5-50.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-flatten.__PIPE__L3-NA.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-1,hlsyn,15081.0,28049.0,15597.0,5.0,284.0,-4.0370393,3.599073
2mm.__PARA__L0-1.__PARA__L1-1.__PARA__L2-1.__PARA__L3-2.__PARA__L4-1.__PARA__L5-50.__PIPE__L0-off.__PIPE__L1-off.__PIPE__L2-flatten.__PIPE__L3-NA.__TILE__L0-1.__TILE__L1-1.__TILE__L2-1.__TILE__L3-4,hlsyn,2092087.0,88287.0,42386.0,2.0,857.0,-2.2164495,6.3543515
