name_unique,dataset_name,name,part,target_clock_period,version_vitis_hls,version_vivado,clock_period,latency_best_cycles,latency_best_seconds,latency_average_cycles,latency_average_seconds,latency_worst_cycles,latency_worst_seconds,resources_lut_used,resources_ff_used,resources_dsp_used,resources_bram_used,resources_uram_used
atax_opt_62600ffc0f24c6bdc213aae536a9adac,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.114e-09,42571.0,0.000302850094,42571.0,0.000302850094,42571.0,0.000302850094,3682,2470,5,8,0
atax_opt_652b8d2085461a5b55c7ab5e944cafe3,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.114e-09,30732.0,0.000218627448,30732.0,0.000218627448,30732.0,0.000218627448,2389,1880,5,8,0
atax_opt_75c18ef7d389fc7c4ef30235ce3ee378,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,4904.0,3.4406464000000005e-05,4904.0,3.4406464000000005e-05,4904.0,3.4406464000000005e-05,22626,34783,160,132,0
atax_opt_7934ba5a8db2609e7855e601a7e28d9d,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.114e-09,30732.0,0.000218627448,30732.0,0.000218627448,30732.0,0.000218627448,2377,1682,5,8,0
atax_opt_8121b6d23ca3425f1fd0115a04fc62dc,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.2720000000000005e-09,4833.0,3.5145576000000006e-05,4833.0,3.5145576000000006e-05,4833.0,3.5145576000000006e-05,44740,69385,320,132,0
atax_opt_81d0e75bb4f451acf22841b56771146e,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,6952.0,4.8775232e-05,6952.0,4.8775232e-05,6952.0,4.8775232e-05,23008,35262,160,132,0
atax_opt_88e6e4bd889f40519ff19bfa14e9b8c5,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.114e-09,30284.0,0.000215440376,30284.0,0.000215440376,30284.0,0.000215440376,3527,2347,5,8,0
atax_opt_a4c5d45e2b8ef9a2b3253f6111c77c9f,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,47901.0,0.000336073416,47901.0,0.000336073416,47901.0,0.000336073416,9952,11432,104,138,0
atax_opt_b4730f48de62633d36a60f3356ca3e62,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.2720000000000005e-09,21840.0,0.00015882048,21840.0,0.00015882048,21840.0,0.00015882048,28024,40105,80,8,0
atax_opt_c9090b42473610713bfd42e18fa9198b,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,18328.0,0.000128589248,18328.0,0.000128589248,18328.0,0.000128589248,12904,18427,80,16,0
atax_opt_cd53ec28cbe21869cb5bd96ea640ad55,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.2720000000000005e-09,14296.0,0.000103960512,14296.0,0.000103960512,14296.0,0.000103960512,14732,21749,80,32,0
atax_opt_d05a00db8adda49bfea1c05de45c49fc,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,21586.0,0.00015144737600000002,21586.0,0.00015144737600000002,21586.0,0.00015144737600000002,1563,1263,5,12,0
atax_opt_d28dd4caa1d027e981543a8edb201f2a,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.114e-09,5830.0,4.147462e-05,5830.0,4.147462e-05,5830.0,4.147462e-05,110630,128766,1280,2,0
atax_opt_d299b7c5c424df8171ac254574193505,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.114e-09,13542.0,9.6337788e-05,13542.0,9.6337788e-05,13542.0,9.6337788e-05,103967,136782,1280,480,0
atax_opt_d4bc95179cc225fcb6064586a131ff45,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.114e-09,18512.0,0.000131694368,18512.0,0.000131694368,18512.0,0.000131694368,6025,5977,40,8,0
atax_opt_e0ed5fc4962f393b201e18aa99941c8b,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,19760.0,0.00013863616000000002,19760.0,0.00013863616000000002,19760.0,0.00013863616000000002,12154,17582,80,66,0
atax_opt_e672ea940b31562daa942581a6f1b066,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.331000000000001e-09,21577.0,0.00015818098700000002,21577.0,0.00015818098700000002,21577.0,0.00015818098700000002,3713,3683,10,12,0
atax_opt_f825c93d50cc23cccea05f71d8c3e1d1,polybench_xilinx_post_frontend,atax,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,10021.0,7.0307336e-05,10021.0,7.0307336e-05,10021.0,7.0307336e-05,22718,34785,160,132,0
bicg_opt_0527b5814db4dda9489d32c143315bf8,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.114e-09,30731.0,0.000218620334,30731.0,0.000218620334,30731.0,0.000218620334,2561,1905,5,8,0
bicg_opt_079abba313e9b190381d396e87f45dc4,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,19759.0,0.00013862914400000002,19759.0,0.00013862914400000002,19759.0,0.00013862914400000002,11853,17040,80,66,0
bicg_opt_1530ad63fffeef99779d7424ba5c26e3,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.2720000000000005e-09,18263.0,0.00013280853600000002,18263.0,0.00013280853600000002,18263.0,0.00013280853600000002,15179,22357,80,32,0
bicg_opt_19c3258dc81c02daf562a8b5fb75b7f4,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,19759.0,0.00013862914400000002,19759.0,0.00013862914400000002,19759.0,0.00013862914400000002,12238,17613,80,68,0
bicg_opt_21333135faed33cc52aaa6ff0477b90f,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.2720000000000005e-09,17480.0,0.00012711456000000002,17480.0,0.00012711456000000002,17480.0,0.00012711456000000002,4423,4851,18,18,0
bicg_opt_257a48fd90b305c8bcb038c037bb25a1,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.114e-09,6853.0,4.8752242e-05,6853.0,4.8752242e-05,6853.0,4.8752242e-05,108029,128375,1280,7,0
bicg_opt_26157cc3189f4b9c7a51e9058546dc27,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.114e-09,7414.0,5.2743196e-05,7414.0,5.2743196e-05,7414.0,5.2743196e-05,54049,71859,640,240,0
bicg_opt_29212e51635cff587464a0ac288df03d,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,23568.0,0.000165353088,23568.0,0.000165353088,23568.0,0.000165353088,2053,1857,10,18,0
bicg_opt_40095e42d87d8883d0cf5083251b9caf,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.114e-09,19471.0,0.000138516694,19471.0,0.000138516694,19471.0,0.000138516694,3612,3478,20,8,0
bicg_opt_462f84009d945fb2df0dda20da32894e,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,25619.0,0.000179742904,25619.0,0.000179742904,25619.0,0.000179742904,1833,1680,5,16,0
bicg_opt_4b385579f12d8be55016a2b31299277e,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,9078.0,6.369124800000001e-05,9078.0,6.369124800000001e-05,9078.0,6.369124800000001e-05,12548,18559,80,127,0
bicg_opt_5334546da9e231f1c47cd6e7e43c5ab5,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.114e-09,43018.0,0.000306030052,43018.0,0.000306030052,43018.0,0.000306030052,2539,1810,5,8,0
bicg_opt_53e94272afde646eacc3a057d651d062,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,19759.0,0.00013862914400000002,19759.0,0.00013862914400000002,19759.0,0.00013862914400000002,11982,17240,80,68,0
bicg_opt_545a3e9fcfb12dea3e859e933cbaf863,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.2720000000000005e-09,19508.0,0.000141862176,19508.0,0.000141862176,19508.0,0.000141862176,20875,26079,134,142,0
bicg_opt_55f1fc008f5189a375b50b075abad086,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.114e-09,30283.0,0.000215433262,30283.0,0.000215433262,30283.0,0.000215433262,3906,3391,5,8,0
bicg_opt_63e30c5acbc0bcd07eba24beaff34784,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.114e-09,21006.0,0.000149436684,21006.0,0.000149436684,21006.0,0.000149436684,3796,3867,14,8,0
bicg_opt_69b86c6bd9f84865768fdd9f6b1ebf15,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.331000000000001e-09,3042.0,2.2300902000000004e-05,3042.0,2.2300902000000004e-05,3042.0,2.2300902000000004e-05,74737,104198,640,256,0
bicg_opt_6ac8f84e6ec9bf8a2b98186bc4a96197,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,21711.0,0.000152324376,21711.0,0.000152324376,21711.0,0.000152324376,17644,19539,110,70,0
bicg_opt_87c03916d4fcdc31144ab11e4222912f,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.114e-09,38986.0,0.000277346404,38986.0,0.000277346404,38986.0,0.000277346404,2453,1680,5,8,0
bicg_opt_88fc7f0d4beede47b7f9ed258def3e1a,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.114e-09,5084.0,3.6167576000000004e-05,5084.0,3.6167576000000004e-05,5084.0,3.6167576000000004e-05,232253,293677,2560,5,0
bicg_opt_8a549ba5df3e4c4a36fcc178e38a7a4b,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,26637.0,0.00018688519200000002,26637.0,0.00018688519200000002,26637.0,0.00018688519200000002,2088,1604,7,20,0
bicg_opt_94c81d84290196b63d1fa294794eb12b,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.114e-09,25827.0,0.000183733278,25827.0,0.000183733278,25827.0,0.000183733278,104181,137441,1280,480,0
bicg_opt_9a3ee5c2adaec53c3f2529448ce9374a,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,23568.0,0.000165353088,23568.0,0.000165353088,23568.0,0.000165353088,2284,2178,10,16,0
bicg_opt_9dde8a5377a14bb7bdf20b185a7bd656,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.2720000000000005e-09,1516.0,1.1024352000000001e-05,1516.0,1.1024352000000001e-05,1516.0,1.1024352000000001e-05,111163,151718,1280,480,0
bicg_opt_b2f84b33834115edbe044fb83e672c12,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.2720000000000005e-09,21839.0,0.000158813208,21839.0,0.000158813208,21839.0,0.000158813208,30217,40292,80,11,0
bicg_opt_ba24811d4dcfa1b6b10e966873dc18b3,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,25552.0,0.00017927283200000002,25552.0,0.00017927283200000002,25552.0,0.00017927283200000002,1442,1028,5,14,0
bicg_opt_d084211d0602d00807efacfd5d20e958,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.114e-09,30283.0,0.000215433262,30283.0,0.000215433262,30283.0,0.000215433262,3852,2826,5,8,0
bicg_opt_e1401f5f21c886cc4f1facb14f7fb938,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,6950.0,4.87612e-05,6950.0,4.87612e-05,6950.0,4.87612e-05,23069,35292,160,136,0
bicg_opt_e26a6ebac84d7b9e5bd49aa4a3c96db2,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.114e-09,14479.0,0.000103003606,14479.0,0.000103003606,14479.0,0.000103003606,6218,6326,40,8,0
bicg_opt_e4bd994259bf375141346aa68d544ecb,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.114e-09,20109.0,0.000143055426,20109.0,0.000143055426,20109.0,0.000143055426,3901,2890,5,8,0
bicg_opt_e63082810872cf431a52c4516d440aaf,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.114e-09,5380.0,3.827332e-05,5380.0,3.827332e-05,5380.0,3.827332e-05,115191,129542,1280,3,0
bicg_opt_fd218319263107ed813ab3119ee7bb85,polybench_xilinx_post_frontend,bicg,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.331000000000001e-09,21576.0,0.00015817365600000004,21576.0,0.00015817365600000004,21576.0,0.00015817365600000004,3756,3682,10,13,0
gemm_opt_005cf8bb045a4fb3c76a388b9dd58a67,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gemm_opt_033c4730614699c752ef07c66d3ee372,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gemm_opt_034f5ef438aa4edab7722fc5107e5e66,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gemm_opt_150fca79959f0434ec99af23839efdb8,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gemm_opt_1661f944d8d9c440a894dcbff70e87c4,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gemm_opt_2d2aae32028e15dec07ba7460d8c439d,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gemm_opt_2f61dc2bb6708fc5014f9dad4c05161b,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gemm_opt_2f8f09cb2a0e13ac7432dd649da81362,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gemm_opt_3021f75d79a336c552d9c1e7485f5f94,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gemm_opt_470eb9169366e5fca725f59f47374f8a,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gemm_opt_51fc7fb48a3381cfe66e2709e6125930,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gemm_opt_5221d480c434e2e36e79e2823a8a357b,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gemm_opt_63a60abcf5699d658eee3fa893c1e7d0,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gemm_opt_64b43800695a6e3cb0b61248be5ac204,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gemm_opt_6ee5fe841266247916bc4bfa33a0222d,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gemm_opt_790a0914c0a98712470334fa07fbee4f,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gemm_opt_8dcaed9b54a767205092ebb43a6039e6,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gemm_opt_93a37bec87aaa28fb398511546ccc266,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gemm_opt_94b3d262c37c6601797a5528790ea862,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gemm_opt_9e4db76ce30803d5554fe31d7bc363ae,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gemm_opt_a1cdf3c428b089fa59f6187e232f24fa,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gemm_opt_a2d61a52ea12f34b39bedd675a0f2554,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gemm_opt_ac139bcfefc71f7366683503e6faa76f,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gemm_opt_ac4d026df24a55625bdb482ee3c2debf,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gemm_opt_b366ef3d01f72f93a92d2761e4e8911c,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gemm_opt_c48ef8572ee6a732b36287f95168d995,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gemm_opt_c71f81640b2f8c41c15387d3c0414103,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gemm_opt_d2d1b565c965b86f11076cea6d3f390a,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gemm_opt_eae1e8e2bb1d5d5d3884ccd2e265e635,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gemm_opt_f18c8fd55a4998fa5915246f97e9e74c,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gemm_opt_f4a2e9d7a8efe5fc26eb8dc4e88d56fb,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gemm_opt_f8555a9a0b7becf7747a657dc222fb89,polybench_xilinx_post_frontend,gemm,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,28958.0,0.00020316932800000002,16366,22844,128,256,0
gesummv_opt_00934c7466047a461c597102e2e1212c,polybench_xilinx_post_frontend,gesummv,xczu9eg-ffvb1156-2-i,10.0,2023.1.1,,7.016000000000001e-09,38991.0,0.000273560856,38991.0,0.000273560856,38991.0,0.000273560856,1987,1704,5,23,0
