prj,clk_target(ns),clk_estimated(ns),clk_uncertainty(ns),bram,dsp,ff,lutc_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits)
io2_l2p1n1_l4n1n2_d1d2,10.0,9.451,1.25,32,176,17259,20353,213,109,76,109,6x32,2x32
io2_l2p1n1_l4n1p1,10.0,9.263,1.25,32,152,11302,13510,211,104,68,104,6x32,2x32
io2_l2p1n1_l4n1p1_d1d2,10.0,9.058,1.25,32,176,17273,20482,212,114,77,114,6x32,2x32
io2_l2p1n1_l4n1p2,10.0,9.263,1.25,32,154,11742,13742,213,104,69,104,6x32,2x32
io2_l2p1n1_l4n1p2_d1d2,10.0,9.058,1.25,32,178,17851,20813,214,109,78,109,6x32,2x32
io2_l2p1n1_l4p1n1,10.0,9.309,1.25,32,184,17667,17150,334,134,76,134,6x32,2x32
io2_l2p1n1_l4p1n1_d1d2,10.0,9.543,1.25,32,24,13472,17280,335,139,24,139,6x32,2x32
io2_l2p1n1_l4p2n1,10.0,9.437,1.25,32,121,17440,16613,462,166,55,166,6x32,2x32
io2_l2p1n1_l4p2n1_d1d2,10.0,9.332,1.25,32,104,22129,20947,463,139,51,139,6x32,2x32
io2_l2p2n1_l4n1n1,10.0,8.835,1.25,32,26,15729,12030,338,136,26,136,6x32,2x32
io2_l2p2n1_l4n1n1_d1d2,10.0,8.966,1.25,32,52,20569,17690,339,109,37,109,6x32,2x32
io2_l2p2n1_l4n1n2,10.0,8.835,1.25,32,26,15760,11980,340,136,26,136,6x32,2x32
io2_l2p2n1_l4n1n2_d1d2,10.0,9.206,1.25,32,52,20616,17651,341,104,37,104,6x32,2x32
io2_l2p2n1_l4n1p1,10.0,8.835,1.25,32,26,15771,12111,339,136,27,136,6x32,2x32
io2_l2p2n1_l4n1p1_d1d2,10.0,8.966,1.25,32,52,20630,17781,340,109,38,109,6x32,2x32
io2_l2p2n1_l4n1p2,10.0,8.835,1.25,32,26,15952,12129,341,136,27,136,6x32,2x32
io2_l2p2n1_l4n1p2_d1d2,10.0,8.813,1.25,32,52,20981,17893,342,104,38,104,6x32,2x32
io2_l2p2n1_l4p1n1,10.0,8.905,1.25,32,26,19420,14077,462,166,24,166,6x32,2x32
io2_l2p2n1_l4p1n1_d1d2,10.0,8.835,1.25,32,52,23607,20824,463,134,35,134,6x32,2x32
io2_l2p2n1_l4p2n1,10.0,8.999,1.25,32,26,22841,16146,590,198,24,198,6x32,2x32
io2_l2p2n1_l4p2n1_d1d2,10.0,8.858,1.25,32,52,28197,20801,591,134,35,134,6x32,2x32
io4_l2n1n1_l4n1n1,10.0,8.419,1.25,32,5,776,1756,25,16,22,16,10x32,4x32
io4_l2n1n1_l4n1n1_d1d2,10.0,8.419,1.25,64,5,972,3397,26,16,23,16,10x32,4x32
io4_l2n1n1_l4n1n2,10.0,8.419,1.25,32,5,828,1908,27,19,22,19,10x32,4x32
io4_l2n1n1_l4n1n2_d1d2,10.0,8.419,1.25,64,5,1008,3537,28,19,23,19,10x32,4x32
io4_l2n1n1_l4n1n4,10.0,8.419,1.25,32,20,2029,2787,31,16,28,16,10x32,4x32
io4_l2n1n1_l4n1n4_d1d2,10.0,8.858,1.25,64,5,1142,3114,32,16,23,16,10x32,4x32
io4_l2n1n1_l4n1p1,10.0,8.419,1.25,32,5,837,1851,26,16,23,16,10x32,4x32
io4_l2n1n1_l4n1p1_d1d2,10.0,8.419,1.25,64,5,997,3468,27,16,24,16,10x32,4x32
io4_l2n1n1_l4n1p2,10.0,8.419,1.25,32,5,899,1989,28,19,23,19,10x32,4x32
io4_l2n1n1_l4n1p2_d1d2,10.0,8.419,1.25,64,5,1064,3642,29,19,24,19,10x32,4x32
io4_l2n1n1_l4n1p4,10.0,8.419,1.25,32,20,2348,3011,32,16,29,16,10x32,4x32
io4_l2n1n1_l4n1p4_d1d2,10.0,8.419,1.25,80,20,3506,5568,33,16,30,16,10x32,4x32
io4_l2n1n1_l4p1n1,10.0,9.206,1.25,32,20,7147,4783,149,30,26,30,10x32,4x32
io4_l2n1n1_l4p1n1_d1d2,10.0,8.813,1.25,96,40,7598,11492,150,30,35,30,10x32,4x32
io4_l2n1n1_l4p2n1,10.0,9.229,1.25,32,20,10282,6680,277,46,26,46,10x32,4x32
io4_l2n1n1_l4p2n1_d1d2,10.0,8.813,1.25,96,78,13724,15752,278,33,50,33,10x32,4x32
io4_l2n1n1_l4p4n1,10.0,9.298,1.25,32,20,17015,10324,533,78,26,78,10x32,4x32
io4_l2n1n1_l4p4n1_d1d2,10.0,9.206,1.25,96,80,26277,15402,534,30,51,30,10x32,4x32
io4_l2n1n2_l4n1n1,10.0,8.419,1.25,32,8,1041,2070,28,19,23,19,10x32,4x32
io4_l2n1n2_l4n1n1_d1d2,10.0,8.419,1.25,64,8,1226,3731,29,17,24,17,10x32,4x32
io4_l2n1n2_l4n1n2,10.0,8.419,1.25,32,8,1093,2222,30,22,23,22,10x32,4x32
io4_l2n1n2_l4n1n2_d1d2,10.0,8.419,1.25,64,8,1262,3871,31,20,24,20,10x32,4x32
io4_l2n1n2_l4n1n4,10.0,8.419,1.25,32,20,2134,2978,34,19,28,19,10x32,4x32
io4_l2n1n2_l4n1n4_d1d2,10.0,8.858,1.25,64,8,1396,3351,35,17,24,17,10x32,4x32
io4_l2n1n2_l4n1p1,10.0,8.419,1.25,32,8,1102,2165,29,19,24,19,10x32,4x32
io4_l2n1n2_l4n1p1_d1d2,10.0,8.419,1.25,64,8,1251,3802,30,17,25,17,10x32,4x32
io4_l2n1n2_l4n1p2,10.0,8.419,1.25,32,8,1164,2294,31,22,24,22,10x32,4x32
io4_l2n1n2_l4n1p2_d1d2,10.0,8.419,1.25,64,8,1318,3967,32,20,25,20,10x32,4x32
io4_l2n1n2_l4n1p4,10.0,8.419,1.25,32,20,2453,3202,35,19,29,19,10x32,4x32
io4_l2n1n2_l4n1p4_d1d2,10.0,8.419,1.25,80,20,3600,5779,36,17,30,17,10x32,4x32
io4_l2n1n2_l4p1n1,10.0,9.206,1.25,32,20,7220,4948,152,33,26,33,10x32,4x32
io4_l2n1n2_l4p1n1_d1d2,10.0,8.813,1.25,96,40,7660,11682,153,31,35,31,10x32,4x32
io4_l2n1n2_l4p2n1,10.0,9.229,1.25,32,20,10355,6847,280,49,26,49,10x32,4x32
io4_l2n1n2_l4p2n1_d1d2,10.0,8.813,1.25,96,78,13786,15941,281,34,50,34,10x32,4x32
io4_l2n1n2_l4p4n1,10.0,9.298,1.25,32,20,17088,10491,536,81,26,81,10x32,4x32
io4_l2n1n2_l4p4n1_d1d2,10.0,9.206,1.25,96,80,26339,15603,537,31,51,31,10x32,4x32
io4_l2n1n4_l4n1n1,10.0,8.493,1.25,32,14,1495,2298,34,16,25,16,10x32,4x32
io4_l2n1n4_l4n1n1_d1d2,10.0,8.59,1.25,64,14,1683,4363,35,16,26,16,10x32,4x32
io4_l2n1n4_l4n1n2,10.0,8.562,1.25,32,14,1547,2450,36,19,25,19,10x32,4x32
io4_l2n1n4_l4n1n2_d1d2,10.0,8.602,1.25,64,14,1719,4503,37,19,26,19,10x32,4x32
io4_l2n1n4_l4n1n4,10.0,8.493,1.25,32,20,2268,2960,40,16,28,16,10x32,4x32
io4_l2n1n4_l4n1n4_d1d2,10.0,8.858,1.25,64,14,1853,3791,41,16,26,16,10x32,4x32
io4_l2n1n4_l4n1p1,10.0,8.493,1.25,32,14,1556,2393,35,16,26,16,10x32,4x32
io4_l2n1n4_l4n1p1_d1d2,10.0,8.59,1.25,64,14,1708,3714,36,16,27,16,10x32,4x32
io4_l2n1n4_l4n1p2,10.0,8.562,1.25,32,14,1618,2522,37,19,26,19,10x32,4x32
io4_l2n1n4_l4n1p2_d1d2,10.0,8.602,1.25,64,14,1775,3783,38,19,27,19,10x32,4x32
io4_l2n1n4_l4n1p4,10.0,8.493,1.25,32,20,2587,3184,41,16,29,16,10x32,4x32
io4_l2n1n4_l4n1p4_d1d2,10.0,8.59,1.25,80,20,3737,5157,42,16,30,16,10x32,4x32
io4_l2n1n4_l4p1n1,10.0,9.206,1.25,32,20,7354,4896,158,30,26,30,10x32,4x32
io4_l2n1n4_l4p1n1_d1d2,10.0,8.813,1.25,96,40,7797,10654,159,30,35,30,10x32,4x32
io4_l2n1n4_l4p2n1,10.0,9.229,1.25,32,20,10489,6799,286,46,26,46,10x32,4x32
io4_l2n1n4_l4p2n1_d1d2,10.0,8.813,1.25,96,78,13923,15679,287,33,50,33,10x32,4x32
io4_l2n1n4_l4p4n1,10.0,9.298,1.25,32,20,17222,10443,542,78,26,78,10x32,4x32
io4_l2n1n4_l4p4n1_d1d2,10.0,9.206,1.25,96,80,26476,15331,543,30,51,30,10x32,4x32
io4_l2n1p1_l4n1n1,10.0,8.419,1.25,32,5,891,1965,27,19,24,19,10x32,4x32
io4_l2n1p1_l4n1n1_d1d2,10.0,8.419,1.25,64,5,1061,3662,28,19,25,19,10x32,4x32
io4_l2n1p1_l4n1n2,10.0,8.419,1.25,32,5,943,2117,29,22,24,22,10x32,4x32
io4_l2n1p1_l4n1n2_d1d2,10.0,8.419,1.25,64,5,1097,3810,30,22,25,22,10x32,4x32
io4_l2n1p1_l4n1n4,10.0,8.419,1.25,32,20,2144,2996,33,19,30,19,10x32,4x32
io4_l2n1p1_l4n1n4_d1d2,10.0,8.858,1.25,64,5,1231,3391,34,19,25,19,10x32,4x32
io4_l2n1p1_l4n1p1,10.0,8.419,1.25,32,5,952,2056,28,19,25,19,10x32,4x32
io4_l2n1p1_l4n1p1_d1d2,10.0,8.419,1.25,64,5,1086,3301,29,19,26,19,10x32,4x32
io4_l2n1p1_l4n1p2,10.0,8.419,1.25,32,5,982,2179,30,22,25,22,10x32,4x32
io4_l2n1p1_l4n1p2_d1d2,10.0,8.419,1.25,64,5,1121,3364,31,22,26,22,10x32,4x32
io4_l2n1p1_l4n1p4,10.0,8.419,1.25,32,20,2463,3206,34,19,31,19,10x32,4x32
io4_l2n1p1_l4n1p4_d1d2,10.0,8.419,1.25,80,20,3595,5115,35,19,32,19,10x32,4x32
io4_l2n1p1_l4p1n1,10.0,9.206,1.25,32,20,7230,4969,151,33,28,33,10x32,4x32
io4_l2n1p1_l4p1n1_d1d2,10.0,8.813,1.25,96,40,7655,10622,152,33,37,33,10x32,4x32
io4_l2n1p1_l4p2n1,10.0,9.229,1.25,32,20,10365,6866,279,49,28,49,10x32,4x32
io4_l2n1p1_l4p2n1_d1d2,10.0,8.813,1.25,96,78,13781,15650,280,36,52,36,10x32,4x32
io4_l2n1p1_l4p4n1,10.0,9.298,1.25,32,20,17083,10510,535,81,28,81,10x32,4x32
io4_l2n1p1_l4p4n1_d1d2,10.0,9.206,1.25,96,80,26334,15300,536,33,53,33,10x32,4x32
io4_l2n1p2_l4n1n1,10.0,8.847,1.25,32,5,986,2114,30,22,24,22,10x32,4x32
io4_l2n1p2_l4n1n1_d1d2,10.0,8.847,1.25,64,5,1157,3831,31,20,25,20,10x32,4x32
io4_l2n1p2_l4n1n2,10.0,8.858,1.25,32,5,1038,2265,32,25,24,25,10x32,4x32
io4_l2n1p2_l4n1n2_d1d2,10.0,8.858,1.25,64,5,1193,3978,33,23,25,23,10x32,4x32
io4_l2n1p2_l4n1n4,10.0,8.847,1.25,32,20,2239,3145,36,22,30,22,10x32,4x32
io4_l2n1p2_l4n1n4_d1d2,10.0,8.602,1.25,64,5,1327,3457,37,20,25,20,10x32,4x32
io4_l2n1p2_l4n1p1,10.0,8.847,1.25,32,5,1047,2205,31,22,25,22,10x32,4x32
io4_l2n1p2_l4n1p1_d1d2,10.0,8.847,1.25,64,5,1182,3374,32,20,26,20,10x32,4x32
io4_l2n1p2_l4n1p2,10.0,8.858,1.25,32,5,1077,2327,33,25,25,25,10x32,4x32
io4_l2n1p2_l4n1p2_d1d2,10.0,8.858,1.25,64,5,1217,3436,34,23,26,23,10x32,4x32
io4_l2n1p2_l4n1p4,10.0,8.847,1.25,32,20,2558,3369,37,22,31,22,10x32,4x32
io4_l2n1p2_l4n1p4_d1d2,10.0,8.847,1.25,80,20,3691,5202,38,20,32,20,10x32,4x32
io4_l2n1p2_l4p1n1,10.0,9.229,1.25,32,20,7293,5110,154,36,28,36,10x32,4x32
io4_l2n1p2_l4p1n1_d1d2,10.0,8.835,1.25,96,40,7719,10688,155,34,37,34,10x32,4x32
io4_l2n1p2_l4p2n1,10.0,9.251,1.25,32,20,10428,7009,282,52,28,52,10x32,4x32
io4_l2n1p2_l4p2n1_d1d2,10.0,8.835,1.25,96,78,13845,15716,283,37,52,37,10x32,4x32
io4_l2n1p2_l4p4n1,10.0,9.321,1.25,32,20,17147,10653,538,84,28,84,10x32,4x32
io4_l2n1p2_l4p4n1_d1d2,10.0,9.229,1.25,96,80,26398,15381,539,34,53,34,10x32,4x32
io4_l2n1p4_l4n1n1,10.0,8.493,1.25,32,5,1179,2027,36,19,24,19,10x32,4x32
io4_l2n1p4_l4n1n1_d1d2,10.0,8.59,1.25,64,5,1351,4148,37,19,25,19,10x32,4x32
io4_l2n1p4_l4n1n2,10.0,8.813,1.25,32,5,1231,2176,38,22,24,22,10x32,4x32
io4_l2n1p4_l4n1n2_d1d2,10.0,8.813,1.25,64,5,1387,4293,39,22,25,22,10x32,4x32
io4_l2n1p4_l4n1n4,10.0,8.493,1.25,32,20,2432,3058,42,19,30,19,10x32,4x32
io4_l2n1p4_l4n1n4_d1d2,10.0,8.835,1.25,64,5,1521,3580,43,19,25,19,10x32,4x32
io4_l2n1p4_l4n1p1,10.0,8.493,1.25,32,5,1240,2118,37,19,25,19,10x32,4x32
io4_l2n1p4_l4n1p1_d1d2,10.0,8.59,1.25,64,5,1376,3499,38,19,26,19,10x32,4x32
io4_l2n1p4_l4n1p2,10.0,8.813,1.25,32,5,1270,2238,39,22,25,22,10x32,4x32
io4_l2n1p4_l4n1p2_d1d2,10.0,8.813,1.25,64,5,1411,3559,40,22,26,22,10x32,4x32
io4_l2n1p4_l4n1p4,10.0,8.493,1.25,32,20,2751,3282,43,19,31,19,10x32,4x32
io4_l2n1p4_l4n1p4_d1d2,10.0,8.59,1.25,80,20,3885,5327,44,19,32,19,10x32,4x32
io4_l2n1p4_l4p1n1,10.0,8.876,1.25,32,20,7422,5034,160,33,28,33,10x32,4x32
io4_l2n1p4_l4p1n1_d1d2,10.0,8.813,1.25,96,40,7849,10805,161,33,37,33,10x32,4x32
io4_l2n1p4_l4p2n1,10.0,8.898,1.25,32,20,10557,6918,288,49,28,49,10x32,4x32
io4_l2n1p4_l4p2n1_d1d2,10.0,8.813,1.25,96,78,13973,15353,289,36,52,36,10x32,4x32
io4_l2n1p4_l4p4n1,10.0,8.968,1.25,32,20,17277,10562,544,81,28,81,10x32,4x32
io4_l2n1p4_l4p4n1_d1d2,10.0,8.973,1.25,96,80,26528,15517,545,33,53,33,10x32,4x32
io4_l2p1n1_l4n1n1,10.0,8.835,1.25,32,14,1874,5438,212,60,23,60,10x32,4x32
io4_l2p1n1_l4n1n1_d1d2,10.0,9.286,1.25,96,26,2949,10441,213,60,28,60,10x32,4x32
io4_l2p1n1_l4n1n2,10.0,9.229,1.25,32,14,1926,5590,214,63,23,63,10x32,4x32
io4_l2p1n1_l4n1n2_d1d2,10.0,9.263,1.25,96,26,2985,10589,215,63,28,63,10x32,4x32
io4_l2p1n1_l4n1n4,10.0,8.835,1.25,32,20,2647,6100,218,60,26,60,10x32,4x32
io4_l2p1n1_l4n1n4_d1d2,10.0,9.263,1.25,96,26,3119,9497,219,60,28,60,10x32,4x32
io4_l2p1n1_l4n1p1,10.0,8.835,1.25,32,14,1935,5529,213,60,24,60,10x32,4x32
io4_l2p1n1_l4n1p1_d1d2,10.0,9.286,1.25,96,26,2978,9408,214,60,29,60,10x32,4x32
io4_l2p1n1_l4n1p2,10.0,9.229,1.25,32,14,1997,5658,215,63,24,63,10x32,4x32
io4_l2p1n1_l4n1p2_d1d2,10.0,9.263,1.25,96,26,3041,9474,216,63,29,63,10x32,4x32
io4_l2p1n1_l4n1p4,10.0,8.835,1.25,32,20,2966,6324,219,60,27,60,10x32,4x32
io4_l2p1n1_l4n1p4_d1d2,10.0,9.286,1.25,112,32,5003,10867,220,60,32,60,10x32,4x32
io4_l2p1n1_l4p1n1,10.0,8.858,1.25,32,20,7701,8025,336,74,24,74,10x32,4x32
io4_l2p1n1_l4p1n1_d1d2,10.0,9.274,1.25,128,40,8391,15798,337,74,33,74,10x32,4x32
io4_l2p1n1_l4p2n1,10.0,8.905,1.25,32,20,10842,9929,464,90,24,90,10x32,4x32
io4_l2p1n1_l4p2n1_d1d2,10.0,9.274,1.25,128,78,14515,20343,465,77,48,77,10x32,4x32
io4_l2p1n1_l4p4n1,10.0,8.999,1.25,32,20,17569,13557,720,122,24,122,10x32,4x32
io4_l2p1n1_l4p4n1_d1d2,10.0,9.285,1.25,128,80,27070,20449,721,74,49,74,10x32,4x32
io4_l2p2n1_l4n1n1,10.0,9.549,1.25,32,26,5207,7909,340,79,27,79,10x32,4x32
io4_l2p2n1_l4n1n1_d1d2,10.0,9.485,1.25,72,26,7270,12023,341,63,28,63,10x32,4x32
io4_l2p2n1_l4n1n2,10.0,9.573,1.25,32,26,5259,8031,342,82,27,82,10x32,4x32
io4_l2p2n1_l4n1n2_d1d2,10.0,9.23,1.25,72,26,7338,12133,343,66,28,66,10x32,4x32
io4_l2p2n1_l4n1n4,10.0,9.549,1.25,32,32,5980,8581,346,79,30,79,10x32,4x32
io4_l2p2n1_l4n1n4_d1d2,10.0,9.252,1.25,72,26,7440,11507,347,63,28,63,10x32,4x32
io4_l2p2n1_l4n1p1,10.0,9.549,1.25,32,26,5268,8014,341,79,28,79,10x32,4x32
io4_l2p2n1_l4n1p1_d1d2,10.0,9.531,1.25,72,26,7327,11530,342,63,29,63,10x32,4x32
io4_l2p2n1_l4n1p2,10.0,9.573,1.25,32,26,5298,8135,343,82,28,82,10x32,4x32
io4_l2p2n1_l4n1p2_d1d2,10.0,9.463,1.25,72,26,7330,11591,344,66,29,66,10x32,4x32
io4_l2p2n1_l4n1p4,10.0,9.549,1.25,32,32,6299,8833,347,79,31,79,10x32,4x32
io4_l2p2n1_l4n1p4_d1d2,10.0,9.485,1.25,88,32,9324,12988,348,63,32,63,10x32,4x32
io4_l2p2n1_l4p1n1,10.0,9.564,1.25,32,32,11137,10658,464,93,28,93,10x32,4x32
io4_l2p2n1_l4p1n1_d1d2,10.0,9.497,1.25,104,40,11966,17806,465,77,33,77,10x32,4x32
io4_l2p2n1_l4p2n1,10.0,9.309,1.25,32,32,14208,12507,592,109,28,109,10x32,4x32
io4_l2p2n1_l4p2n1_d1d2,10.0,9.486,1.25,104,78,18100,22368,593,80,48,80,10x32,4x32
io4_l2p2n1_l4p4n1,10.0,9.683,1.25,32,32,21030,16139,848,141,28,141,10x32,4x32
io4_l2p2n1_l4p4n1_d1d2,10.0,9.516,1.25,104,80,30645,22588,849,77,49,77,10x32,4x32
io4_l2p4n1_l4n1n1,10.0,8.835,1.25,32,46,29556,17202,596,108,36,108,10x32,4x32
io4_l2p4n1_l4n1n1_d1d2,10.0,9.206,1.25,96,101,44333,27420,661,60,58,60,10x32,4x32
io4_l2p4n1_l4n1n2,10.0,9.229,1.25,32,46,29608,17349,598,111,36,111,10x32,4x32
io4_l2p4n1_l4n1n2_d1d2,10.0,9.218,1.25,96,101,44369,27562,663,63,58,63,10x32,4x32
io4_l2p4n1_l4n1n4,10.0,8.835,1.25,32,46,29648,17210,602,108,36,108,10x32,4x32
io4_l2p4n1_l4n1n4_d1d2,10.0,9.24,1.25,96,101,44503,26333,667,60,58,60,10x32,4x32
io4_l2p4n1_l4n1p1,10.0,8.835,1.25,32,46,29617,17293,597,108,37,108,10x32,4x32
io4_l2p4n1_l4n1p1_d1d2,10.0,9.206,1.25,96,101,44358,26243,662,60,59,60,10x32,4x32
io4_l2p4n1_l4n1p2,10.0,9.229,1.25,32,46,29647,17415,599,111,37,111,10x32,4x32
io4_l2p4n1_l4n1p2_d1d2,10.0,9.218,1.25,96,101,44393,26304,664,63,59,63,10x32,4x32
io4_l2p4n1_l4n1p4,10.0,8.835,1.25,32,46,29967,17428,603,108,37,108,10x32,4x32
io4_l2p4n1_l4n1p4_d1d2,10.0,9.206,1.25,112,101,45706,26973,668,60,59,60,10x32,4x32
io4_l2p4n1_l4p1n1,10.0,8.858,1.25,32,46,33735,19021,720,122,34,122,10x32,4x32
io4_l2p4n1_l4p1n1_d1d2,10.0,8.824,1.25,128,101,47226,30811,785,74,56,74,10x32,4x32
io4_l2p4n1_l4p2n1,10.0,8.905,1.25,32,46,36870,20905,848,138,34,138,10x32,4x32
