prj,vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,URAM,DSP48 Blocks,freq(MHz)
io4_l2n1n2_l4p1n1,36.015,4669,4669,0,0,6240,16,0,0,20,300.030
io4_l2n1n2_l4p1n1_d1d2,55.539,5652,5652,0,0,5606,16,32,0,40,300.030
io4_l2n1n2_l4p2n1,42.812,7255,7255,0,0,9111,16,0,0,20,300.030
io4_l2n1n2_l4p2n1_d1d2,91.168,11774,11774,0,0,10815,32,32,0,78,300.030
io4_l2n1n2_l4p4n1,51.264,12162,12162,0,0,16044,16,0,0,20,300.030
io4_l2n1n2_l4p4n1_d1d2,93.659,15784,15784,0,0,22957,16,32,0,80,300.030
io4_l2n1n4_l4n1n1,21.560,1240,1240,0,0,1042,16,0,0,14,300.030
io4_l2n1n4_l4n1n1_d1d2,33.061,1962,1962,0,0,1159,0,64,0,14,300.030
io4_l2n1n4_l4n1n2,22.015,1295,1295,0,0,1042,16,0,0,14,300.030
io4_l2n1n4_l4n1n2_d1d2,33.481,2030,2030,0,0,1197,0,64,0,14,300.030
io4_l2n1n4_l4n1n4,25.291,1906,1906,0,0,1703,16,0,0,20,300.030
io4_l2n1n4_l4n1n4_d1d2,33.364,2026,2026,0,0,1277,0,64,0,14,300.030
io4_l2n1n4_l4n1p1,21.623,1245,1245,0,0,1053,16,0,0,14,300.030
io4_l2n1n4_l4n1p1_d1d2,32.930,1920,1920,0,0,1171,0,64,0,14,300.030
io4_l2n1n4_l4n1p2,23.560,1512,1512,0,0,1312,16,0,0,16,300.030
io4_l2n1n4_l4n1p2_d1d2,34.373,2222,2222,0,0,1440,0,64,0,16,300.030
io4_l2n1n4_l4n1p4,26.264,1928,1919,0,9,1598,16,0,0,20,300.030
io4_l2n1n4_l4n1p4_d1d2,40.813,2617,2607,0,10,1851,16,48,0,20,300.030
io4_l2n1n4_l4p1n1,35.932,4803,4803,0,0,6255,16,0,0,20,300.030
io4_l2n1n4_l4p1n1_d1d2,57.859,5839,5839,0,0,5801,16,32,0,40,300.030
io4_l2n1n4_l4p2n1,42.379,7145,7145,0,0,9173,16,0,0,20,300.030
io4_l2n1n4_l4p2n1_d1d2,90.008,11443,11443,0,0,11006,32,32,0,78,300.030
io4_l2n1n4_l4p4n1,52.518,12512,12512,0,0,15356,14,0,0,20,300.030
io4_l2n1n4_l4p4n1_d1d2,97.607,15825,15825,0,0,23237,16,32,0,80,300.030
io4_l2n1p1_l4n1n1,18.579,984,984,0,0,736,16,0,0,5,300.030
io4_l2n1p1_l4n1n1_d1d2,39.479,1766,1766,0,0,734,0,64,0,5,300.030
io4_l2n1p1_l4n1n2,18.507,1036,1036,0,0,745,16,0,0,5,300.030
io4_l2n1p1_l4n1n2_d1d2,39.420,1832,1832,0,0,776,0,64,0,5,300.030
io4_l2n1p1_l4n1n4,28.462,1816,1816,0,0,1577,16,0,0,20,300.030
io4_l2n1p1_l4n1n4_d1d2,41.451,1888,1888,0,0,852,0,64,0,5,300.030
io4_l2n1p1_l4n1p1,17.897,984,984,0,0,747,16,0,0,5,300.030
io4_l2n1p1_l4n1p1_d1d2,39.486,1778,1778,0,0,749,0,64,0,5,300.030
io4_l2n1p1_l4n1p2,21.693,1283,1283,0,0,1067,16,0,0,10,300.030
io4_l2n1p1_l4n1p2_d1d2,42.902,2114,2114,0,0,1076,0,64,0,10,300.030
io4_l2n1p1_l4n1p4,29.003,1857,1848,0,9,1487,16,0,0,20,300.030
io4_l2n1p1_l4n1p4_d1d2,52.806,2695,2685,0,10,1619,16,48,0,20,300.030
io4_l2n1p1_l4p1n1,35.353,4700,4700,0,0,6216,12,0,0,20,300.030
io4_l2n1p1_l4p1n1_d1d2,60.831,5828,5828,0,0,5568,16,32,0,40,300.030
io4_l2n1p1_l4p2n1,45.657,7194,7194,0,0,9086,16,0,0,20,300.030
io4_l2n1p1_l4p2n1_d1d2,91.703,10859,10859,0,0,10970,16,32,0,78,300.030
io4_l2n1p1_l4p4n1,54.338,12630,12630,0,0,15360,16,0,0,20,300.030
io4_l2n1p1_l4p4n1_d1d2,100.729,15791,15791,0,0,22885,16,32,0,80,300.030
io4_l2n1p2_l4n1n1,19.983,1094,1094,0,0,826,16,0,0,5,300.030
io4_l2n1p2_l4n1n1_d1d2,34.114,1860,1860,0,0,837,0,64,0,5,300.030
io4_l2n1p2_l4n1n2,19.881,1145,1145,0,0,841,16,0,0,5,300.030
io4_l2n1p2_l4n1n2_d1d2,33.867,1946,1946,0,0,873,0,64,0,5,300.030
io4_l2n1p2_l4n1n4,28.820,1948,1948,0,0,1673,16,0,0,20,300.030
io4_l2n1p2_l4n1n4_d1d2,34.585,1963,1963,0,0,947,0,64,0,5,300.030
io4_l2n1p2_l4n1p1,19.290,1103,1103,0,0,838,16,0,0,5,300.030
io4_l2n1p2_l4n1p1_d1d2,34.291,1875,1875,0,0,848,0,64,0,5,300.030
io4_l2n1p2_l4n1p2,22.441,1406,1406,0,0,1163,16,0,0,10,300.030
io4_l2n1p2_l4n1p2_d1d2,37.239,2216,2216,0,0,1172,0,64,0,10,300.030
io4_l2n1p2_l4n1p4,29.654,1974,1965,0,9,1578,16,0,0,20,300.030
io4_l2n1p2_l4n1p4_d1d2,47.582,2727,2717,0,10,1720,16,48,0,20,300.030
io4_l2n1p2_l4p1n1,40.027,4902,4902,0,0,6279,16,0,0,20,300.030
io4_l2n1p2_l4p1n1_d1d2,59.517,5871,5871,0,0,5639,16,32,0,40,300.030
io4_l2n1p2_l4p2n1,47.314,7349,7349,0,0,9236,16,0,0,20,300.030
io4_l2n1p2_l4p2n1_d1d2,87.590,11840,11840,0,0,10855,16,32,0,78,300.030
io4_l2n1p2_l4p4n1,58.962,12716,12716,0,0,16280,16,0,0,20,300.030
io4_l2n1p2_l4p4n1_d1d2,108.185,16104,16104,0,0,22888,32,32,0,80,300.030
io4_l2n1p4_l4n1n1,19.172,1156,1156,0,0,913,16,0,0,5,300.030
io4_l2n1p4_l4n1n1_d1d2,30.635,1885,1885,0,0,1028,0,64,0,5,300.030
io4_l2n1p4_l4n1n2,19.232,1230,1230,0,0,913,16,0,0,5,300.030
io4_l2n1p4_l4n1n2_d1d2,30.361,1920,1920,0,0,1068,0,64,0,5,300.030
io4_l2n1p4_l4n1n4,28.436,2007,2007,0,0,1760,16,0,0,20,300.030
io4_l2n1p4_l4n1n4_d1d2,30.877,2006,2006,0,0,1146,0,64,0,5,300.030
io4_l2n1p4_l4n1p1,19.234,1160,1160,0,0,925,16,0,0,5,300.030
io4_l2n1p4_l4n1p1_d1d2,30.147,1903,1903,0,0,1041,0,64,0,5,300.030
io4_l2n1p4_l4n1p2,22.249,1468,1468,0,0,1250,16,0,0,10,300.030
io4_l2n1p4_l4n1p2_d1d2,34.465,2242,2242,0,0,1365,0,64,0,10,300.030
io4_l2n1p4_l4n1p4,29.102,2032,2023,0,9,1665,16,0,0,20,300.030
io4_l2n1p4_l4n1p4_d1d2,43.206,2750,2740,0,10,1913,16,48,0,20,300.030
io4_l2n1p4_l4p1n1,38.211,4797,4797,0,0,6303,16,0,0,20,300.030
io4_l2n1p4_l4p1n1_d1d2,57.209,5990,5990,0,0,5771,16,32,0,40,300.030
io4_l2n1p4_l4p2n1,43.834,7474,7474,0,0,9205,16,0,0,20,300.030
io4_l2n1p4_l4p2n1_d1d2,84.776,11459,11459,0,0,10978,16,32,0,78,300.030
io4_l2n1p4_l4p4n1,55.294,12795,12795,0,0,15553,16,0,0,20,300.030
io4_l2n1p4_l4p4n1_d1d2,94.937,16061,16061,0,0,23199,16,32,0,80,300.030
io4_l2p1n1_l4n1n1,28.809,2040,2040,0,0,1725,16,0,0,17,300.030
io4_l2p1n1_l4n1n1_d1d2,48.118,2828,2828,0,0,2111,32,32,0,26,300.030
io4_l2p1n1_l4n1n2,28.789,2002,2002,0,0,1653,16,0,0,17,300.030
io4_l2p1n1_l4n1n2_d1d2,48.601,2852,2852,0,0,2149,32,32,0,26,300.030
io4_l2p1n1_l4n1n4,31.558,2756,2756,0,0,2355,16,0,0,23,300.030
io4_l2p1n1_l4n1n4_d1d2,49.054,2916,2916,0,0,2219,32,32,0,26,300.030
io4_l2p1n1_l4n1p1,28.540,1943,1943,0,0,1695,16,0,0,17,300.030
io4_l2p1n1_l4n1p1_d1d2,48.409,2831,2831,0,0,2128,32,32,0,26,300.030
io4_l2p1n1_l4n1p2,29.551,2286,2286,0,0,1949,16,0,0,19,300.030
io4_l2p1n1_l4n1p2_d1d2,49.441,3115,3115,0,0,2394,32,32,0,28,300.030
io4_l2p1n1_l4n1p4,32.436,2700,2691,0,9,2269,16,0,0,23,300.030
io4_l2p1n1_l4n1p4_d1d2,52.283,3631,3621,0,10,2805,48,0,0,32,300.030
io4_l2p1n1_l4p1n1,40.245,5280,5280,0,0,6793,16,0,0,23,300.030
io4_l2p1n1_l4p1n1_d1d2,67.824,6506,6506,0,0,6456,64,0,0,40,300.030
io4_l2p1n1_l4p2n1,47.020,7682,7682,0,0,9691,16,0,0,23,300.030
io4_l2p1n1_l4p2n1_d1d2,95.543,12337,12337,0,0,11669,64,0,0,78,300.030
io4_l2p1n1_l4p4n1,60.082,12997,12997,0,0,15929,16,0,0,23,300.030
io4_l2p1n1_l4p4n1_d1d2,105.480,16869,16869,0,0,23740,56,0,0,80,300.030
io4_l2p2n1_l4n1n1,35.930,4688,4688,0,0,4729,16,0,0,11,300.030
io4_l2p2n1_l4n1n1_d1d2,55.055,6240,6240,0,0,5896,8,56,0,26,300.030
io4_l2p2n1_l4n1n2,36.933,4774,4774,0,0,4775,16,0,0,11,300.030
io4_l2p2n1_l4n1n2_d1d2,55.765,6470,6470,0,0,6073,8,56,0,26,300.030
io4_l2p2n1_l4n1n4,40.108,5299,5299,0,0,5474,16,0,0,20,300.030
io4_l2p2n1_l4n1n4_d1d2,56.899,6418,6418,0,0,6208,8,56,0,26,300.030
io4_l2p2n1_l4n1p1,36.390,4721,4721,0,0,4788,16,0,0,11,300.030
io4_l2p2n1_l4n1p1_d1d2,56.359,6164,6164,0,0,6080,8,56,0,26,300.030
io4_l2p2n1_l4n1p2,36.652,4840,4840,0,0,5038,16,0,0,13,300.030
io4_l2p2n1_l4n1p2_d1d2,56.613,6594,6594,0,0,6364,8,56,0,28,300.030
io4_l2p2n1_l4n1p4,40.114,5238,5229,0,9,5284,16,0,0,20,300.030
io4_l2p2n1_l4n1p4_d1d2,62.960,6939,6929,0,10,6730,24,40,0,32,300.030
io4_l2p2n1_l4p1n1,46.129,8012,8012,0,0,9617,16,0,0,20,300.030
io4_l2p2n1_l4p1n1_d1d2,72.781,9845,9845,0,0,9655,40,24,0,40,300.030
io4_l2p2n1_l4p2n1,52.938,10499,10499,0,0,12453,16,0,0,20,300.030
io4_l2p2n1_l4p2n1_d1d2,99.907,15223,15223,0,0,14833,40,24,0,78,300.030
io4_l2p2n1_l4p4n1,66.520,15798,15798,0,0,18528,16,0,0,20,300.030
io4_l2p2n1_l4p4n1_d1d2,104.909,19938,19938,0,0,26918,24,24,0,80,300.030
io4_l2p4n1_l4n1n1,214.826,15664,13288,0,2376,23323,16,0,0,46,300.030
io4_l2p4n1_l4n1n1_d1d2,323.254,24315,21105,0,3210,33288,32,32,0,101,300.030
io4_l2p4n1_l4n1n2,221.137,15581,13205,0,2376,23306,16,0,0,46,300.030
io4_l2p4n1_l4n1n2_d1d2,314.856,24354,21144,0,3210,33323,32,32,0,101,300.030
io4_l2p4n1_l4n1n4,295.642,15848,13472,0,2376,23402,16,0,0,46,300.030
io4_l2p4n1_l4n1n4_d1d2,319.965,24535,21325,0,3210,33406,32,32,0,101,300.030
io4_l2p4n1_l4n1p1,214.302,15659,13283,0,2376,23420,16,0,0,46,300.030
io4_l2p4n1_l4n1p1_d1d2,314.921,24264,21054,0,3210,33392,32,32,0,101,300.030
io4_l2p4n1_l4n1p2,254.626,15493,13117,0,2376,23390,16,0,0,46,300.030
io4_l2p4n1_l4n1p2_d1d2,377.143,24276,21066,0,3210,33376,28,32,0,101,300.030
io4_l2p4n1_l4n1p4,322.600,15625,13240,0,2385,23258,16,0,0,46,300.030
io4_l2p4n1_l4n1p4_d1d2,559.625,24687,21467,0,3220,33384,48,12,0,101,300.030
io4_l2p4n1_l4p1n1,348.254,18609,16233,0,2376,27093,16,0,0,46,300.030
io4_l2p4n1_l4p1n1_d1d2,571.442,26548,23338,0,3210,35290,64,0,0,101,300.030
io4_l2p4n1_l4p2n1,358.921,21104,18728,0,2376,30026,16,0,0,46,300.030
io4_l2p4n1_l4p2n1_d1d2,599.020,29998,26788,0,3210,37476,54,0,0,101,300.030
io4_l2p4n1_l4p4n1,383.876,26188,23812,0,2376,36108,16,0,0,46,300.030
io4_l2p4n1_l4p4n1_d1d2,625.215,34699,31489,0,3210,47606,56,0,0,101,300.030
io8_l2n1n1_l4n1n1,21.326,1349,1349,0,0,973,0,32,0,5,300.030
io8_l2n1n1_l4n1n1_d1d2,86.353,4849,4849,0,0,704,0,256,0,5,300.030
io8_l2n1n1_l4n1n2,18.954,1079,1079,0,0,732,0,32,0,5,300.030
io8_l2n1n1_l4n1n2_d1d2,79.986,4887,4887,0,0,743,0,256,0,5,300.030
io8_l2n1n1_l4n1n4,19.672,1183,1183,0,0,820,0,32,0,5,300.030
io8_l2n1n1_l4n1n4_d1d2,81.558,4969,4969,0,0,876,0,256,0,5,300.030
io8_l2n1n1_l4n1n8,42.694,3119,3119,0,0,2733,0,32,0,40,300.030
io8_l2n1n1_l4n1n8_d1d2,82.726,5102,5102,0,0,1167,0,256,0,5,300.030
io8_l2n1n1_l4n1p1,20.649,1133,1133,0,0,797,0,32,0,5,300.030
io8_l2n1n1_l4n1p1_d1d2,86.441,4872,4872,0,0,705,0,256,0,5,300.030
io8_l2n1n1_l4n1p2,24.072,1474,1474,0,0,1123,0,32,0,10,300.030
io8_l2n1n1_l4n1p2_d1d2,89.591,5112,5112,0,0,1077,0,256,0,10,300.030
io8_l2n1n1_l4n1p4,30.261,2012,2012,0,0,1705,0,32,0,20,300.030
io8_l2n1n1_l4n1p4_d1d2,98.080,5967,5967,0,0,1681,0,256,0,20,300.030
io8_l2n1n1_l4n1p8,43.844,3164,3155,0,9,2508,8,24,0,40,300.030
io8_l2n1n1_l4n1p8_d1d2,122.155,6899,6890,0,9,2745,64,192,0,40,300.030
io8_l2n1n1_l4p1n1,50.715,6136,6136,0,0,7823,8,16,0,40,300.030
io8_l2n1n1_l4p1n1_d1d2,163.744,13233,13233,0,0,9165,128,128,0,80,300.030
io8_l2n1n1_l4p2n1,60.847,8598,8598,0,0,11985,16,16,0,40,300.030
io8_l2n1n1_l4p2n1_d1d2,221.289,20944,20944,0,0,20062,128,128,0,160,300.030
io8_l2n1n1_l4p4n1,71.813,13680,13680,0,0,17731,16,16,0,40,300.030
io8_l2n1n1_l4p4n1_d1d2,311.029,33214,33214,0,0,35647,120,128,0,320,300.030
io8_l2n1n1_l4p8n1,87.481,24378,24378,0,0,30287,11,16,0,40,300.030
io8_l2n1n1_l4p8n1_d1d2,341.369,48569,48569,0,0,63379,112,128,0,320,300.030
io8_l2n1n2_l4n1n1,20.386,1386,1386,0,0,1016,0,32,0,5,300.030
io8_l2n1n2_l4n1n1_d1d2,73.932,5023,5023,0,0,1044,0,256,0,5,300.030
io8_l2n1n2_l4n1n2,19.945,1289,1289,0,0,885,0,32,0,5,300.030
io8_l2n1n2_l4n1n2_d1d2,73.899,5023,5023,0,0,1082,0,256,0,5,300.030
io8_l2n1n2_l4n1n4,19.110,1287,1287,0,0,813,0,32,0,5,300.030
io8_l2n1n2_l4n1n4_d1d2,72.870,5074,5074,0,0,1220,0,256,0,5,300.030
io8_l2n1n2_l4n1n8,41.699,3265,3265,0,0,2843,0,32,0,40,300.030
io8_l2n1n2_l4n1n8_d1d2,74.454,5256,5256,0,0,1446,0,256,0,5,300.030
io8_l2n1n2_l4n1p1,19.327,1160,1160,0,0,736,0,32,0,5,300.030
io8_l2n1n2_l4n1p1_d1d2,74.013,5021,5021,0,0,1045,0,256,0,5,300.030
io8_l2n1n2_l4n1p2,22.802,1422,1422,0,0,1061,0,32,0,10,300.030
io8_l2n1n2_l4n1p2_d1d2,77.537,5284,5284,0,0,1423,0,256,0,10,300.030
io8_l2n1n2_l4n1p4,28.867,2039,2039,0,0,1714,0,32,0,20,300.030
io8_l2n1n2_l4n1p4_d1d2,85.216,6120,6120,0,0,1999,0,256,0,20,300.030
io8_l2n1n2_l4n1p8,43.130,3229,3220,0,9,2553,8,24,0,40,300.030
io8_l2n1n2_l4n1p8_d1d2,108.459,7095,7086,0,9,3096,64,192,0,40,300.030
io8_l2n1n2_l4p1n1,54.057,6146,6146,0,0,7869,16,16,0,40,300.030
io8_l2n1n2_l4p1n1_d1d2,151.314,13829,13829,0,0,9496,128,128,0,80,300.030
io8_l2n1n2_l4p2n1,55.039,8582,8582,0,0,11984,8,16,0,40,300.030
io8_l2n1n2_l4p2n1_d1d2,207.013,21445,21445,0,0,20303,128,128,0,160,300.030
