clk_target(ns),clk_estimated(ns),clk_uncertainty(ns),bram,dsp,ff,lut,uram
io2_l2n1p2_l5n1p2_l7p1n1_d1d2,10.0,9.634,1.25,56,28,5901,9164,0
io2_l2n1p2_l5n1p2_l7p2n1,10.0,9.672,1.25,56,28,5591,8032,0
io2_l2n1p2_l5n1p2_l7p2n1_d1d2,10.0,9.177,1.25,56,56,9316,11715,0
io2_l2p1n1_l5p1n1_l7n1n1,10.0,9.751,1.25,56,140,12951,18788,0
io2_l2p1n1_l5p1n1_l7n1n1_d1d2,10.0,9.758,1.25,56,167,24990,31424,0
io2_l2p1n1_l5p1n1_l7n1n2,10.0,9.751,1.25,56,142,13232,18949,0
io2_l2p1n1_l5p1n1_l7n1n2_d1d2,10.0,9.795,1.25,56,92,20884,27986,0
io2_l2p1n1_l5p1n1_l7n1p1,10.0,9.164,1.25,56,142,13448,19210,0
io2_l2p1n1_l5p1n1_l7n1p1_d1d2,10.0,9.171,1.25,56,121,22976,29860,0
io2_l2p1n1_l5p1n1_l7n1p2,10.0,9.164,1.25,56,146,13814,19482,0
io2_l2p1n1_l5p1n1_l7n1p2_d1d2,10.0,9.171,1.25,56,152,24177,31578,0
io2_l2p1n1_l5p1n1_l7p1n1,10.0,9.203,1.25,56,184,18283,24221,0
io2_l2p1n1_l5p1n1_l7p1n1_d1d2,10.0,9.21,1.25,56,160,26981,35956,0
io2_l2p1n1_l5p1n1_l7p2n1,10.0,9.242,1.25,56,160,17318,24542,0
io2_l2p1n1_l5p1n1_l7p2n1_d1d2,10.0,9.21,1.25,56,164,29148,37273,0
io2_l2p2n1_l5p2n1_l7n1n1,10.0,9.687,1.25,56,26,18008,18009,0
io2_l2p2n1_l5p2n1_l7n1n1_d1d2,10.0,7.966,1.25,56,52,25041,26607,0
io2_l2p2n1_l5p2n1_l7n1n2,10.0,9.23,1.25,56,26,18030,17931,0
io2_l2p2n1_l5p2n1_l7n1n2_d1d2,10.0,9.672,1.25,56,52,24999,26540,0
io2_l2p2n1_l5p2n1_l7n1p1,10.0,9.101,1.25,56,26,18278,18188,0
io2_l2p2n1_l5p2n1_l7n1p1_d1d2,10.0,9.047,1.25,56,52,25520,26874,0
io2_l2p2n1_l5p2n1_l7n1p2,10.0,8.644,1.25,56,26,18158,18074,0
io2_l2p2n1_l5p2n1_l7n1p2_d1d2,10.0,9.047,1.25,56,52,25403,26762,0
io2_l2p2n1_l5p2n1_l7p1n1,10.0,8.659,1.25,56,34,19836,21056,0
io2_l2p2n1_l5p2n1_l7p1n1_d1d2,10.0,9.085,1.25,56,52,26307,30014,0
io2_l2p2n1_l5p2n1_l7p2n1,10.0,8.675,1.25,56,34,20023,22499,0
io2_l2p2n1_l5p2n1_l7p2n1_d1d2,10.0,8.628,1.25,56,68,28442,32110,0
io4_l2n1n1_l5n1n1_l7n1n1,10.0,7.966,1.25,56,5,1348,2471,0
io4_l2n1n1_l5n1n1_l7n1n1_d1d2,10.0,7.966,1.25,112,5,1274,5210,0
io4_l2n1n1_l5n1n1_l7n1n2,10.0,9.085,1.25,56,5,1232,2664,0
io4_l2n1n1_l5n1n1_l7n1n2_d1d2,10.0,7.969,1.25,112,5,1441,5477,0
io4_l2n1n1_l5n1n1_l7n1n4,10.0,7.966,1.25,56,20,2528,3559,0
io4_l2n1n1_l5n1n1_l7n1n4_d1d2,10.0,7.966,1.25,112,20,3384,5982,0
io4_l2n1n1_l5n1n1_l7n1p1,10.0,7.966,1.25,56,7,1988,2915,0
io4_l2n1n1_l5n1n1_l7n1p1_d1d2,10.0,7.966,1.25,112,7,1768,5590,0
io4_l2n1n1_l5n1n1_l7n1p2,10.0,8.423,1.25,56,14,2572,3666,0
io4_l2n1n1_l5n1n1_l7n1p2_d1d2,10.0,7.966,1.25,112,14,2581,6407,0
io4_l2n1n1_l5n1n1_l7n1p4,10.0,7.966,1.25,56,28,3563,4441,0
io4_l2n1n1_l5n1n1_l7n1p4_d1d2,10.0,7.966,1.25,112,28,3922,7860,0
io4_l2n1n1_l5n1n1_l7p1n1,10.0,8.553,1.25,56,56,10077,9355,0
io4_l2n1n1_l5n1n1_l7p1n1_d1d2,10.0,7.966,1.25,176,56,12211,18037,0
io4_l2n1n1_l5n1n1_l7p2n1,10.0,9.14,1.25,56,56,9664,11003,0
io4_l2n1n1_l5n1n1_l7p2n1_d1d2,10.0,9.01,1.25,176,112,18320,23775,0
io4_l2n1n1_l5n1n1_l7p4n1,10.0,9.177,1.25,56,56,10089,13427,0
io4_l2n1n1_l5n1n1_l7p4n1_d1d2,10.0,8.553,1.25,176,224,35821,33414,0
io4_l2n1n2_l5n1n2_l7n1n1,10.0,7.966,1.25,56,8,1550,2896,0
io4_l2n1n2_l5n1n2_l7n1n1_d1d2,10.0,7.966,1.25,112,8,1558,5691,0
io4_l2n1n2_l5n1n2_l7n1n2,10.0,8.423,1.25,56,8,1434,3089,0
io4_l2n1n2_l5n1n2_l7n1n2_d1d2,10.0,7.969,1.25,112,8,1725,5958,0
io4_l2n1n2_l5n1n2_l7n1n4,10.0,8.628,1.25,56,20,2570,3859,0
io4_l2n1n2_l5n1n2_l7n1n4_d1d2,10.0,7.966,1.25,112,20,3612,6162,0
io4_l2n1n2_l5n1n2_l7n1p1,10.0,7.966,1.25,56,10,2190,3346,0
io4_l2n1n2_l5n1n2_l7n1p1_d1d2,10.0,7.966,1.25,112,10,2052,6077,0
io4_l2n1n2_l5n1n2_l7n1p2,10.0,9.066,1.25,56,14,2614,3972,0
io4_l2n1n2_l5n1n2_l7n1p2_d1d2,10.0,7.966,1.25,112,14,2705,6769,0
io4_l2n1n2_l5n1n2_l7n1p4,10.0,8.609,1.25,56,28,3605,4747,0
io4_l2n1n2_l5n1n2_l7n1p4_d1d2,10.0,7.966,1.25,112,28,4046,8222,0
io4_l2n1n2_l5n1n2_l7p1n1,10.0,8.59,1.25,56,56,10119,9643,0
io4_l2n1n2_l5n1n2_l7p1n1_d1d2,10.0,7.966,1.25,176,56,12335,18380,0
io4_l2n1n2_l5n1n2_l7p2n1,10.0,9.177,1.25,56,56,9706,11291,0
io4_l2n1n2_l5n1n2_l7p2n1_d1d2,10.0,9.047,1.25,176,112,18444,24118,0
io4_l2n1n2_l5n1n2_l7p4n1,10.0,9.215,1.25,56,56,10131,13731,0
io4_l2n1n2_l5n1n2_l7p4n1_d1d2,10.0,8.59,1.25,176,224,35945,33758,0
io4_l2n1n4_l5n1n4_l7n1n1,10.0,7.966,1.25,56,14,2010,3054,0
io4_l2n1n4_l5n1n4_l7n1n1_d1d2,10.0,7.966,1.25,112,14,2152,6657,0
io4_l2n1n4_l5n1n4_l7n1n2,10.0,9.047,1.25,56,14,1894,3246,0
io4_l2n1n4_l5n1n4_l7n1n2_d1d2,10.0,7.969,1.25,112,14,2319,6923,0
io4_l2n1n4_l5n1n4_l7n1n4,10.0,8.553,1.25,56,20,2710,3751,0
io4_l2n1n4_l5n1n4_l7n1n4_d1d2,10.0,7.966,1.25,112,20,4094,6526,0
io4_l2n1n4_l5n1n4_l7n1p1,10.0,7.966,1.25,56,16,2650,3488,0
io4_l2n1n4_l5n1n4_l7n1p1_d1d2,10.0,7.966,1.25,112,16,3296,5927,0
io4_l2n1n4_l5n1n4_l7n1p2,10.0,8.423,1.25,56,20,3074,4114,0
io4_l2n1n4_l5n1n4_l7n1p2_d1d2,10.0,7.966,1.25,112,20,4027,6487,0
io4_l2n1n4_l5n1n4_l7n1p4,10.0,7.966,1.25,56,28,3745,4639,0
io4_l2n1n4_l5n1n4_l7n1p4_d1d2,10.0,7.966,1.25,112,28,5204,7426,0
io4_l2n1n4_l5n1n4_l7p1n1,10.0,8.553,1.25,56,56,10259,9511,0
io4_l2n1n4_l5n1n4_l7p1n1_d1d2,10.0,7.966,1.25,176,56,13805,17030,0
io4_l2n1n4_l5n1n4_l7p2n1,10.0,8.572,1.25,56,56,9846,11175,0
io4_l2n1n4_l5n1n4_l7p2n1_d1d2,10.0,9.01,1.25,176,112,19290,23824,0
io4_l2n1n4_l5n1n4_l7p4n1,10.0,8.609,1.25,56,56,10271,13599,0
io4_l2n1n4_l5n1n4_l7p4n1_d1d2,10.0,8.553,1.25,176,224,36791,33466,0
io4_l2n1p1_l5n1p1_l7n1n1,10.0,7.966,1.25,56,5,1516,2863,0
io4_l2n1p1_l5n1p1_l7n1n1_d1d2,10.0,7.966,1.25,112,5,1434,5746,0
io4_l2n1p1_l5n1p1_l7n1n2,10.0,9.085,1.25,56,5,1400,3056,0
io4_l2n1p1_l5n1p1_l7n1n2_d1d2,10.0,7.969,1.25,112,5,1601,6013,0
io4_l2n1p1_l5n1p1_l7n1n4,10.0,7.966,1.25,56,20,2696,3951,0
io4_l2n1p1_l5n1p1_l7n1n4_d1d2,10.0,7.966,1.25,112,20,3544,6518,0
io4_l2n1p1_l5n1p1_l7n1p1,10.0,7.966,1.25,56,7,2156,3307,0
io4_l2n1p1_l5n1p1_l7n1p1_d1d2,10.0,7.966,1.25,112,7,2266,5554,0
io4_l2n1p1_l5n1p1_l7n1p2,10.0,8.423,1.25,56,14,2740,4058,0
io4_l2n1p1_l5n1p1_l7n1p2_d1d2,10.0,7.966,1.25,112,14,3157,6239,0
io4_l2n1p1_l5n1p1_l7n1p4,10.0,7.966,1.25,56,28,3731,4833,0
io4_l2n1p1_l5n1p1_l7n1p4_d1d2,10.0,7.966,1.25,112,28,4654,7428,0
io4_l2n1p1_l5n1p1_l7p1n1,10.0,8.553,1.25,56,56,10245,9723,0
io4_l2n1p1_l5n1p1_l7p1n1_d1d2,10.0,7.966,1.25,176,56,13255,16981,0
io4_l2n1p1_l5n1p1_l7p2n1,10.0,9.14,1.25,56,56,9832,11379,0
io4_l2n1p1_l5n1p1_l7p2n1_d1d2,10.0,9.01,1.25,176,112,18740,23775,0
io4_l2n1p1_l5n1p1_l7p4n1,10.0,9.177,1.25,56,56,10257,13803,0
io4_l2n1p1_l5n1p1_l7p4n1_d1d2,10.0,8.553,1.25,176,224,36241,33414,0
io4_l2n1p2_l5n1p2_l7n1n1,10.0,7.966,1.25,56,5,1570,3128,0
io4_l2n1p2_l5n1p2_l7n1n1_d1d2,10.0,7.966,1.25,112,5,1592,6067,0
io4_l2n1p2_l5n1p2_l7n1n2,10.0,8.423,1.25,56,5,1454,3318,0
io4_l2n1p2_l5n1p2_l7n1n2_d1d2,10.0,7.966,1.25,112,5,1759,6331,0
io4_l2n1p2_l5n1p2_l7n1n4,10.0,8.628,1.25,56,20,2750,4216,0
io4_l2n1p2_l5n1p2_l7n1n4_d1d2,10.0,7.966,1.25,112,20,3806,6663,0
io4_l2n1p2_l5n1p2_l7n1p1,10.0,7.966,1.25,56,7,2210,3578,0
io4_l2n1p2_l5n1p2_l7n1p1_d1d2,10.0,7.966,1.25,112,7,2528,5705,0
io4_l2n1p2_l5n1p2_l7n1p2,10.0,9.066,1.25,56,14,2794,4329,0
io4_l2n1p2_l5n1p2_l7n1p2_d1d2,10.0,7.966,1.25,112,14,3419,6390,0
io4_l2n1p2_l5n1p2_l7n1p4,10.0,8.609,1.25,56,28,3785,5104,0
io4_l2n1p2_l5n1p2_l7n1p4_d1d2,10.0,7.966,1.25,112,28,4916,7579,0
io4_l2n1p2_l5n1p2_l7p1n1,10.0,8.59,1.25,56,56,10267,9979,0
io4_l2n1p2_l5n1p2_l7p1n1_d1d2,10.0,7.966,1.25,176,56,13485,17115,0
io4_l2n1p2_l5n1p2_l7p2n1,10.0,9.177,1.25,56,56,9854,11635,0
io4_l2n1p2_l5n1p2_l7p2n1_d1d2,10.0,9.047,1.25,176,112,18970,23909,0
io4_l2n1p2_l5n1p2_l7p4n1,10.0,9.215,1.25,56,56,10279,14059,0
io4_l2n1p2_l5n1p2_l7p4n1_d1d2,10.0,8.59,1.25,176,224,36471,33550,0
io4_l2n1p4_l5n1p4_l7n1n1,10.0,7.966,1.25,56,5,1764,2930,0
io4_l2n1p4_l5n1p4_l7n1n1_d1d2,10.0,7.966,1.25,112,5,1914,6677,0
io4_l2n1p4_l5n1p4_l7n1n2,10.0,9.047,1.25,56,5,1648,3120,0
io4_l2n1p4_l5n1p4_l7n1n2_d1d2,10.0,8.48,1.25,112,5,2081,6941,0
io4_l2n1p4_l5n1p4_l7n1n4,10.0,8.553,1.25,56,20,2944,4018,0
io4_l2n1p4_l5n1p4_l7n1n4_d1d2,10.0,7.966,1.25,112,20,4336,6921,0
io4_l2n1p4_l5n1p4_l7n1p1,10.0,7.966,1.25,56,7,2404,3380,0
io4_l2n1p4_l5n1p4_l7n1p1_d1d2,10.0,7.966,1.25,112,7,3058,5963,0
io4_l2n1p4_l5n1p4_l7n1p2,10.0,8.423,1.25,56,14,2988,4131,0
io4_l2n1p4_l5n1p4_l7n1p2_d1d2,10.0,7.966,1.25,112,14,3949,6648,0
io4_l2n1p4_l5n1p4_l7n1p4,10.0,7.966,1.25,56,28,3979,4906,0
io4_l2n1p4_l5n1p4_l7n1p4_d1d2,10.0,7.966,1.25,112,28,5446,7837,0
io4_l2n1p4_l5n1p4_l7p1n1,10.0,8.553,1.25,56,56,10397,9775,0
io4_l2n1p4_l5n1p4_l7p1n1_d1d2,10.0,7.966,1.25,176,56,13937,17367,0
io4_l2n1p4_l5n1p4_l7p2n1,10.0,8.572,1.25,56,56,9984,11431,0
io4_l2n1p4_l5n1p4_l7p2n1_d1d2,10.0,9.01,1.25,176,112,19422,24161,0
io4_l2n1p4_l5n1p4_l7p4n1,10.0,8.609,1.25,56,56,10409,13871,0
io4_l2n1p4_l5n1p4_l7p4n1_d1d2,10.0,8.553,1.25,176,224,36937,33802,0
io4_l2p1n1_l5p1n1_l7n1n1,10.0,7.984,1.25,56,14,2659,7868,0
io4_l2p1n1_l5p1n1_l7n1n1_d1d2,10.0,8.646,1.25,144,26,3799,16834,0
io4_l2p1n1_l5p1n1_l7n1n2,10.0,9.788,1.25,56,14,2543,8032,0
io4_l2p1n1_l5p1n1_l7n1n2_d1d2,10.0,8.638,1.25,144,26,3966,17061,0
io4_l2p1n1_l5p1n1_l7n1n4,10.0,9.294,1.25,56,20,3359,8585,0
io4_l2p1n1_l5p1n1_l7n1n4_d1d2,10.0,8.646,1.25,144,32,6053,16174,0
io4_l2p1n1_l5p1n1_l7n1p1,10.0,7.984,1.25,56,16,3292,8354,0
io4_l2p1n1_l5p1n1_l7n1p1_d1d2,10.0,8.646,1.25,144,28,5255,15628,0
io4_l2p1n1_l5p1n1_l7n1p2,10.0,9.164,1.25,56,20,3716,8980,0
io4_l2p1n1_l5p1n1_l7n1p2_d1d2,10.0,8.646,1.25,144,32,5986,16188,0
io4_l2p1n1_l5p1n1_l7n1p4,10.0,8.707,1.25,56,28,4394,9505,0
io4_l2p1n1_l5p1n1_l7n1p4_d1d2,10.0,8.646,1.25,144,40,7163,17126,0
io4_l2p1n1_l5p1n1_l7p1n1,10.0,8.726,1.25,56,56,10876,14324,0
io4_l2p1n1_l5p1n1_l7p1n1_d1d2,10.0,8.646,1.25,208,56,15092,26054,0
io4_l2p1n1_l5p1n1_l7p2n1,10.0,8.746,1.25,56,56,10442,15948,0
io4_l2p1n1_l5p1n1_l7p2n1_d1d2,10.0,9.183,1.25,208,112,20577,32128,0
io4_l2p1n1_l5p1n1_l7p4n1,10.0,8.785,1.25,56,56,10867,18308,0
io4_l2p1n1_l5p1n1_l7p4n1_d1d2,10.0,8.726,1.25,208,224,38078,42498,0
io4_l2p2n1_l5p2n1_l7n1n1,10.0,10.062,1.25,56,26,7220,11667,0
io4_l2p2n1_l5p2n1_l7n1n1_d1d2,10.0,8.963,1.25,128,26,9611,17695,0
io4_l2p2n1_l5p2n1_l7n1n2,10.0,10.099,1.25,56,26,7040,11768,0
io4_l2p2n1_l5p2n1_l7n1n2_d1d2,10.0,8.926,1.25,128,26,10044,18021,0
io4_l2p2n1_l5p2n1_l7n1n4,10.0,10.062,1.25,56,32,7856,12325,0
io4_l2p2n1_l5p2n1_l7n1n4_d1d2,10.0,8.944,1.25,128,32,11617,17724,0
io4_l2p2n1_l5p2n1_l7n1p1,10.0,9.475,1.25,56,28,7732,12008,0
io4_l2p2n1_l5p2n1_l7n1p1_d1d2,10.0,8.963,1.25,128,28,10703,17111,0
io4_l2p2n1_l5p2n1_l7n1p2,10.0,9.475,1.25,56,32,8156,12647,0
io4_l2p2n1_l5p2n1_l7n1p2_d1d2,10.0,8.926,1.25,128,32,11658,17799,0
io4_l2p2n1_l5p2n1_l7n1p4,10.0,9.475,1.25,56,40,8827,13229,0
io4_l2p2n1_l5p2n1_l7n1p4_d1d2,10.0,8.925,1.25,128,40,12643,18625,0
io4_l2p2n1_l5p2n1_l7p1n1,10.0,9.494,1.25,56,56,14047,17752,0
io4_l2p2n1_l5p2n1_l7p1n1_d1d2,10.0,8.926,1.25,192,56,18854,27682,0
io4_l2p2n1_l5p2n1_l7p2n1,10.0,9.514,1.25,56,56,13794,19377,0
io4_l2p2n1_l5p2n1_l7p2n1_d1d2,10.0,9.494,1.25,192,112,24371,33790,0
io4_l2p2n1_l5p2n1_l7p4n1,10.0,9.553,1.25,56,56,13995,21729,0
io4_l2p2n1_l5p2n1_l7p4n1_d1d2,10.0,9.037,1.25,192,224,41926,44140,0
io4_l2p4n1_l5p4n1_l7n1n1,10.0,7.984,1.25,56,46,32971,22990,0
io4_l2p4n1_l5p4n1_l7n1n1_d1d2,10.0,8.537,1.25,160,101,54835,37438,0
io4_l2p4n1_l5p4n1_l7n1n2,10.0,9.725,1.25,56,46,32841,23176,0
io4_l2p4n1_l5p4n1_l7n1n2_d1d2,10.0,8.555,1.25,160,101,55002,37698,0
io4_l2p4n1_l5p4n1_l7n1n4,10.0,9.23,1.25,56,46,32894,23011,0
io4_l2p4n1_l5p4n1_l7n1n4_d1d2,10.0,8.593,1.25,160,101,56919,35716,0
io4_l2p4n1_l5p4n1_l7n1p1,10.0,7.984,1.25,56,46,33384,23229,0
io4_l2p4n1_l5p4n1_l7n1p1_d1d2,10.0,8.537,1.25,160,101,56324,35545,0
io4_l2p4n1_l5p4n1_l7n1p2,10.0,9.101,1.25,56,46,33315,23428,0
io4_l2p4n1_l5p4n1_l7n1p2_d1d2,10.0,8.537,1.25,160,101,56569,35679,0
io4_l2p4n1_l5p4n1_l7n1p4,10.0,8.644,1.25,56,46,33021,23185,0
io4_l2p4n1_l5p4n1_l7n1p4_d1d2,10.0,8.537,1.25,160,101,56774,35774,0
io4_l2p4n1_l5p4n1_l7p1n1,10.0,8.652,1.25,56,62,36193,27158,0
io4_l2p4n1_l5p4n1_l7p1n1_d1d2,10.0,8.537,1.25,224,101,59335,42279,0
io4_l2p4n1_l5p4n1_l7p2n1,10.0,8.659,1.25,56,62,36292,28822,0
io4_l2p4n1_l5p4n1_l7p2n1_d1d2,10.0,9.653,1.25,224,133,61748,47373,0
io4_l2p4n1_l5p4n1_l7p4n1,10.0,8.675,1.25,56,62,36461,31254,0
io4_l2p4n1_l5p4n1_l7p4n1_d1d2,10.0,9.196,1.25,224,224,76561,56783,0
io8_l2n1n1_l5n1n1_l7n1n1,10.0,7.966,1.25,56,5,1158,3573,0
io8_l2n1n1_l5n1n1_l7n1n1_d1d2,10.0,7.966,1.25,448,5,1786,17559,0
io8_l2n1n1_l5n1n1_l7n1n2,10.0,7.969,1.25,56,5,1508,3673,0
io8_l2n1n1_l5n1n1_l7n1n2_d1d2,10.0,7.969,1.25,448,5,2101,18519,0
io8_l2n1n1_l5n1n1_l7n1n4,10.0,9.01,1.25,56,5,1391,4037,0
io8_l2n1n1_l5n1n1_l7n1n4_d1d2,10.0,7.966,1.25,448,5,2984,20299,0
io8_l2n1n1_l5n1n1_l7n1n8,10.0,7.966,1.25,56,40,4247,6141,0
io8_l2n1n1_l5n1n1_l7n1n8_d1d2,10.0,7.966,1.25,448,40,5384,17171,0
io8_l2n1n1_l5n1n1_l7n1p1,10.0,7.966,1.25,56,7,1584,3921,0
io8_l2n1n1_l5n1n1_l7n1p1_d1d2,10.0,7.966,1.25,448,7,2285,17939,0
io8_l2n1n1_l5n1n1_l7n1p2,10.0,7.966,1.25,56,14,2705,4577,0
io8_l2n1n1_l5n1n1_l7n1p2_d1d2,10.0,7.966,1.25,448,14,3102,19365,0
io8_l2n1n1_l5n1n1_l7n1p4,10.0,8.423,1.25,56,28,3741,6040,0
io8_l2n1n1_l5n1n1_l7n1p4_d1d2,10.0,7.966,1.25,448,28,4733,22254,0
io8_l2n1n1_l5n1n1_l7n1p8,10.0,7.966,1.25,56,56,6189,7774,0
io8_l2n1n1_l5n1n1_l7n1p8_d1d2,10.0,7.966,1.25,448,56,7403,27648,0
io8_l2n1n1_l5n1n1_l7p1n1,10.0,8.628,1.25,88,112,15222,15599,0
io8_l2n1n1_l5n1n1_l7p1n1_d1d2,10.0,7.966,1.25,704,112,20401,54493,0
io8_l2n1n1_l5n1n1_l7p2n1,10.0,8.553,1.25,88,112,19253,17600,0
io8_l2n1n1_l5n1n1_l7p2n1_d1d2,10.0,7.966,1.25,704,224,41040,61355,0
io8_l2n1n1_l5n1n1_l7p4n1,10.0,9.14,1.25,88,112,18318,20690,0
io8_l2n1n1_l5n1n1_l7p4n1_d1d2,10.0,9.085,1.25,704,448,59302,81707,0
io8_l2n1n1_l5n1n1_l7p8n1,10.0,9.177,1.25,88,112,18990,25142,0
io8_l2n1n1_l5n1n1_l7p8n1_d1d2,10.0,8.628,1.25,704,896,116834,116319,0
io8_l2n1n2_l5n1n2_l7n1n1,10.0,7.966,1.25,56,5,1515,3721,0
io8_l2n1n2_l5n1n2_l7n1n1_d1d2,10.0,7.966,1.25,448,8,2081,18910,0
io8_l2n1n2_l5n1n2_l7n1n2,10.0,7.966,1.25,56,5,1864,3814,0
io8_l2n1n2_l5n1n2_l7n1n2_d1d2,10.0,7.969,1.25,448,8,2387,19834,0
io8_l2n1n2_l5n1n2_l7n1n4,10.0,9.047,1.25,56,5,1747,4160,0
io8_l2n1n2_l5n1n2_l7n1n4_d1d2,10.0,7.966,1.25,448,8,3270,21613,0
io8_l2n1n2_l5n1n2_l7n1n8,10.0,8.628,1.25,56,40,4603,6269,0
io8_l2n1n2_l5n1n2_l7n1n8_d1d2,10.0,7.966,1.25,448,40,5511,17437,0
