prj,vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,URAM,DSP48 Blocks,freq(MHz)
io2_l1n1p2_l3p1n1_d1d2,35.043,4354,4354,0,0,4215,6,4,0,18,300.030
io2_l1n1p2_l3p2n1,33.750,3655,3655,0,0,4837,6,4,0,20,300.030
io2_l1n1p2_l3p2n1_d1d2,48.294,6463,6463,0,0,6526,6,4,0,38,300.030
io2_l1p1n1_l3n1n1,25.671,2255,2255,0,0,3718,4,4,0,14,300.030
io2_l1p1n1_l3n1n1_d1d2,25.065,2381,2381,0,0,3706,4,4,0,14,300.030
io2_l1p1n1_l3n1n2,29.073,2549,2549,0,0,3886,4,4,0,16,300.030
io2_l1p1n1_l3n1n2_d1d2,28.662,2620,2620,0,0,3877,4,4,0,16,300.030
io2_l1p1n1_l3n1p1,28.094,2444,2444,0,0,3741,8,0,0,14,300.030
io2_l1p1n1_l3n1p1_d1d2,27.762,2424,2424,0,0,3654,8,0,0,14,300.030
io2_l1p1n1_l3n1p2,31.569,2710,2704,0,6,3926,10,0,0,16,300.030
io2_l1p1n1_l3n1p2_d1d2,32.731,2724,2718,0,6,3888,10,0,0,16,300.030
io2_l1p1n1_l3p1n1,42.055,5770,5770,0,0,6713,8,2,0,18,300.030
io2_l1p1n1_l3p1n1_d1d2,40.852,5618,5618,0,0,6757,8,2,0,18,300.030
io2_l1p1n1_l3p2n1,40.284,5241,5241,0,0,7492,6,0,0,20,300.030
io2_l1p1n1_l3p2n1_d1d2,55.056,7651,7651,0,0,9042,8,2,0,38,300.030
io2_l1p2n1_l3n1n1,42.112,6788,5599,0,1189,12465,6,4,0,20,300.030
io2_l1p2n1_l3n1n1_d1d2,53.032,9253,7616,0,1637,14255,6,4,0,40,300.030
io2_l1p2n1_l3n1n2,48.647,6570,5381,0,1189,12475,6,4,0,20,300.030
io2_l1p2n1_l3n1n2_d1d2,60.070,9356,7719,0,1637,14285,6,4,0,40,300.030
io2_l1p2n1_l3n1p1,46.531,6752,5563,0,1189,12499,6,0,0,20,300.030
io2_l1p2n1_l3n1p1_d1d2,60.231,9102,7465,0,1637,14286,8,2,0,40,300.030
io2_l1p2n1_l3n1p2,75.953,7101,5906,0,1195,12488,10,0,0,20,300.030
io2_l1p2n1_l3n1p2_d1d2,89.901,9078,7451,0,1627,14433,10,0,0,40,300.030
io2_l1p2n1_l3p1n1,89.029,9383,8194,0,1189,14198,8,2,0,20,300.030
io2_l1p2n1_l3p1n1_d1d2,104.356,11881,10244,0,1637,16011,8,2,0,40,300.030
io2_l1p2n1_l3p2n1,91.236,8537,7316,0,1221,14878,8,2,0,20,300.030
io2_l1p2n1_l3p2n1_d1d2,109.242,12401,10764,0,1637,15325,8,2,0,40,300.030
io4_l1n1n1_l3n1n1,12.456,959,767,192,0,1237,4,0,0,5,300.030
io4_l1n1n1_l3n1n1_d1d2,16.790,1217,1025,192,0,1387,0,16,0,5,300.030
io4_l1n1n1_l3n1n2,12.390,1061,869,192,0,1271,4,0,0,5,300.030
io4_l1n1n1_l3n1n2_d1d2,16.439,1304,1112,192,0,1395,0,16,0,5,300.030
io4_l1n1n1_l3n1n4,22.347,1921,1729,192,0,2125,4,0,0,20,300.030
io4_l1n1n1_l3n1n4_d1d2,27.213,2171,1979,192,0,2200,0,16,0,20,300.030
io4_l1n1n1_l3n1p1,13.777,1122,930,192,0,1130,4,0,0,5,300.030
io4_l1n1n1_l3n1p1_d1d2,18.470,1360,1168,192,0,1274,0,16,0,5,300.030
io4_l1n1n1_l3n1p2,14.331,1199,1007,192,0,1187,4,0,0,5,300.030
io4_l1n1n1_l3n1p2_d1d2,19.422,1416,1224,192,0,1303,0,16,0,5,300.030
io4_l1n1n1_l3n1p4,23.873,1880,1747,128,5,1864,8,0,0,20,300.030
io4_l1n1n1_l3n1p4_d1d2,29.557,2138,2005,128,5,1863,4,16,0,20,300.030
io4_l1n1n1_l3p1n1,41.727,4726,4598,128,0,5773,8,0,0,40,300.030
io4_l1n1n1_l3p1n1_d1d2,47.962,5212,5084,128,0,5888,20,0,0,40,300.030
io4_l1n1n1_l3p2n1,43.439,6334,6206,128,0,7625,8,0,0,40,300.030
io4_l1n1n1_l3p2n1_d1d2,77.287,9871,9743,128,0,11088,20,0,0,80,300.030
io4_l1n1n1_l3p4n1,43.929,6123,5995,128,0,7706,8,0,0,40,300.030
io4_l1n1n1_l3p4n1_d1d2,111.091,18081,17953,128,0,19782,20,0,0,114,300.030
io4_l1n1n2_l3n1n1,15.247,1104,912,192,0,1415,4,0,0,8,300.030
io4_l1n1n2_l3n1n1_d1d2,19.162,1350,1158,192,0,1541,0,16,0,8,300.030
io4_l1n1n2_l3n1n2,15.329,1198,1006,192,0,1449,4,0,0,8,300.030
io4_l1n1n2_l3n1n2_d1d2,18.969,1434,1242,192,0,1549,0,16,0,8,300.030
io4_l1n1n2_l3n1n4,23.994,2011,1819,192,0,2239,4,0,0,20,300.030
io4_l1n1n2_l3n1n4_d1d2,28.096,2247,2055,192,0,2290,0,16,0,20,300.030
io4_l1n1n2_l3n1p1,16.721,1218,1026,192,0,1308,4,0,0,8,300.030
io4_l1n1n2_l3n1p1_d1d2,22.318,1451,1259,192,0,1427,0,16,0,8,300.030
io4_l1n1n2_l3n1p2,17.406,1308,1116,192,0,1365,4,0,0,8,300.030
io4_l1n1n2_l3n1p2_d1d2,22.917,1899,1707,192,0,1727,0,16,0,8,300.030
io4_l1n1n2_l3n1p4,25.133,1944,1811,128,5,1986,8,0,0,20,300.030
io4_l1n1n2_l3n1p4_d1d2,30.863,2203,2070,128,5,1984,4,16,0,20,300.030
io4_l1n1n2_l3p1n1,43.539,4820,4692,128,0,5863,8,0,0,40,300.030
io4_l1n1n2_l3p1n1_d1d2,50.627,5207,5079,128,0,5930,20,0,0,40,300.030
io4_l1n1n2_l3p2n1,45.365,6124,5996,128,0,7727,8,0,0,40,300.030
io4_l1n1n2_l3p2n1_d1d2,79.977,9812,9684,128,0,11078,20,0,0,80,300.030
io4_l1n1n2_l3p4n1,46.266,6147,6019,128,0,7810,8,0,0,40,300.030
io4_l1n1n2_l3p4n1_d1d2,112.216,18027,17899,128,0,19732,20,0,0,114,300.030
io4_l1n1n4_l3n1n1,20.393,1251,1059,192,0,1727,4,0,0,14,300.030
io4_l1n1n4_l3n1n1_d1d2,24.741,1497,1305,192,0,1802,0,16,0,14,300.030
io4_l1n1n4_l3n1n2,18.975,1341,1149,192,0,1761,4,0,0,14,300.030
io4_l1n1n4_l3n1n2_d1d2,23.192,1597,1405,192,0,1810,0,16,0,14,300.030
io4_l1n1n4_l3n1n4,25.671,2034,1842,192,0,2135,4,0,0,20,300.030
io4_l1n1n4_l3n1n4_d1d2,29.507,2341,2149,192,0,2518,0,16,0,20,300.030
io4_l1n1n4_l3n1p1,22.275,1367,1175,192,0,1620,4,0,0,14,300.030
io4_l1n1n4_l3n1p1_d1d2,26.106,1611,1419,192,0,1689,0,16,0,14,300.030
io4_l1n1n4_l3n1p2,22.334,1452,1260,192,0,1677,4,0,0,14,300.030
io4_l1n1n4_l3n1p2_d1d2,27.157,1774,1582,192,0,1787,0,16,0,14,300.030
io4_l1n1n4_l3n1p4,26.547,2053,1920,128,5,1903,8,0,0,20,300.030
io4_l1n1n4_l3n1p4_d1d2,31.988,2289,2156,128,5,2150,4,16,0,20,300.030
io4_l1n1n4_l3p1n1,44.829,4940,4812,128,0,5938,8,0,0,40,300.030
io4_l1n1n4_l3p1n1_d1d2,51.188,5268,5140,128,0,6077,20,0,0,40,300.030
io4_l1n1n4_l3p2n1,48.936,5964,5836,128,0,7791,8,0,0,40,300.030
io4_l1n1n4_l3p2n1_d1d2,78.757,9826,9698,128,0,11286,16,0,0,80,300.030
io4_l1n1n4_l3p4n1,47.801,6255,6127,128,0,7868,8,0,0,40,300.030
io4_l1n1n4_l3p4n1_d1d2,112.708,18072,17944,128,0,19988,20,0,0,114,300.030
io4_l1n1p1_l3n1n1,13.586,1055,863,192,0,1239,4,0,0,5,300.030
io4_l1n1p1_l3n1n1_d1d2,18.805,1313,1121,192,0,1433,0,16,0,5,300.030
io4_l1n1p1_l3n1n2,13.668,1140,948,192,0,1266,4,0,0,5,300.030
io4_l1n1p1_l3n1n2_d1d2,18.223,1393,1201,192,0,1442,0,16,0,5,300.030
io4_l1n1p1_l3n1n4,24.499,2003,1811,192,0,2142,4,0,0,20,300.030
io4_l1n1p1_l3n1n4_d1d2,30.602,2277,2085,192,0,2246,0,16,0,20,300.030
io4_l1n1p1_l3n1p1,15.382,1176,984,192,0,1116,4,0,0,5,300.030
io4_l1n1p1_l3n1p1_d1d2,21.504,1432,1240,192,0,1304,0,16,0,5,300.030
io4_l1n1p1_l3n1p2,16.462,1268,1076,192,0,1178,4,0,0,5,300.030
io4_l1n1p1_l3n1p2_d1d2,23.388,1733,1541,192,0,1472,0,16,0,5,300.030
io4_l1n1p1_l3n1p4,27.672,2011,1878,128,5,1900,8,0,0,20,300.030
io4_l1n1p1_l3n1p4_d1d2,34.388,2220,2087,128,5,1893,4,16,0,20,300.030
io4_l1n1p1_l3p1n1,46.217,5024,4896,128,0,5782,8,0,0,40,300.030
io4_l1n1p1_l3p1n1_d1d2,52.958,5322,5194,128,0,5900,20,0,0,40,300.030
io4_l1n1p1_l3p2n1,48.207,6104,5976,128,0,7655,8,0,0,40,300.030
io4_l1n1p1_l3p2n1_d1d2,82.486,10211,10083,128,0,11031,20,0,0,80,300.030
io4_l1n1p1_l3p4n1,46.989,6312,6184,128,0,7774,8,0,0,40,300.030
io4_l1n1p1_l3p4n1_d1d2,114.668,17904,17776,128,0,19676,20,0,0,114,300.030
io4_l1n1p2_l3n1n1,13.920,1161,969,192,0,1361,4,0,0,5,300.030
io4_l1n1p2_l3n1n1_d1d2,18.793,1424,1232,192,0,1519,0,16,0,5,300.030
io4_l1n1p2_l3n1n2,13.881,1257,1065,192,0,1408,4,0,0,5,300.030
io4_l1n1p2_l3n1n2_d1d2,18.112,1506,1314,192,0,1527,0,16,0,5,300.030
io4_l1n1p2_l3n1n4,25.067,2118,1926,192,0,2270,4,0,0,20,300.030
io4_l1n1p2_l3n1n4_d1d2,30.143,2382,2190,192,0,2332,0,16,0,20,300.030
io4_l1n1p2_l3n1p1,15.873,1237,1045,192,0,1246,4,0,0,5,300.030
io4_l1n1p2_l3n1p1_d1d2,21.158,1499,1307,192,0,1403,0,16,0,5,300.030
io4_l1n1p2_l3n1p2,17.385,1363,1171,192,0,1276,4,0,0,5,300.030
io4_l1n1p2_l3n1p2_d1d2,22.665,1765,1573,192,0,1534,0,16,0,5,300.030
io4_l1n1p2_l3n1p4,27.600,2070,1937,128,5,2025,8,0,0,20,300.030
io4_l1n1p2_l3n1p4_d1d2,33.611,2330,2197,128,5,2023,4,16,0,20,300.030
io4_l1n1p2_l3p1n1,46.242,5073,4945,128,0,5846,8,0,0,40,300.030
io4_l1n1p2_l3p1n1_d1d2,54.036,5360,5232,128,0,5988,20,0,0,40,300.030
io4_l1n1p2_l3p2n1,50.045,6090,5962,128,0,7710,8,0,0,40,300.030
io4_l1n1p2_l3p2n1_d1d2,82.022,9923,9795,128,0,11087,20,0,0,80,300.030
io4_l1n1p2_l3p4n1,49.208,6457,6329,128,0,7777,8,0,0,40,300.030
io4_l1n1p2_l3p4n1_d1d2,117.154,18151,18023,128,0,19733,20,0,0,114,300.030
io4_l1n1p4_l3n1n1,14.791,1228,1036,192,0,1570,4,0,0,5,300.030
io4_l1n1p4_l3n1n1_d1d2,18.841,1426,1234,192,0,1663,0,16,0,5,300.030
io4_l1n1p4_l3n1n2,14.275,1303,1111,192,0,1605,4,0,0,5,300.030
io4_l1n1p4_l3n1n2_d1d2,17.333,1518,1326,192,0,1660,0,16,0,5,300.030
io4_l1n1p4_l3n1n4,25.357,2179,1987,192,0,2202,4,0,0,20,300.030
io4_l1n1p4_l3n1n4_d1d2,28.821,2373,2181,192,0,2476,0,16,0,20,300.030
io4_l1n1p4_l3n1p1,16.505,1237,1045,192,0,1443,4,0,0,5,300.030
io4_l1n1p4_l3n1p1_d1d2,20.809,1500,1308,192,0,1534,0,16,0,5,300.030
io4_l1n1p4_l3n1p2,18.056,1357,1165,192,0,1474,4,0,0,5,300.030
io4_l1n1p4_l3n1p2_d1d2,23.024,1805,1613,192,0,1858,0,16,0,5,300.030
io4_l1n1p4_l3n1p4,27.740,2074,1941,128,5,1964,8,0,0,20,300.030
io4_l1n1p4_l3n1p4_d1d2,33.010,2328,2195,128,5,2217,4,16,0,20,300.030
io4_l1n1p4_l3p1n1,45.582,4880,4752,128,0,5846,8,0,0,40,300.030
io4_l1n1p4_l3p1n1_d1d2,52.980,5368,5240,128,0,5986,20,0,0,40,300.030
io4_l1n1p4_l3p2n1,48.512,6138,6010,128,0,7729,8,0,0,40,300.030
io4_l1n1p4_l3p2n1_d1d2,81.892,9870,9742,128,0,11224,20,0,0,80,300.030
io4_l1n1p4_l3p4n1,49.058,6177,6049,128,0,7845,8,0,0,40,300.030
io4_l1n1p4_l3p4n1_d1d2,117.098,17782,17654,128,0,19883,20,0,0,114,300.030
io4_l1p1n1_l3n1n1,36.433,3058,2802,256,0,5044,4,0,0,26,300.030
io4_l1p1n1_l3n1n1_d1d2,42.035,3855,3599,256,0,5641,16,0,0,26,300.030
io4_l1p1n1_l3n1n2,35.409,3132,2876,256,0,5081,4,0,0,26,300.030
io4_l1p1n1_l3n1n2_d1d2,42.468,3990,3734,256,0,5647,16,0,0,26,300.030
io4_l1p1n1_l3n1n4,41.144,3804,3548,256,0,5621,4,0,0,32,300.030
io4_l1p1n1_l3n1n4_d1d2,48.407,4697,4441,256,0,6283,16,0,0,32,300.030
io4_l1p1n1_l3n1p1,38.214,3156,2900,256,0,4925,4,0,0,26,300.030
io4_l1p1n1_l3n1p1_d1d2,45.444,3953,3697,256,0,5527,16,0,0,26,300.030
io4_l1p1n1_l3n1p2,38.816,3315,3059,256,0,4956,4,0,0,26,300.030
io4_l1p1n1_l3n1p2_d1d2,47.101,4226,3970,256,0,5595,16,0,0,26,300.030
io4_l1p1n1_l3n1p4,43.366,3750,3553,192,5,5350,8,0,0,32,300.030
io4_l1p1n1_l3n1p4_d1d2,51.466,4697,4500,192,5,5994,20,0,0,32,300.030
io4_l1p1n1_l3p1n1,51.960,6472,6280,192,0,8397,8,0,0,40,300.030
io4_l1p1n1_l3p1n1_d1d2,60.233,7578,7386,192,0,9429,20,0,0,40,300.030
io4_l1p1n1_l3p2n1,53.965,7628,7436,192,0,10144,8,0,0,40,300.030
io4_l1p1n1_l3p2n1_d1d2,87.367,12052,11860,192,0,14836,16,0,0,80,300.030
io4_l1p1n1_l3p4n1,55.772,7803,7611,192,0,10618,8,0,0,40,300.030
io4_l1p1n1_l3p4n1_d1d2,122.149,19907,19715,192,0,22750,20,0,0,114,300.030
io4_l1p2n1_l3n1n1,38.346,4273,4017,256,0,5277,4,0,0,26,300.030
io4_l1p2n1_l3n1n1_d1d2,45.743,5775,5519,256,0,7703,8,8,0,26,300.030
io4_l1p2n1_l3n1n2,43.486,5298,5042,256,0,5632,4,0,0,26,300.030
io4_l1p2n1_l3n1n2_d1d2,43.763,5671,5415,256,0,7137,8,8,0,26,300.030
io4_l1p2n1_l3n1n4,43.299,5020,4764,256,0,5846,4,0,0,32,300.030
io4_l1p2n1_l3n1n4_d1d2,51.012,6465,6209,256,0,7725,8,8,0,32,300.030
io4_l1p2n1_l3n1p1,39.790,4205,3949,256,0,5036,4,0,0,26,300.030
io4_l1p2n1_l3n1p1_d1d2,46.335,5821,5565,256,0,7022,6,8,0,26,300.030
io4_l1p2n1_l3n1p2,40.179,4285,4029,256,0,5042,4,0,0,26,300.030
io4_l1p2n1_l3n1p2_d1d2,52.414,6381,6125,256,0,7843,8,8,0,26,300.030
io4_l1p2n1_l3n1p4,44.094,4839,4642,192,5,5434,8,0,0,32,300.030
io4_l1p2n1_l3n1p4_d1d2,53.025,6440,6243,192,5,8090,12,8,0,32,300.030
io4_l1p2n1_l3p1n1,52.842,7430,7238,192,0,8787,8,0,0,40,300.030
io4_l1p2n1_l3p1n1_d1d2,64.361,9649,9457,192,0,11684,20,0,0,40,300.030
io4_l1p2n1_l3p2n1,55.163,8569,8377,192,0,10484,8,0,0,40,300.030
io4_l1p2n1_l3p2n1_d1d2,90.076,14117,13925,192,0,15677,20,0,0,80,300.030
io4_l1p2n1_l3p4n1,56.450,9093,8901,192,0,10579,8,0,0,40,300.030
io4_l1p2n1_l3p4n1_d1d2,126.492,21789,21597,192,0,23676,20,0,0,114,300.030
io4_l1p4n1_l3n1n1,65.555,12636,10008,256,2372,23184,4,0,0,40,300.030
io4_l1p4n1_l3n1n1_d1d2,155.648,26655,20955,256,5444,33700,16,0,0,160,300.030
io4_l1p4n1_l3n1n2,64.287,12708,10080,256,2372,23256,4,0,0,40,300.030
io4_l1p4n1_l3n1n2_d1d2,152.709,25496,19796,256,5444,33742,16,0,0,160,300.030
io4_l1p4n1_l3n1n4,91.105,12699,10071,256,2372,23293,4,0,0,40,300.030
io4_l1p4n1_l3n1n4_d1d2,179.642,26042,20342,256,5444,34058,16,0,0,160,300.030
io4_l1p4n1_l3n1p1,71.713,12672,10044,256,2372,23198,4,0,0,40,300.030
io4_l1p4n1_l3n1p1_d1d2,159.816,26445,20745,256,5444,33793,16,0,0,160,300.030
io4_l1p4n1_l3n1p2,80.870,12499,9871,256,2372,23303,4,0,0,40,300.030
io4_l1p4n1_l3n1p2_d1d2,170.467,25518,19818,256,5444,33747,16,0,0,160,300.030
io4_l1p4n1_l3n1p4,132.998,12898,10329,192,2377,23395,8,0,0,40,300.030
io4_l1p4n1_l3n1p4_d1d2,230.896,25555,19914,192,5449,33943,20,0,0,160,300.030
io4_l1p4n1_l3p1n1,148.450,13794,11230,192,2372,24424,8,0,0,40,300.030
io4_l1p4n1_l3p1n1_d1d2,255.663,28399,22763,192,5444,35682,20,0,0,160,300.030
io4_l1p4n1_l3p2n1,155.905,14656,12092,192,2372,25305,8,0,0,40,300.030
io4_l1p4n1_l3p2n1_d1d2,265.816,30670,25034,192,5444,36511,20,0,0,160,300.030
io4_l1p4n1_l3p4n1,157.611,15064,12486,192,2386,25637,8,0,0,40,300.030
io4_l1p4n1_l3p4n1_d1d2,301.159,35273,29637,192,5444,38077,20,0,0,160,300.030
io8_l1n1n1_l3n1n1,15.951,1518,1134,384,0,1901,0,8,0,5,300.030
io8_l1n1n1_l3n1n1_d1d2,38.388,2727,2343,384,0,2817,0,64,0,5,300.030
io8_l1n1n1_l3n1n2,14.987,1584,1200,384,0,1970,0,8,0,5,300.030
io8_l1n1n1_l3n1n2_d1d2,34.186,2807,2423,384,0,2888,0,64,0,5,300.030
io8_l1n1n1_l3n1n4,16.049,1736,1352,384,0,1997,0,8,0,5,300.030
io8_l1n1n1_l3n1n4_d1d2,34.266,2887,2503,384,0,2859,0,64,0,5,300.030
io8_l1n1n1_l3n1n8,37.804,3761,3377,384,0,3954,0,8,0,40,300.030
io8_l1n1n1_l3n1n8_d1d2,58.957,4998,4614,384,0,4675,0,64,0,40,300.030
io8_l1n1n1_l3n1p1,17.695,1771,1387,384,0,1735,0,8,0,5,300.030
io8_l1n1n1_l3n1p1_d1d2,38.743,2869,2485,384,0,1806,0,64,0,5,300.030
io8_l1n1n1_l3n1p2,18.408,1913,1529,384,0,1827,0,8,0,5,300.030
io8_l1n1n1_l3n1p2_d1d2,39.169,3036,2652,384,0,1912,0,64,0,5,300.030
io8_l1n1n1_l3n1p4,18.885,2025,1641,384,0,1835,0,8,0,5,300.030
io8_l1n1n1_l3n1p4_d1d2,39.977,3282,2898,384,0,2814,0,64,0,5,300.030
io8_l1n1n1_l3n1p8,41.329,3724,3464,256,4,3466,8,8,0,40,300.030
io8_l1n1n1_l3n1p8_d1d2,61.960,4845,4585,256,4,4169,8,64,0,40,300.030
io8_l1n1n1_l3p1n1,49.167,6225,5969,256,0,7310,16,0,0,40,300.030
io8_l1n1n1_l3p1n1_d1d2,78.404,8122,7866,256,0,7387,72,0,0,40,300.030
io8_l1n1n1_l3p2n1,73.476,9044,8788,256,0,10002,16,0,0,80,300.030
io8_l1n1n1_l3p2n1_d1d2,136.975,16054,15798,256,0,18074,72,0,0,126,300.030
io8_l1n1n1_l3p4n1,95.378,16398,16142,256,0,18121,16,0,0,112,300.030
io8_l1n1n1_l3p4n1_d1d2,148.614,20671,20415,256,0,22040,72,0,0,126,300.030
io8_l1n1n1_l3p8n1,102.688,19220,18964,256,0,20805,16,0,0,112,300.030
io8_l1n1n1_l3p8n1_d1d2,164.361,28241,27985,256,0,33257,72,0,0,126,300.030
io8_l1n1n2_l3n1n1,15.517,1569,1185,384,0,2008,0,8,0,5,300.030
io8_l1n1n2_l3n1n1_d1d2,34.437,2774,2390,384,0,2932,0,64,0,5,300.030
io8_l1n1n2_l3n1n2,14.668,1631,1247,384,0,2469,0,8,0,5,300.030
io8_l1n1n2_l3n1n2_d1d2,32.006,2834,2450,384,0,3002,0,64,0,5,300.030
io8_l1n1n2_l3n1n4,15.243,1822,1438,384,0,2436,0,8,0,5,300.030
io8_l1n1n2_l3n1n4_d1d2,31.573,2914,2530,384,0,2971,0,64,0,5,300.030
io8_l1n1n2_l3n1n8,36.550,3841,3457,384,0,4256,0,8,0,40,300.030
io8_l1n1n2_l3n1n8_d1d2,54.405,5034,4650,384,0,4784,0,64,0,40,300.030
io8_l1n1n2_l3n1p1,17.168,1764,1380,384,0,1844,0,8,0,5,300.030
io8_l1n1n2_l3n1p1_d1d2,36.756,2859,2475,384,0,1914,0,64,0,5,300.030
io8_l1n1n2_l3n1p2,16.150,1821,1437,384,0,1868,0,8,0,5,300.030
io8_l1n1n2_l3n1p2_d1d2,36.247,3069,2685,384,0,2023,0,64,0,5,300.030
io8_l1n1n2_l3n1p4,18.856,2031,1647,384,0,2279,0,8,0,5,300.030
io8_l1n1n2_l3n1p4_d1d2,37.749,3330,2946,384,0,2927,0,64,0,5,300.030
io8_l1n1n2_l3n1p8,39.413,3771,3511,256,4,3569,8,8,0,40,300.030
io8_l1n1n2_l3n1p8_d1d2,57.728,5004,4744,256,4,3643,8,64,0,40,300.030
io8_l1n1n2_l3p1n1,46.071,6182,5926,256,0,7420,16,0,0,40,300.030
io8_l1n1n2_l3p1n1_d1d2,74.264,7961,7705,256,0,7436,72,0,0,40,300.030
io8_l1n1n2_l3p2n1,71.922,9284,9028,256,0,10101,16,0,0,80,300.030
